5E92737C	"Give Me Letters 2, 3 and 6!": Partial Password Implementations and Attacks
584981B7	Lost Password | F911 Performance Fasteners
7F6B0E9F	Physical access to computers: can your computer be trusted?
7C0F83D1	An evolutionary search paradigm that learns with past experiences
7817DBE6	Quantitative distributions of different cholinesterases and inhibition of acetylcholinesterase by metidathion and paraquat in alimentary canal of common carp
2EA55E08	Fatty acids, fat and cholesterol in some lines of carp [Cyprinus carpio L.] in Poland
848C8D5B	Advanced Smart Card Based Password Authentication with User Anonymity
8602C2F1	분할된 패스워드 기반 인증된 키교환 프로토콜
70F05DF3	Speech based file lock: a design approach
5B55A59E	Iron Accumulation in Selected Elements of Pond Ecosystem Food Chain
7A17EB88	An analysis of BioHashing and its variants
78ED26B5	Quantification of differences in digestibility of phosphorus among cyprinids, cichlids, and salmonids through a mathematical modelling approach
78169563	Chemical Analysis of Internal Environmental Response of Carp Puntius stigma to DDT
3848495C	The Origins of Freemasonry: The Medieval contribution
01080D93	Successful aging: The Bonn Longitudinal Study of Aging: Coping, life adjustment, and life satisfaction
04E123EF	App Tools: How To Remove The Password From A Protected PDF File
38F9412F	Salt Production and Social Hierarchy in Ancient China: Animal Remains and Divination
75D46E3C	Détection de larves de poisson anormales par analyse d'images
7BAA4864	Temperature and the expression of myogenic regulatory factors (MRFs) and myosin heavy chain isoforms during embryogenesis in the common carp Cyprinus carpio L
81CCDE67	Water quality in a reservoir used for carp production
7622ACA2	Morphogenesis of koi herpesvirus observed by electron microscopy
30FD55E4	Seed quality research on freshwater finfish supply networks in Asia.
0283FEA2	Refereed articles: OPUS: Preventing weak password choices
5DEAFEFE	Malware, ransomware and spyware
79B93142	Novel algorithmic countermeasures for Differential Power Analysis attacks on smart cards
2609C845	Hypothesis of the Lead Defense Mechanism of Carp (Cyprinus carpio)
7B5E7F04	An in vivo study of common carp ( Cyprinus carpio L.) liver during prolonged hypoxia
791E1A0A	THE RESTORATION OF WOODS MILL LAKE
7E62AD8F	Comparative metabolism of phenanthridine by carp ( Cyprinus carpio ) and midge larvae ( Chironomus riparius )
7B3CEEC6	Qualidade da polpa da carpa Húngara transportada viva ou no gelo
8072C888	Ultra Encryption Algorithm (UEA): Bit level Symmetric key Cryptosystem with Randomized Bits and Feedback Mechanism
26733DD4	Stolen-Verifier Attack on an Efficient Smartcard-Based One-Time Password Authentication Scheme(Fundamental Theories)
6443A3F0	Thermal Denaturation of .BETA.-Connectin Isolated from Carp Muscle.
80BDFE6B	Impact of flood control schemes on river fish migrations and species assemblages in Bangladesh
7278577B	Fermented Cyprinus carpio L . Sausage
6043C0B7	Digestible and Metabolizable Energy of Various Diets for Carp and Rainbow Trout
54A65258	Water hardness determination using local laundry bar soaps for carp hatcheries.
68DDD7E1	Study of The Effects of Carboxymethyl Chitosan on The Non-specific Defense System in The Carp (Cyprinus Carpio)
80F5ED13	Enhancement of Hsp70 synthesis protects common carp, Cyprinus carpio L., against lethal ammonia toxicity
36ECCECA	Proceedings of the national workshop on integrated coastal zone management in the Seychelles
65C27E49	Comparison of Oxygen Consumption of Larval and Juvenile Carp Determined by Three Different Methods.
26B6EF32	Energy budget and aspects of energy metabolism in common carp, Cyprinus carpio
7BEB717A	Expression and localization in the fish retina of a homologue of the Alzheimer's related PS1 gene
80EA0F07	Biodiversity in Agriculture: Evolution of Agroecosystems: Biodiversity, Origins, and Differential Development
268BF471	コイ科魚類咽頭歯遺存体から見える先史時代の漁撈と稲作との関係に関する一考察 (日本歴史における水田環境の存在意義に関する総合的研究) -- (水田の中の"自然")
78A7534B	Secure Password Authenticated Key Exchange Protocol for Imbalanced Wireless Networks
729E8F98	Fish Synucleins: An Update.
7927880E	Horseradish peroxidase binding to intestinal brush‐border membranes of Cyprinus carpio. Identification of a putative receptor
7766D04A	Turning the titanic: changing a PIN to a password
7FE001EA	IAMS framework: A new framework for acceptable user experiences for integrating physical and virtual identity access management systems
773E43A2	Leveraging motor learning for a tangible password system
5D56C97C	Cloud authentication based on encryption of digital image using edge detection
39981C7C	Microbial Contributions to the Polyculture of Carp and Prawns, Phase II
835F3372	Multi-factor password-authenticated key exchange
7BB43C98	In vivo evoked specific cell mediated cytotoxicity in carp ( Cyprinus carpio L.) uses mainly a perforin/granzyme-like pathway
78CD5D13	Possibilities of utilizing the differences of fish tissues stiffness in the mechanization of cyprinid deheading
7E7200A0	Reporter gene expression in transgenic tilapia, Oreochromis niloticus (L.).
761158CE	Production of short-chain fatty acids and gas from various oligosaccharides by gut microbes of carp ( Cyprinus carpio L.) in micro-scale batch culture
75C089CD	The first appearance of Rodlet cells in carp ( Cyprinus carpio L.) ontogeny and their possible roles during stress and parasite infection
628BDAD9	A Study on PIN-based Authentication and ID Registration by Transfer in AAA System
7787865F	A lower bound for the Node, Edge, and Arc Routing Problem
3B0BE738	The thermal balance equation as a method of predicting water surface temperature in carp ponds
7849CDB6	Cryptanalysis and Improvement of an 'Efficient Remote Mutual Authentication and Key Agreement'
80179C72	Neural Network Techniques for Proactive Password Checking
7A198CC3	Purification and molecular cloning of carp ovarian cystatin
850DE4F4	Haptic and audio authentication: empirically exploring the usability, security and feasibility of non-visual passwords
7BD66950	Mercury in coastal watersheds along the Chinese Northern Bohai and Yellow Seas.
0553FCF8	Pop password pill, or simply stick it
81D0656B	Intestinal bacterial flora of tilapia and common carp in polyculture
06878582	Exploring mobile proxies for better password authentication
7F850135	Travels on Horseback in Mantchu Tartary: CHAPTER XXIII
08187325	Animals and Temperature: Adaptation of biological membranes to temperature: biophysical perspectives and molecular mechanisms
6FA4D227	Estate Planning for Digital Assets
23E8E517	High Performance Nonce-Based Authentication and Key Distribution Protocols against Password Guessing Attacks
2EAE7F4D	The Variation of Animals and Plants under Domestication: SELECTION– continued
7594F85B	Peculiarities of adaptation of fish to the oil pollution of the aquatic environment.
12E23D86	Turning the tide : saving fish and fishers - building sustainable and equitable fisheries and governance
855DBEEF	Come recuperare la password di un archivio compresso RAR
783C9598	Study of the Monogenea of Cyprinidae in the Llobregat river [NE Spain]. I. Parasites of Cyprinus carpio
7DA15569	Installing Firebird and node-firebird on the Raspberry Pi
7EC9AB79	Water quality in a reservoir used for carp production
23F06914	Carp Die-Off at Lake Mohave in Late Spring 2009
30810FC3	Workshop on Genetic Management and Improvement of Exotic Carp Species in Bangladesh.
302E6DDF	Preliminary investigations on the influence of some factors on the number of skin mucous cells in carp [Cyprinus carpio]
7C411E48	Increased per-capita investment in egg production by female apple snails in the presence of predatory common carp
7C43A3A8	Prophylactic treatment of viral diseases in fish using native RNA linked to soluble and corpuscular carriers
67BB88D3	The Naturalist in Australia: FISHES—PHENOMENAL AND ECONOMICAL
7523E9A7	Effects of cyanobacterial extracts containing anatoxin-a and of pure anatoxin-a on early developmental stages of carp
2DE8BAC1	Password Theft: Rethinking an Old Crime in a New Era
79A710C2	AN EFFICIENT PASSWORD AUTHENTICATION SCHEME BASED ON A UNIT CIRCLE
7C519925	The effectiveness of heat, cold and 6-dimethylaminopurine shocks for inducing tetraploidy in the Kuruma shrimp, Marsupenaeus japonicus (Bate)
6DE27979	An access control resistant to shoulder-surfing
7605EC0F	Blood plasma substrates and muscle lactic-acid response after exhaustive exercise in common carp and trout: indications for a limited lactate-shuttle
75710C11	Security of Li's authentication and key agreement with smart card
226A5AC0	Utilizzare Windows senza password
7AA625A4	Robust Biometrics-Based Remote User Authentication Scheme Using Smart Cards
78DA8C0E	An experiment on DES statistical cryptanalysis
7BBDDD4F	Nitrogen and Phosphorous Budget Analysis of Carp Based Polyculture Ponds in Chitwan, Nepal
3B599B05	Cryopreservation of carp [Cyprinus carpio L.] spermatozoa: the influence of external Kplus and Naplus on post-thaw motility
7EA30828	Injection of RNA from carp retina induces the formation of a membrane potassium channel in Xenopus oocytes
5A47BD90	The role of supplementary feeding in food competition between common carp (Cyprinus carpio) and perch (Perca fluviatilis) in a pond culture.
6D35846F	Effect of fermentation with mixed starter cultures on biogenic amines in bighead carp surimi
7541E6D4	A field investigation into the effect of sewage effluent and general water quality on selected immunological indicators in carp ( Cyprinus carpio L.)
7D68D361	Content of Non-polar Lipids in Liver of Fishes of Small Rivers of the Western Podillya (Ukraine)
5AA13B79	An environmental biography of Bde Ihanke -Lake Andes: History, science, and sovereignty converge with tribal, state, and federal power on the Yankton Sioux Reservation in South Dakota, 1858--1959
75C50714	Effect of Allochthonous Nitrogen on Physiological and Biochemical Characteristics of the Fishes of Family Cyprinidae
7CE87A30	In vitro polarization of carp leucocytes in response to the blood fluke Sanguinicola inermis Plehn, 1905 (Trematoda: Sanguinicolidae)
7CEE5496	Packet-Oriented Routing in Delay-Tolerant Vehicular Sensor Networks
81E3C0EF	Otter Lutra lutra damage at farmed fisheries in southeastern Poland, I: an interview survey
5D785225	Analysis of Carp .ALPHA.-Globin Genes No. 1 and No. 5 Include Repetitive Palindromic Sequence.
4A7D7C39	On the Security of SAPAKE (情報セキュリティ)
7FECCBE8	Investigation of the Selectivity of Monofilament Gill Nets Used in Carp Fishing (Cyprinus carpio L., 1758) in Lake Beyşehir
435D9440	Influence of process conditions on quality and energy consumpion during extrusion-cooking of carp feed
0E98E15E	CGAP G2P research project : Brazil country report
7B2FF8A6	Extended PIN Authentication Scheme Allowing Multi-Touch Key Input
0AEF1D74	Aquatic macrophyte response to carp removal and the success of transplanting aquatic macrophytes to restore the littoral community
46047D19	Great Theatre: Congress and the Courts: A Case of Casting
0E298322	PCR-RFLP-based molecular studies on inter-population variability in the crucian carp (Carassius carassius L.)
7BE0B6AE	Machine vision: an aid in reverse Turing test
37A09335	Spawning induction in fish and GnRH regulation of gonadotropins: modes of action
6CB4BAFC	How to respond to a data-breach notification
7AC235F5	A New Remote User Authentication Scheme on Three Dimensions
33C958C0	The effect of temperature on swelling of unfertilized eggs of common and grass carp
6191F9E2	Help: Report an Electronic Access Problem
47E4E4CF	GnRH receptors in hypophysis of sexually mature female carp [Cyprinus carpio L.] in spawning season
7580B590	Somatosensory nucleus in the torus semicircularis of cyprinid teleosts
074672FD	Web-­based single sign-on: an examination of security and usability
2F8BCD99	The copper content in Cyprinus carpio L. in experiment ground conditions
76BF7C87	Purification and Characterization of Serum Serpin from Carp (Cyprinus carpio)
007A0722	Greater redhorse (Moxostoma valenciennesi) postspawn movements and habitat use
7F837E48	Upgrading 22 KM section of the Alyat-Astara Highway
35E2DC11	Shoulder-Surfing Resistant Password Input Method for Mobile Environment
790E1778	An efficient password authenticated key exchange protocol for imbalanced wireless networks
2EA2E243	Effects of different dietary fat and carbohydrate levels on culture efficiency indices and glucose and triacylglycerol levels in carp (Cyprinus carpio L.) kept in heated water.
0D8AE6D6	Chapter 2 - Internal and External Risks
3D1AE696	Technological and technical conditions for increasing carp processing in Poland
806C99B4	Morphological and kinetic changes of carp (Cyprinus carpio) spermatozoa after initiation of motility in distilled water
8090F557	An anatomical and histochemical examination of the pituitary gland of carp (Cyprinus carpio)
81633046	Is there a synergistic effect between steady‐state exercise and water acidification in carp?
7747C875	Physiological responses to short-term fasting among herbivorous, omnivorous, and carnivorous fishes
77910DB9	Levels of Synthetic Musk Compounds in Municipal Wastewater for Potential Estimation of Biota Exposure in Receiving Waters
7A11C3FD	Characterization of triacetyl-α-melanocyte-stimulating hormone in carp and goldfish
610062FE	Application of intranet and internet techniques in conducting clinical trials
012F1B09	The Effect of Denil Fishway Length on Passage of Some Nonsalmonid Fishes
763AAF4D	Authentication on public terminals with private devices
775DFEFF	Mercury concentrations in common carp (Cyprinus carpio) in Lake Chapala, Mexico: A lakewide survey
7B64EF8F	Quillaja saponins—a natural growth promoter for fish
7798DBBB	Redescription and histopathology of Myxobolus cyprinicola Reuss, 1906, an intestinal parasite of the common carp (Cyprinus carpio L.).
2F48A1E0	Traditional culture of indigenous common carp in rice fields in northern Vietnam: does it have a future role in poverty reduction?
587309D5	A provably secure smart card‐based authenticated group key exchange protocol
72640364	“123456″, la contraseña más usada en la web
2F507185	Network security: Risk assessment of information systems
2D2EF3C4	Convenient Decentralized Authentication Using Passwords
12F9B1E9	CGAP G2P research project : Mexico country report
6DB94993	Principles of Cybercrime: Computer as target
5F11A0A6	Quality characteristics of common carp (Cyprinus carpio) surimi and kamaboko and the role of sarcaoplasmic proteins
17EF5680	Centralized password management in a global enterprise
7BE10B2D	2-clickAuth Optical Challenge-Response Authentication
7B93C6D7	Phagocytosis by carp granulocytes; in vivo and in vitro observations
76CE1E96	Use of Prussian carp, Carassius gibelio, pituitaries in the artificial propagation of female common carp, Cyprinus carpio
6FEF773A	The Law and Economics of Cybersecurity: A Model for When Disclosure Helps Security: What Is Different about Computer and Network Security?
7CF5D4EE	Sensitivity Analysis of Loss of Corporate Efficiency and Productivity Associated with Enterprise DRM Technology
32178B3C	Relationship between the thrombocyte activity and the susceptibility of the carp [Cyprinus carpio L.] to Aeromonas hydrophila infection in different seasons
589F797B	Electronic Signatures in Law: The form of an electronic signature
83994DC3	Roles of Phagocytosis activating Protein (PAP) in Aeromonas hydrophila infected Cyprinus carpio
80499151	Open Sesame: Design Guidelines for Invisible Passwords
7967A1A3	Nitric oxide release is induced by dopamine during illumination of the carp retina: serial neurochemical control of light adaptation
6AFB5E18	Regulation of Carbohydrate Metabolism in Fish-XX. Metabolic Response to Dietary Stearic Acid, Linoleic Acid, and Highly Unsaturated Fatty Acid in Carp.
5BB53140	Anesthesia and recovery with tricaine methanesulfonate, eugenol and thiopental sodium in the carp, Cyprinus carpio.
7C2BEE04	Improved Grid Security Posture through Multi-factor Authentication
754CA1FA	Adaptive cross-layer routing for underwater acoustic sensor networks with the SUNSET framework
7522DFC7	Helping You Protect You
251CD93C	多摩川等の環境ホルモン問題に関する研究(4)都内河川におけるコイの精巣等の調査
10C7220C	Thursday Ratings: Hopkins Provides Ratings Drama | TV Envy
38684C6A	バングラディシュの淡水養殖魚の疾病における Aeromonas および Pseudomonas の関与
839051FE	Computer Networking for Small and Medium-Sized Enterprises
0D413306	Sarah Palin and the Email Read 'Round the World | VIP Breakdown
7BE61015	Increasing real-world security of user IDs and passwords
16FC5AA5	Long-term Effect of Starvation on Carp Plasma Lipoprotein Profiles
76B48FB0	A Watermarking Based Tamper Detection Solution for RFID Tags
684C3C65	Animals and Temperature: Temperature and ontogeny in ectotherms: muscle phenotype in fish
7B0264CD	Understanding user behavior towards passwords through acceptance and use modelling
7B8E0770	Isolation of cDNA encoding immunoglobulin light chain from common carp ( Cyprinus carpio L.)
7D8356D2	Preliminary observation on epizootiology and pathogenesis of Thelohanellus nikolskii infection in carp in Poland
2F824BE8	Efforts of a farmer in fish seed production for self-employment.
5CB1A133	Further Improved Remote User Authentication Scheme
84BF1142	Cryptanalysis and An Efficient Secure ID-Based Remote User Authentication Scheme Using Smart
311B6C7F	Influence of environment on the morpho-biology of a carp Puntius sarana Ham. [ Pisces: Cyprinidae ]
1663EA11	On Hidden Credential Retrieval (技術と社会・倫理)
7B4F153C	An improved and secure smart card-based authentication scheme
77E31E76	Efficient Two-Server Password-Only Authenticated Key Exchange
0A1E59D7	Come visualizzare tutte le password senza gli asterischi
7AFD5F7C	Authentication - Are We Doing Well Enough? [Guest Editors' Introduction]
803025F0	Agrarian Reform Cooperatives: Trials and Triumphs in the Struggle for Sustainability
5EA487DD	Counting Down another Music Marathon: Copyright Arbitration Royalty Panels and the Case of Internet Radio
5935A9C6	Effects of amylase inhibitor albumin from wheat on the alpha-amylase activity in carp and tilapia
7E87722C	Enhanced mobile security using SIM encryption
7635A3D5	A taxonomy for information security technologies
5C2D12AE	Digestible Crude Protein Contents in Various Feedstuffs Determined with Four Freshwater Fish Species
7930A5A2	Distribution of Fluoroquinolones in the Carp (Cyprinus carpio) and Eel (Anguilla japonica) following their Oral Administration
8070C8CD	Gene Expression and Manipulation in Aquatic Organisms: Cold-inducible gene transcription: Δ9-desaturases and the adaptive control of membrane lipid composition
7D87E412	On the efficient PKI system with SSO for multi-IDs server service for the international conference on control, automation and systems 2007 (ICCAS 2007)
5EEE9A9C	A hardware-implemented truly random key generator for secure biometric authentication systems
0383718A	Potensi Dan Daya Dukung Hijauan Sebagai Pakan Sapi Potong Rakyat Di Kecamatan Pati
7C42958B	Characterization of the electrogenic Na+-K+ pump in bipolar cells isolated from carp retina
43C49A1C	IOE LibGuides. Accessing Resources Remotely. IOE/UCL Quick Links.
76450352	Smart IVR system based on GSM for an educational institution
7935570E	Mechanisms of Anthracycline Cardiac Injury: Can We Identify Strategies for Cardioprotection?
76C39BDB	Morphological observations on the life cycle of Dermocystidium cyprini Červinka and Lom, 1974, parasitic in carps (Cyprinus carpio).
021EF943	Tech Spring Cleaning Tips
7553AD3E	An improvement of Liao et al.'s authentication scheme using smart cards
02589971	Current status of transboundary fish diseases in Malaysia: Occurrence, surveillance, research and training.
5E78A07E	Elimination dynamics of cadmium, administered by a single intraperitoneal injection, in common carp, Cyprinus carpio L.
6CCA3C0D	Toxic and sublethal effect of formalin on freshwater fishes
5E284C78	ЗАЩИТА ПЕРСОНАЛЬНЫХ СТРАНИЦ В СЕТИ ИНТЕРНЕТ
0BBB29C6	An investigation of koi carp (Cyprinus carpio) movement in the Waikato region using laser ablation otolith microchemistry
7FBD35B4	Morphological screening of carp Cyprinus carpio: relationship between morphology and fillet yield
78D11674	Impact of Orthotopic Liver Transplant for Primary Sclerosing Cholangitis on Chronic Antibiotic Refractory Pouchitis
7D8B5E69	A poem to carp about? Poem 16–3828 of the Man'yōshū collection
7EA4963E	Argon and Argon2
755FDDCC	Mechanism of the water response in carp gustatory receptors: Independent generation of the water response from the salt response
7A835CD1	Taboos and desires of the UK public for identity management in the future: findings from two survey games
460592DE	Comparison of mechanochemical properties of myosin from carp ordinary and dark muscles
22EF627D	Taking care of the small fry.
7BA80B39	Effect of a subchronic exposure to Simazine on energetic metabolism of common carp (Cyprinus carpio)
7550FA4A	Technical efficiency of carp pond culture in peninsula Malaysia: an application of stochastic production frontier and technical inefficiency model
8510CCEF	IMMUNOGENICITY OF AEROMONAS HYDROPHILA IN COMMON CARP (CYPRINUS CARPIO, L)
7DB0D7C0	A new method for decoding an encrypted text by genetic algorithms and its comparison with tabu search and simulated annealing
726E2A61	A Study on Markov Chain Password using Bayesian Inference
75850C33	CARP: A Cooperative-Aided Routing Protocol in Mobile Ad-hoc Wireless Sensor Networks
5CD61ED1	Cloning and Sequencing of Carp and Medaka Activin Subunit Genes.
798F21F1	Smart card based secure authentication and key agreement protocol
703EEECA	IOE LibGuides. Accessing Resources Remotely. Getting Started.
4B3D73C9	Nouveaux moyens de paiement - succes et echecs du tout electronique dans les pays developpes
75631C0D	Security modules: potent information security system components
77191739	Models for the introgression of a transgene into a wild population within a stochastic environment, with applications to pest control
81FC8B43	Kapr na všední a sváteční stůl.
063FF347	Lista delle Password da non usare MAI
7A71FEAD	BRKGA Algorithm for the Capacitated Arc Routing Problem
7AD5C67C	Detection of MHC class II transcripts in lymphoid tissues of the common carp ( Cyprinus carpio L.)
78EDF273	A Framework for Biometric Security based on OTP in Mobile Devices
18E8828D	Effects of Feed Restriction and Starvation on Fatty Acid Synthesis and Oxidation of Glucose and Alanine in Carp Hepatopancreas
164B013D	Curative Effect of 0.5% Salt Water Treatment on Carp, Cyprinus carpio , Infected with Carp Edema Virus (CEV) Results Mainly from Reviving the Physiological Condition of the Host
765D632E	Stan mechanizacji obróbki karpi
75B0DE53	A technique for the determination of the available oxygen in living carp (Cyprinus carpio) muscle
1820E070	Aphanomyces piscicida に対するコイ血清の殺真菌活性
58F4DBF1	IOE LibGuides. Getting Started. Welcome.
0B4E6776	Google : una password per i servizi e un regolamento migliore
2164D911	Attack on the Sun-Chen-Hwang's Three-Party Key Agreement Protocols Using Passwords(Protocol, Cryptography and Information Security)
6CD3CA68	Protecting branchless banking consumers : policy objectives and regulatory options
7F2D5003	Determination of some heavy metals levels in common carp fingerlings fed with yeast
83C7F066	Cryptanalysis of Simple Authenticated Key Agreement Algorithm
3B239E28	North American Freshwater Mussels: The decline of the North American mussel fauna
5B239FD1	Effect of Microbial Transglutaminase on Thermal Gelation of Carp Actomyosin Sol
810257BF	Epidemiology, pathogenicity and molecular biology of koi herpesvirus isolated in Poland
765F9D5E	Influence of low concentrations of Trichlorfon on haematological parameters and brain acetylcholinesterase activity in common carp, Cyprinus carpio L.
2713AB13	Cryptanalysis of a Multi-Server Password Authenticated Key Agreement Scheme Using Smart Cards(Information Security)
7BF89BC1	A secure biometrics-based remote user authentication scheme for secure data exchange
79B4898F	Fauna parasitária de peixes oriundos de "pesque-pague" do município de Guariba, São Paulo, Brasil
5F221E8A	Security Pitfalls of an efficient remote user authentication scheme using smart cards
79D12AB1	Growth and survival of carp (Cyprinus carpio L.) larvae in alkaline water
23EE7F60	Restocking the Floodplains.
69C6D36D	Биология развития и продуктивные показатели сазана ( Cyprinus carpio Linnaeus, 1758) в водохранилищах Черекского энергетического каскада
84FA0C70	THE EFFECTS OF BACLOFEN (GABA-B RECEPTOR AGONIST) ADMINISTRATION ALONE AND ACCOMPANIED WITH LRH-A AND METOCLOPRAMID ON GTH-I RELEASE IN CARP
0B2EF275	Access and navigate computer information systems
57C1430D	Scaling Fisheries: Measuring the effect of fishing, 1890–1900
3521ECBA	Antiviral activity of interferon-like cytokine (ILC) produced by head kidney leucocytes of common carp, Cyprinus carpio L
002527BF	Current status of transboundary fish diseases in Lao PDR: Occurrence, surveillance, research and training.
79694322	Subcellular localization of thiaminase I in the kidney and spleen of carp, Cyprinus carpio
7E60306A	Windows Registry and Hiding Suspects' Secret in Registry
2471E93A	Evaluating Security of a Simple Interactive Human Identification Scheme
7F194669	Efficient Password-Typed Key Agreement Scheme
8093CF58	Robust dynamic ID–based remote user authentication scheme using smart cards
5D740E4F	Why we hate IT: two surveys on pre‐generated and expiring passwords in an academic setting
7F7C0609	Researches regarding serum biochemical parameters as an indicator of fish welfare in two farms from the southern area of the country.
55782A57	Come effettuare reset password admin su Yosemite 10.10
79595BE0	Hormonal Mechanism of Energy Supply of the Fish Adaptation to the Inorganic Nitrogen Impact
4B136636	Quantification of thermal denaturation of fish skeletal muscle actin
23DAA46B	On Hidden Credential Retrieval (情報通信システムセキュリティ)
77B90E7B	Optimization of stocking density of freshwater prawn Macrobrachium rosenbergii (de Man) in carp polyculture in Bangladesh
23B63002	Security Enhancement for Protecting Password Transmission(Fundamental Theories)
4809D213	Introduced Cyprinid (Carp) Fishes in Western Australia and Their Management Implications
71806AF5	Production of koi herpesvirus-free fish : implementing biosecurity practices on a working koi farm in South Africa
7677AEA1	Managing invasive carp (Cyprinus carpio L.) for habitat enhancement at Botany Wetlands, Australia
80791EF7	Cryptanalysis and security enhancement of a robust two‐factor authentication and key agreement protocol
7CA68664	On the pharyngeal tooth remains of crucian and common carp from the neolithic Tianluoshan site, Zhejiang Province, China, with remarks on the relationship between freshwater fishing and rice cultivation in the Neolithic Age
7AB5772E	Two-Factor Authenticated Key Exchange Protocol in the Three-Party Setting
66A7C758	Fatty Acid Compositions in Glycerophospholipids from Brain Lobes of Rainbow Trout, Carp and Skipjack Tuna
7581A6A3	Effect of diethyl phthalate on biochemical indicators of carp liver tissue
7D7367F5	Detection of fast flux network based social bot using analysis based techniques
81D91E5B	SPECIES-SPECIFIC RESPONSES OF AQUATIC MACROPHYTES TO FISH EXCLUSION IN A PRAIRIE MARSH: A MANIPULATIVE EXPERIMENT
75899DD3	Evaluation of water productivity and fish yield in sewage-fed vis-à-vis fertilized based carp culture
7790E8A4	In Vitro Vitellogenin Production by Carp ( Cyprinus carpio ) Hepatocytes as a Screening Method for Determining (Anti)Estrogenic Activity of Xenobiotics
3B3AB3AA	Save Our Passwords
5E4B1034	Identity Theft, Privacy, and the Architecture of Vulnerability
7B32B3B5	Comparison of yttrium and chromic oxides as inert dietary markers for the estimation of apparent digestibility coefficients in mirror carp Cyprinus carpio fed on diets containing soybean‐, maize‐ and fish‐derived proteins
838156C1	IOE LibGuides. Getting Started. Workstations.
6E99C4AA	Gene expression and structure of globin genes of carp
377E9E6A	Histopathological changes in juvenile carp Cyprinus carpio L. continuously exposed to high nitrite levels from hatching
85206A88	훔쳐보기 방지를 위한 한글 패스워드 시스템
7686C24C	Anonymous Password-Authenticated Key Exchange : New Construction and Its Extensions
5ACE8259	Vispathogene bacteriën : deel 2: Aeromonas salmonicida: furunculose bij forel en huidzweren bij karper, goudvis en paling
7F393220	Analysis of password login phishing based protocols for security improvements
03194CC4	Mercury contamination in the vicinity of a derelict chlor-alkali plant: Part II: Contamination of the aquatic and terrestrial food chain and potential risks to the local population
82649F9C	Physiological and nutritional aspects of intensive feeding of carp
374CC1C0	The absorption and excretion times of carp, Cyprinus carpio, treatment with oxolinic acid
5992FE27	Digital Planning: The Future of Elder Law
1389FE62	An Unproved Optimal Strong-Password Authentication (I-OSPA) Protocol Secure Against Stolen-Verifier Attack and Impersonation Attack
5AD423DC	Homo Biometricus: Biometric Recognition Systems and Mobile Internet Services
7B0D073B	Functional changes in digestive enzymes and characterization of proteases of silver carp (♂) and bighead carp (♀) hybrid, during early ontogeny
67646F4E	Platform-independent server of remote educational services
7C358629	The hearing of the Atlantic Salmon, Salmo salar
5B303FA6	A Review on Password Cracking Strategies
7951A99A	Traitement de l'arthrose S.T.T. par un implant en pyrocarbone. Premiers résultats
3AFE42D5	Climate variability, climate change, and fisheries: Irruption of sea lamprey in the upper Great Lakes: analogous events to those that may follow climate warming
81A55D8F	Private Password Auditing
76F6F78C	Physiological-Biochemical Peculiarities of Ammonia Content Regulation in Carp
76F779B6	Retinal growth in carp of the same age: Density and number of dopamine neurons
5BFC9E92	Communal or separate rearing of families in selective breeding of common carp (Cyprinus carpio L.)
1025D27E	Password-Based Authenticated Tripartite Key Exchange Protocol
5C29995C	Mac OS X Server Security Overview
7D946B26	Determination of the effect of microbial transglutaminase on technological properties of common carp (Cyprinus carpio L.) meat
7A8A8180	Rhabdovirus carpio as a causative agent of disease in rainbow trout (Oncorhynchus mykiss - Walbaum)
6FB91536	A New Approach- Network Security
71B605AA	주요 하천 및 호수에 서식하는 붕어 (Carassius auratus and Carassius cuvieri) 근육에 축적된 2,3,7,8-치환 PCDDs, PCDFs 및 DL-PCBs 분석
781CCD7C	Constrained temporal structure for text-dependent speaker verification
74223515	Evaluation of a Common Carp (Cyprinus carpio L.) Exclusion and Trapping Device for Use in Aquatic Plant Founder Colony Establishment
7A5CE7D8	A Blocking-Free Shared-Media Terminal Connection Setup Method
1D56D0A2	Library Guides. Off Campus Access Information. Getting Started.
7979C29A	Captcha as Graphical Passwords—A New Security Primitive Based on Hard AI Problems
1917A83F	On Hidden Credential Retrieval (マルチメディア情報ハイディング・エンリッチメント)
7FCF2A47	A framework for image based authentication
859AD3FD	Current status of transboundary fish diseases in Myanmar: Occurrence, surveillance, research and training.
75FD01CF	Effects of dietary β‐(1,3)(1,6)‐D‐glucan supplementation on growth performance, intestinal morphology and haemato‐immunological profile of mirror carp (Cyprinus carpio L.)
55B223DB	IOE LibGuides. Accessing Resources Remotely. British Education Index.
0134C467	Management of Freshwater Biodiversity: Control and management of non-indigenous crayfish
84CD29F5	Changes in endocrine profiles and spermination response in carp [Cyprinus carpio] after LHRH [luteinizing hormone releasing hormone] analogue injection
025BD135	6 tools essenziali per recupare password, drivers, ecc. da pc, fotocamera e altro.
21C9A590	食餌試料を通したダイオキシン類(PCDDs/PCDFs)の魚類への蓄積
76781DD2	An improved client-to-client password-based authenticated key agreement scheme
7B4EFC75	Towards probabilistic memetic algorithm: An initial study on capacitated arc routing problem
8138A8F8	The Zooplankton Community of a Turbid Great Plains (USA) Reservoir in Response to a Biomanipulation with Common Carp (Cyprinus carpio)
856962CC	A study on efficacy and safety of bio-gammamix by oral administration to cultured fish
7FCFDDC3	A Framework for Investigating Human/Computer Interaction from a Security Perspective
