7F1A1204	7C3A80EF 7D6DB019 791B6623
763D4566	809ED9F8 58EF45D4 7FD0EC39 7E888DEF 814342BA 7D21D3CC 803E8392 7B4D75C2 803E35C0 78A9FD3C 7BF041C6 7D3F1B0C 7FD5EBC6 7BBA54D3 5940FE17 7E206261 7E0AC6BC 7E1ED41B 769E94E1 783C0F35 7698BF2C 797EAAFA 7AF3F2A3 77937D49 7AACA173 7D9EBCBF 7FD473D9 791AE4D0 7DEE933E 81121981 7F3AAE62 7FE691A3 810BDB6D 812B9FFC 77C3B6EF 7EE2F7FF 803CC257 759597E7 784E4D07 8070A55A 06639648 78117769 7A8AA761 7BEA6709 7D98B8BF 7FEE60C6
7D84050A	7B881565 7DE54FCD 7E6E9CBA 7EE5F9DD 8022EB19 5C9B7A5C 60E6FA79 7FEE3EA7 7DE29E60 7F398ED9 80D2E012 800A3B52 8118B836 7E414E27 7E3E6DCB 7ECB0580 5D92FED4
7CCD27CD	800DF1C5 818DD072 7AB96B7B 7E5D969D 8165CA36 8174A388 7ECCFCD1 7A034512
7E30B5C6	7D2B857C 8047E3CD 7CF19423 5EEF741F 5D6158FF 771DE01A 067E06D9 65D409DB 5F143277
7E203291	8076E7BD 76BC5571
80FAB223	78286CC7 62FB7D88 7E729F9B
7F7A4D17	5C423D85 7D5B6E88 803983B2 752E9AFD 8135FBCC 5AA4518B 7371EBFB 8183ADA6 7FB2870D 7DA72C07 7DFCA717
7A176671	044DEF23 7EBBB546 7F5F5A7A
7FB1FD5D	791B403C 7D2A9840 0989616A 7A5D6DF0 823C53EC 0A4DADEA 0831DC39 7781B4F7 7C184800 788418D8 7EAE89F3 7F10BEB1 80D26BFF 7B9EA28A 5AE6F02F 5C586A72 77A3E474 7F1A2294 776AD9A5 77798014 7DF66A32 80CE4742 80CAD937 75BE36F3 77336DC3 7FEB237A 75DBA446 7BF8C7B6 78E1A56D 7C572B04 7CB6DA32 7D489BBE 754076A2 7DDA0C6E 5A664767 5AE587EB 76A4ECA8 7C10EFA0 77578AC3 72A66B2D 75464B9E 762F1CF4 7AA2D858 7CB36375 5C24B61D 769B3418 56B40D44 7C91B253 78523942 7682C1D3 779F6B2D 7AF1BFF5 7A106627 7DB70976 75670C0B 782FBCFF 78DF1F42 759EEDD5 79B64BD1 7AAB8E7C 7F413FD9 7DF75BB3 7E0C041C 7E6D01EB 7B6FA368 7E373C40 5F656DF1 0AA496F1 75C1AD91 761018BD 7EC15F1D 752F0684 7D802ED0 80E219A1 7C198B8E 7719B2AB 766A7AD9 7B4006FF 783681EE 7AEE396D 7730E542 78B1E4FB 7AC73F3B 7F7B6419 7FB395CC 7DF0154D 8106A495
809156A7	7F032DD0 8111D33A 760476BE 7E10623E 7CEB0245 7DD9E1E0 813F0A56
7D0ACFE2	77A64980 7C720639 7B9564B7
7E5DB302	7540510A 761B8AF4 5E8B3B27
7E6B3D43	7E6D97CA 7EFCC486 802DCC36 80521193 7DC12D7D 7E6430F6 77A3C42D 7E3A5596 8146FE90 800D554D
80E67C2B	5FD069DF 77D3C7AA 779D3E54
7F3754A1	77292336 7DB87EA1 7EB91E92 7E63FF9F 7ED89BF9
7DE243D4	7D70874E 7D8AA20F 7EE9DD25 798CAB2F 7F10577F 7DBFB54A 8032CA35 811CE079 5D60B075 792D11EC
7F4654CA	75B62D16 78D4D425 08D76410 7FB56517 80868BE5 809BB177 7D46FB5D 7F7DF2EA 804F651F 7E862392 8151481C 7EAB9634 76F9584A 7B7178DF 7EFA0DB4 81893A7D 77EAC258 80C2324C 7E10F173 814A6A65 7546CEDE
7E977271	81E8FAB3
7FB26B11	752EB406
803665C9	809495F4 802C5FF3 859A2738
7961A830	7BA03C6F 7705910A 7A7B3A8D 78AB69E0
7D1C40D4	59393F07
7CFE5303	5FB1C4EA 7E60EE2C 7FF8EF83 75B228A9 7EC0D0DF 7EC8FAA9 6D92204D 02FF158B 77EDFEF4 7CEC0DB4
7B25FFF8	58E55D58 75D8C71C 7CD28D7B 80E35F4D 812557FE
75CBD48A	7E9884DC 72A42F3A 7BFD8500 79D231E7 7FD8D823 799E0AD7 7D3780CD 78064F8D 7BDE9F26 7DEB6976 75CBD20F 7B7064F6 78029069 7B1FDED3 7D476FA5
7D61B357	79239D68 7E740023
793F7F75	79499939 775FDD4C 7BA7E99B
7FC3635D	7E13A2B5 5C81F6DD 7F1E50E2 802C6CEB 750D571D 7AE50E45 7ED9F361 76698185 7F969CBE 800038D1 81CDA97B 77768236 809071CC 7D99F3B1 769E122D 7E479B73 7BB936C3 003C8A97 801502FE 7F54EE1E 758B57CE
81301644	77F3327C 62C7A7B1 7803BAE9 76615D47
80BD4C30	5EA76F62 5D91A95A 5A37C0ED
80EE12DB	804F2E0E 7E979903 800F2916 7AADDAB6 7BF436A4 0F9843EF 7A3CD3F0
7F95F180	7D35B502 7AFD3702 80991875 75BDBEDD
8019CAC1	808EF04F 8400D925
7F96E59C	7911C4EF 648BD1C9 07B6B251 7F9272E8 5E7E5AC4 5CFBEC12 7D266F0D 225F02B4 5F86A39F 0A2D2CE8 6AF084CC 5F2411F4 5DDF156F
7D04BFEE	22EA946C 7DF56D96 5F12421D 7FDEFF53 80D1D45C 22A62482 5928E012 79F5F6FA 5910C2FE 7E23D341 0308DD07 588BAC85 5FB77BE3 7F4BF715 79CCA276 7B1B026D 770EB84F 7824F96F 8254BB16 80DB727F 23790E2E 80E9DDAF 5C161E4B 77B11BE8
8061E9DB	7931493A 7BFD7A43 7BD7CFE6 560EEDDB 80773391 800C5F8F 8000F879 780FADCC
5D2E4CBE	7E71B69C
7E0B12B3	7735B4F4
793C4DF0	7AE6DCFB 81776EAF 7724DE69
7F49393C	7A9E763D 5942D5E4 7E833679 8147D13D 7D6B20DF 7BF9E750 7C6F13B3 7BDF768A 7DAD6D70 81388B25 00997B3F 017A5AAF
7F9BB074	78A1382A 7FEE379C 779BA60D 59A106C0 7717C939 754BAF81 7F9B6E15 7B6BEB4B 782B0647 7C0DF52E 76C31168 7EC58DD4 7B25FA7C
7EAA10FE	7972915C 7E4D2298
7EC3B7B3	7ECD60BC 80F69082 7E845D0D 80C89CB3 815E873A 7D842E9C 7712DB36 7D3A5D70 7F25532D 7D1FD548 79917043
6F485D78	77B0E56D 7A8F9326 7CBB663D 7DB4F261 7620711F
7DA5CE84	7DE6985B 7EEFEAE6 7EA0572D 5F269F34 79925A1F 7DAE3939 7E53A87B 782E9ED0 7C842F68
7F28B308	76AEA47F
80A88949	80ADEEC1 7D3F44A9 815A8F3B 806F227A 7E2506DE 72199D8B 7E0BE5B5 5CF4CB05 764267FA
80276770	80201968 7D5F244C 7EB40E73
7535A2AD	79B8BF6B 77A091BC 7E275293 7A9B02E2
7E4965E7	7E189C05 7E16D2A7 786A14EC
791FFBA1	7CEF64A6 8016B09E 82811EC2 7AFAC3EE 752A479A 7B58C2B1 7F311518
80EDED35	6F30A206 7EF56FE6 7C395D05 7667BF4C 78F418EA 72D85CFA 76DC8322 5CA1C1FC 7B453F52
7FA307D5	7B0BEE55 7E916FA4 7F1CDDAA 7EA03B2F 5AA7BF62 01FFF71E 7D73FBA5 80FF3CF4 7D725276 7FCEC1E3 7DDDA81B 7F0F8F49 778D07F1 7D23891D 80A4C7F0 5C7D24C2 7ECE6379 78431185 7C849F4D 77DD03D4 7D572F5C 7DC24B10 802C7ECC 78B3D473 7FC24957 80E3D319 0B6E7E46 81A2A61D 6A73309A
7AD394E2	78FCA509
8109F8FB	5A0A379A 80DE8DE7 80E01A19 5EF733B6
761E5C23	764707C3 7C0C398B 79B595E8 75C9DDE0 76A349A7
7B46B95D	7A0DFBD3 81675F35
7C83B562	7B75254C 7BC48BF7 7711AD22 7AD468CC 6279D5E3 75F71BAB 2428D364 80F38A8C 01433F1D 7709220F 80BDE8A3 83E84B61 77F5EC40 5B2171C3 78669E72 7708D66B 81019C71 803E5A6A 75719C67 777196A2 7B17A21D 7D7EBD02 7F5D736C 75D97044 7C66B4D0 7A3F74A5 7FCD0192 5F4FE0F6 105BC92E 7A3DFE53 7B78B7EC 7EE57C6B 7649C794
8133EB92	803AC476
7E3D5339	24D093CE 21B19615
77275529	5C5D0E3E 591951E8 78F3F391 7CF68E01 794241EF 7BA80786 7A46F960 7BAB7B8C 0F48489C 77F5A5F3 7C10485C 783E46B4 7A1258C0 80671D60 77FDBFF0
7C40E63C	108C78B7 7AA787E9 7656AFD1
80F04CDC	61BAAA2E 757E9CD3 7BD0B29C 76481334
7CF5E5E8	59A21349 5BF70650 7CF10108 7FC48AFB 7DE65D4E
7B0B1421	8126D65B 5E528A58 78967E18 79B8D129 7A9FB7A1 7E7F51CC 7E28C75C 812F1C36 7B621395 80C5D6A1 0C497251 7597992D 8159B77E 5B73D033 0BD45875 781F4FB3 7B02273B 76D52EA9 75521211 7DE964C3 0B24FAFA 7B9B4428 7FFFCB19 80EAEB12 0070D472 768D8CAF 0BEBDDAF 755D052F 80449F18 80AD19E6 780E5AC1 77D2AFE6 7554C63B 75ACBE0A 7E19312D 7D519838 7C6DFFF0
54E302B2	01E6FE24 7C9AD979 5DBB083B 7C97EAE8 778BDC98 7D3BF09A 78579082 7FFDB60E 77CFE69E 7B8C5762 81021D85 78599178 78E7C0ED 754F24F4 75B04D49 78D8CFB9 7AD816AC 7C809CBB 76AF088E 759D4DCF 76A5CC7E 7F3AB03C 7CC68C8E 78D2258A 7C5D07D9 80F98A02 79D9F399 78CBB665 7EBC4C4B 7A68FB82 80347519 7BDFA866 7C88E399 7C8A29AF 5FE3406C 779F3C89 5CFF5F7E 76F4D888 7D59672F 7EAD0CEA 762DA299 7BC49854 7569927E 80C53C73 7B2D3825
7EF74F09	80040850 7CC797D8
7D1EC068	7C4D55A5 7E83831D 5D0AA1A0 6E55C837 5F5466F7 7B0A9E9B 756D5E0A 7C46F853 7FE2078A 774DDCC6 804F4066 7FEB40E2 80323B98 75E25565 782A55CC 75A08C7F 7C0B2893 77A72305 7D32931A 7F7A4DEE 7FDD4146 7508F6F1 7B3E7DBB 798CE27D 810AD5A0 7CDE5F72 7ADF9689 7CCD4BBD 751430E6 7E1DDF96
80C267A8	7C9E5A94 7CCF07B9 0176CDAE 7FE8D8CF 7AB3754E 7C8CBFA4
793D5272	753AF7B7 7D0DD182 257533F0 5E4C4C35 8057F6D3 7D4C69C4 766D0F8B 811AB8D3 81609038 788C7555 80F7C436 750E27F7 797ECFF4 813BD9EF 7E2F4851 77DA53C8 7DE22FF0 7EC86520 00023BD3 789B7A79
802F51D9	82623F3B 7BC60D97 75E4F0FD 7B950E47 8115E912
7E6729BE	7E7930CC 80B1E1F1 805C22C5 78F759A2 7E8DA2B7 7D6ACD20 81686180
80CBDE0C	7D40C88D 780F6DF7 7D43565B 77B4DDF0 7FE6DAAF 094EB408 0202A933 7F608DC5 7ED1472C
80A1EC1A	7C2DB00B 76D348D3 7E9FA2E5 7FE958D8 7D34BFB6 7552805D 7B185DDC 781019B0 77D77A1D 79490EB2 7AE4875E
81238CD5	7D71BBF7 7DEC7453 7EEB4177 7B04DB03
79ECC0CD	799BC2B0 7AFF9213 7BB05468 79627EED 7BCFB007 8577909A 7DB0450A 7E0DF339 800EBB21 7928BC27 7B89D691 7912DB40 792C0884 78113561 7CA63758 7C4B6A26 7146B6FB 75BB90C2 7D0A8E90 7FA5297A 80738ADE 772C39D7 78C0A065 791DDF37 7F77F915 77CC7B87 5F2D8106 786BA4EE 791A3882 7713D5FD 7CF1A532
757F08ED	7DD2AA32 815651B5 7AB7528F 778F99BD 7CB69D00 793BF0FE
7F759F52	7E44CC3D 7F021DF1 76F85060 7FB61B93 797A675F 7E36D86F 80332EB1 7F4880E1
7ECAC929	7D48C178 77BAD0A3 7D076C79 7F08DBD3 7B05AB82 7BA647E7 58F17CC8 7F3B20EF 7DB6E386 7F4B8E0C 7878F6BB
6B27814B	113A2FBF 781ACF03 0F0C651A 7FF0C2AB 72880DF4 7E203A6A 79D76408 804E46FF 3AFFBCCF
7F7E7CEF	7D2C9855 7DAB7049 6998EA80 80159114 7E55A3AF 7FEEBCA5 805C8AE0 798A0671
7FC6EFD7	7EF8B26B 81675F35 7D667DDB 80E533B0 79833BE1 802E64F9 7EE8BE43 7AF62902 7DD07D5C 7C7EE800
760364AE	7A5F20DC 773F6204 7BB03039 7C8854EB 7CA37E45 7C57296A 799D2BBC 7696FA2A 7B30B44C 7BAFA85E 76890FC4 78ED54D5 79B30C42 752F3622 75EF9366 7986EFA8 7A22A2D3 7535503B 7937EE7E 7B71D023 7F8C9BC0 800CE838 00F103D9 7598393B 7C3B9A4F 7894D836 7C6E3136 75295CF4 7FFA2CD9 7A8CFF95 784C4F9F 7AC53521 792D31E9 76E6D9CB 7C2B864F 789BEED8 6092B1BA 76774DA2 767DB2A7 7752106E 7530D528 78C2092E 79BC8721 7B046D25 75C02EBE 78EAB106 7A842D1C 75FE7464 77126CFF 77DB903F 7997AD42 7BD87F2E 7B4C7FF3 7A8B0D39 77B24CA8 7E4D31B0
768A280C	779828BD 77D194E5 7B7DCD98 771638B3 626422E5 7E323215 7BDB81BA 7E2B0257 80407CDE 78066E91 79F0A999 768EBFFA 7C79B096 7A3C9A11 78C72DC1 80139170 813EE1AB 7FD48337
7065331A	7AECA3D3 76BAB2A7 80A9E545 7F0E81A1 8377D948
7F1BCB50	61192FEA 79625770 78A2BA90 05F4C38A 80268870 7E128C40
80641A76	7F00E6C5 7591450C 76DFD492 7FE07966
7C71A079	751A5DA9 79042B18 7A4308AF 75ABD1F1 80AEFDB2 758F51AF
7C1F7F9E	80A9E545 7E1BDC6E 7F22C203 7EB79F54 7FD6A7B5 632E9A3A
81345200	801C7C04
7F03708B	7EA36310 806659B3 7EC34697 22E28F2D 7993E5A2 00A278F6
7F2A5F25	17E6EFB2 5E0CF1C7 7548CA56 5EC720B1 7F89D78D 7E44D1DC 5DFAD261 7A923DE8 5F2F5E13 7EA934A3
80863F28	77DEAEFC 5FD069DF 5AC50905 7C137174 76E0530A 7F2E4F56
805CD8B7	7F007FD7 7FA0094D 7F46CEF6
7B32FCA1	7B1A7798 7E259B4D 75B37B3F 759D5A30 76E1C00E 7B15B867 7A3A8BD8 77F500A2 7FD296DF
786F4E16	7EAA5BC1 7A86A538 7FAF1CA8 7D27CAB3 7AECE554 7F5F5A7A 78B2EC07 7858246F 6DC00E9C 7ACDA30B 7EEF9B76 7FA5495C 808CD8F5 7D56D833 7E8DCD87 7FFDBBB9 7DA92B71 7D683977 7E416545 8151AC7C
817144C1	7D7FC181
7E7AA954	81E50523 808A706A 66DAE28B 7D9187E5 7DE27C5F 787FA134 7FE6E8EC 7A13A69D 7F856B48 7FD96AF9 80BEAB8D 7CA48E48 7DFA7599 7A42D707
7D00610E	6DA440E1 76744B24 7A14AD88 774671B2 793C3EBD 76129C59 813C229A 798C5F1B
7A59CB66	7B4F2CCE 782AE04F 75B1E7BB 7C66222C 75CFAE34 7DCBA12F 77B3C7EA 83E84B61 7709220F 7C7C46EE 78C41436 79540539 75402BAF 796BBFFE 7C0C1D0D 7CAD41EB 5F1361D6 779AFCF9 7BCBD5AF
7D99FEAD	7CF3746B 7EA2FF22 80DE848B 5EABB3F9 80665AC7 8117AC20 7CAAD553 7DFB90AD 827B8AEB 6E90491D 80A358DE 782FBD23 68B6181B 7E252E7F 7571F6DA 7BB476A0 7EB68E49 80FBEEAF
815DA243	052B94D9 7ED25595 7DC6E8E1 7B08FBAF
80E56CAF	7D4B73FE
7D64DC0C	7F1DDDAF 7ACFB10D 7B23E17C 5C784577 7BDF0853 767524E9
7A899CFF	77B14CA7 7D06D293 813245E2 7D3B6EDD
0D753599	77BD6666 811E5E92 7FEBA6D1 7AB198D4 60B3088B 7B1AC649 7854011C 806EF020 76C08069 80A5ADD3 827DE05E 7774EF54
7D8123DA	7AD21C97 8140AF46 027009DA 5CC71B10 7EB78199 7DE24168
7E991681	7851D680 7CD5652C 7AE150E1
5F31CBAB	7D3E6476 7A843085 783BA565 7F59B7B9 78E2A17F 80EE12DB
7DEDB3FF	7A6B9C7D 7519B1A4 768CECBC 7E95E35F 79ED8367
7FB020FA	7BA8C782 7A738C13 765124BF 7AA1E29A 7E3934F0 78DE4453 767BE4E4 759650ED 75A0B07E 783E9D5E 7BDF6B8A 5E1C4982 79CB24BB 7ECBCA18 7C5B7246
7AE51559	80423552 7B86370C 7EFEDE93 808ABF67 7F400334 6050DC65 7F69AFE9 7E2D7567 7E06D108 7EA14850 7EF97C88 7BAB5E2C
7E902E02	6256882C 81585EDF
8054259F	776AD508 8055ED45 09A92099 80639D64
80452D6C	75619C7D 7E3A75E9 6D16A90B 7E4F4226 7FD0F94C 803E9711 7A982164 7EDC712F 7EAF6AC9 7FE76F50 64D1804F 7ED5A1AD 8039A27D
76F60B09	7EAB6BA2 7EDC9A9D 800EA30D 7F90DF05 7D216F4D 750C244C 7F82B4D2
7BB60ABF	7F66D87F 7FF5D890 7E843FF0 7DE71F71 7E3934F0 8178B367 7F237158 7CF3C3A9 7D26A44D 7E90BC16 7F630F73 596093C8 7EFA0863 7CF5216D 815D41A4 7D2975A4 7DD3FD1F
811A03AC	7FEBA6D1 80150940 7F7565BB 7AF42F85 75E21739
76D9D174	75C9F5BE 78A2A129 78D295EC 7E20683E 75B7EB00 77A6F740 81110721 601DE7DA 7BB5C3CE 7F542120 7D1ABBF2 7591620E 76586180 7EB66606 695092BB 7E3CA09F 7F598A48 7E11FA26 80D3D81F 7C0752BA 7C30678A 7FD19280 5878156F 7D076C79 7EB17401 778B2C1F 77A0DFD6 7BFEEC19 814F6C31 7E756F4D 7BC876AE 8166C12A 7C1369C4 77DDBB05 7A7CACB8 8057A407 813A9B63 767FD5EF 7E011BD3 755EBF31 78FDAE3F 816BD7C3 76203CA4 7A18117F
8220B476	7AA9065C 6291C112 7CCC52B2
75D334B5	7F031DA6 7FE4FB2F 783973A7 7A89342B 78E411A5 7ECB1A52 7981E21D 806DC619
800BD1EF	7D79B7C9 7D87DBC3 78337BD4 80BFDAE6
7D85E851	7E015D50 7C604E01 81E7CA60 78D0014E
7D482399	7CF257E7 794AA500 7D9F226F
7EC1310C	77C95768 7EC30CB3 26AC9538 78DEEAF2 59F1C4B7 583E2BBD
7E6725DD	04145C59
7F813EAA	5F135BA9 810B51B3 8006E621 7E5A752D
7B39A325	804E3EBA 7D44E35D 7E60DA63 79EA38DB 7D5ED24E 6B96145E 791FFC0C 78046836 8025677F 782C1534 6D5AF7AE 7DACCB59
76AE8AE5	7CC4DB8F 765159E9 765BF996 7A738C27 803A7095 7C3A07F9 784086F7 7A199AF9 761A287C 767418E0 7989E29C 24EA9B16
76EF455C	752C38BA 7D2B9E61 80BD7D0D 7A1A5F92 5CBF57BD
7A756AB4	770730BB
80F6FB6E	7E09476E 7DB13E18 03356C66 7DE444AE 7AC14146 7C395D05 7E03D439 7818D622 7F4295DA 7D10E28C 0797F4C8
7FA6B369	7EC14696 758FD67D 7A3B39CA 7BAD1014 7D0B4CE0 785E930B
7F0D03C0	6933CB60 7E3BBA93 7D11FD7A 808E09C9 81136CCD 7D68A4B2 7F7476CB 5F040F11 7521B2AB 7D50D8CA 810254E9 816935D0 80EACCF7 7A42AD55 7EC6A8F0 75D0B092 816C6A52
7FA6B367	7D303AFF 77AADF38 7D39A250
6322B5D1	6EB567E6 5DEDEB3E 5918FB4B 77CC8986 7772AC09 7FF85463 800B30B3 7DDEE2EB 81028C03 77B46533 76D08E2E 69066CD0 7926BA68 79368100 7802B9FB 7B5314C5 7ADAFA16 5A57565F 7FC973B2
7B0A41A5	5CB02CB8 7C07822E 7CAF7EDB 7C6A26BC 76F228E1 7C55CDBD 79F8F0E3 69AA15E5 80079A5F 76B9B5BF 798585D2 7E00A10C 7F7D3940 7825F384 770DA7CF 7B9DF3BC
5E1903C4	7A4646DD 0810D111 807B8E9F 82814DCB 7DF15D79 7F3B8455 7A38433B 776D3D71 5CD66F0E 7267D7A5 048EB690 62539784
7D87E54C	6035C88A 7B658DA8 7FB0ED23 7E22FBDA
7CB1C13C	7A73D2F8 7A0D06EB
7F698398	7E73D660 7B965D42 7F2E2224 7D568810 775F4EAC 814853F5
7E95CA50	7E3EBD3E 5B16726B 6FD87475 5E0AFA82 8092C044
8334B35D	811018E8 79B089FC 7A1D1FFA 8109C3D2 7A2C344C 7F9E9FA2 7515595F
7DA8329E	80558D9F 7518AC2E 805E057E 7DBCAF05 7634591E 8081EFA9 765B3A3B 801B0B2E 80EB0179 842A49FA
80BBC69D	80E7F068
7FB3CD09	7F085816 7BF00949 80BAD82A 0431906F
7DB01E6D	8088C3E7 77215BB3 769AB03F 77FD1F13 7F75E3D6 7B5CF4B6 7E52E4C4
7661E73D	7C05F528 7E5CEBC5 7F8458B5 791D91F2 7AD21C97 69F264F4
7BAAE209	308C9A20 329B41C6
81797402	7B5E2692
7F88C1DD	7D571DA4 8118AD5B 7E9A2CF0 7FBF8A2D 7E03B700 7F2188E6 80188BFF 7D009D73 7E3FE855 7D835A49 7D336D1E
7ED79EDD	7FDCCBF0 6EF4D029 7CB0B3A6
5A8A88AE	767CE7F7 7BD157EC 75BF0B87 7A658854 787A22BE
7C46EA3D	7709DC1F 7D9E3E00 7E5BDB14 816CA2B8 816674B3 7E5440AA 7D1D13C2 7A9EAC1E 7D25B4D7
7EA06871	806E288D 7F635768 7FE7C428 7E5EC4BA 7D07C1DC
7ED251A4	7DEE340A 80AF6F23 7B838491 7B5A89D9 80B4FA32 2DA44836 863176B5 79066639 813A67FC 7D74EA76 77539DDE 7E257E1B 77BED69E 7EECD7EB
7F7419E7	26D7999A 0A3CB439 6575D914 7E9FA6D8 013F3FF2 7A1DD36B 062B6E13 7C92C5D1 80C17571 810C25FA 7B8EE7FD 804D0807 76EAEA52 8155A3D5
7D51F605	76DD9C68
7E480C80	80ED8047 7E18A954 5F3D344F 7DF95AB2 0752244B
81493E14	807AE112 7A3A809F 7B489AFB 807E64EE 4985951C 7CFEF682 7B8FCD91 16FCCFCD 79675375 0EAFD7E9
8016997B	75D95763 7802DF05 772EF21F 7756D0A9
813B16E7	82391993
7E47FE95	76CFF192 789DBB4D 7FAE3C46 803810EE 22A63A48 7D417D58 7D0D5D01 7EB1A64A 74262F14 253D9701 7DB65382 7F57DF37 8066E25E 80E04FC7 7AAB4868 776B4DCF 759CF555
7A6CC636	76D2FAB6 76C06815 7E1D6D1A 78D5EC66
80A58CC1	7F5A59E3 7E5F1D45 755C44A9
7D1CD5F8	81450F8C 77E152D8
7EDC1D72	7F49CDB9
7FAF548B	75A6A33A 7F6E50AC
7E19B5BE	7C94F063 7D9A75F4 7796F25E 7D1EC588 796B0706 7FB72649 7FF6025F 8135BEE4 76BFAC06 792AEFCD 78EEE87C 8126EB32 7FF8ECB3 801DA1CF
7B4EA5F9	7B13328A 76A4D6F8 75B0AFAD
80F604D3	7B120349 67E36EB4
81500231	80109470 7F5489AE 81F9A734
7FE5DFDC	815B6C6D 7726936D
7D61803D	5A57792D 7DC4BFAB 7F3417CC 7DF1C391 80276AE8 5E0CF1C7 63BA10D7
7EE661E2	7A68B5F9 7D25B4D7 7D27DA76 7CF9144C 7E68E7E8 7CD9860C 814E30B6 7D755DD2
7F3C3809	752F4615 76473259 811E94C1
76C3EF95	7B4FBFBE 803CFF21 7780D4BE 75AD2F3D
7E4A9258	7AB254C6 7E56E5DF 7AD21C97 7A0FA174
751F75E2	24182FFD 8130AFF2 853D7658 7E41A8D3 71CE1DEC 7D30ED52 7CF3B803 7E34F979 7D452B62 7C91915A 7DE95E04
7E61A9C5	7CC81A33
808CC8B1	7D32D921 8177785D 81294B7E 7F132078 62401DBF 81245DF2
596FDF83	7C76B276 7D3CD01E 7A2B4E6D 7BD1643B 5C741118 7CF4E7DD
8079EBD8	81013CFC 7E7B7E3A 7AD21C97 8033D1A9 7B076F4A 8145088D
7FC21F49	77E0637B 76D03DB8 7F253D95
80D42A4F	7BF79E58 7EC670C5 78DD3DB6 7A41E376 7F4BE122 7736FF26 7A00469E
7F36E48D	7B52884C
80E2F37D	7D71CC2F 7F10DBD7 80B49560 757013ED 7D811205 7837A88E 7C40FB72
34FFCB8E	794A2FA9 81372BF8 7C012EF6 77C5F536 7E2CDCF5 789C5A32 61506AE6 152AC28A 7DA7C7D9 7F3437D4 78C8D3BF 78F3A071 7AF475FB 797E635F 761F1045 81606CBB 772064AD
7736EEC6	7745AA0A
80B914F7	7E3CF831 08BFC131 7D906B26
7964A14D	7B1F1895 7CB076BD 76BC5571
7D652DB1	7AF9F15A 7752DACC 7CF8BEE0 766C24E9 8104E665 5E1BEA44 74CD1EC7 7FA24866 7CF46196 78996905
7878967F	7C269FAF 81502AB8 7640E887 7BC6D86C 7EE9DD25 7541DD80 7B582944
800A98E2	79D17469 60067A66 7E6659E4 7E42DB69 7E598AD9 7FCAF5E9 7B44FCDF 7ED07FDB 7EFA5320 80C03BC7 7ED90BF1 8060DDD1 7EECF283 7B7BBDFE 7D3BC96E 7A36BD93 80B666DD 7FE80B78 80558D9F
80B67CD2	7AC1CB9A
7BF9ECB9	807CDE17 72084FB2 77316B4F 764153A0 7651911F 6BDF72F7 7A5EDD0C 6EF197D0 592199E4 7A3573A9 78A3A1D5 7BE51A4B 79B3E389 7E0EA4BC 58FC7D87 7A649D0D 8191E434
75868128	7ED02E2B 80DB42C3 7DCEBE66 803598D7 797DFCF5 76E661E6 7D5A83FF 7630AF24 02FF158B 7E506B41 09D1239E 7774CB49 808806AB 804ACA8F 78EEDECF 81742A9E 760E7DEE 7D889920 7E059535 79B29A12 817929D5
77B3619D	7871FBA2 7B33470B 75273070 762F9DE2 7C7514E1 79410D0C 7B7FEDAE 796B3B9A 7A5F8475 789AB58B 76D3A78F 7AC15C83 7FB03742
7E39E01D	7BC721DF 02332DDF 6F0DE540 5BAF451A 5BD6C24E 7A67E739 8305D892
80517DB1	7B7BBDFE 77D2E83C 7FD07A7E 813A3F18 762BB2AA 75F55516 815F922E
7FC1A6BA	58457DD8 7B105217 7BA61A0D
7F7F5C0A	807D7D80 8160F0AA 76198A23 7D244BF4 004A6E02 8038D13F 7F0199D3
814903EB	8124DE87 7C1130CA 7D29DEB4 7F171144 59047E4F 78CB059E
7EF800B3	7C527CA3 61F6E39D 778AC04F 7DE43FA4 8031685B 78ED2563 7D255104 7F32FF51
760215B8	7BBAEDD4 777BF40E 7C73118F 7C0C1D0D 820FB5BC 7F01F236 06B86FFB 7BFAB00B 7C275240 79497EB9 79884A42 80AD02CD 5C952A10 7F666E46 768FA6A4 7FBEFF86 09D7FC31 5B22B3DF 79536C27 78C41436 760C71A2
76312D87	80CD19DC 7E7AF08E 7EFA5ED9 808EA69A 81435948 7A8E394B 77C20DC6 7956EB02
7E71AE09	76A69CF9 7F0E00C9 7E1BCE40 7C94D38E 8240BFC5 804AC724
7D63A1B1	80D0D154 77222B21 5C59C1F0 7F3287D6
7FE229B1	7AEC6CFF 7620711F
814320D2	750D6DEB 014E6084 7C8B3864 80A213B9 78F09D14 812557FE 80C64437 80E35F4D 79235B02 58E55D58 7EAC890C
