3316C1E9	Geoffrey Mazeroff A
76F69A5C	Stochastic validation of structural FE-models based on hierarchical cluster analysis and advanced Monte Carlo simulation
7CE0A01B	NMR spectroscopy evaluation of direct relationship between soils and molecular composition of red wines from Aglianico grapes
7ED276ED	A Proposed Method for Brain Medical Image Registration by Hierarchical Clustering Algorithm
58AB46EC	Intelligent Techniques in Personalization of Learning in e-Learning Systems
76DBDC8A	A study on job placement for handicapped workers using job analysis data
75CE0ECF	β-Endorphin in pressor response to hyperventilation in elderly patients with essential and secondary hypertension
7F4F171C	Neural-network front ends in unsupervised learning
5F17973B	Clustering of categorical variables around latent variables
610F0B26	Classifying Stars: A Comparison Between Classical, Genetic And Neural Network Algorithms
5CCD76BA	Some aspects of resistance to and tolerance of potato cyst nematodes in potato
77A36CEB	Ribavirin Treatment Up-Regulates Antiviral Gene Expression via the Interferon-Stimulated Response Element in Respiratory Syncytial Virus-Infected Epithelial Cells
5952FE25	Exact Algorithms and Experiments for Hierarchical Tree Clustering
61F5BF98	Lyman Alpha Emitters in the Hierarchically Clustering Galaxy Formation
7BD38669	Deprojecting Sunyaev-Zeldovich statistics
5CDFA448	Genomic and Proteomic Analysis of Activated Human Monocytes
7BA0C6CF	A new energy-efficient hierarchical clustering algorithm for wireless sensor networks
795ECEE9	Departure from hierarchial clustering relations for two-, three-, and four-point correlation functions: Analysis of cosmological N-body simulations
7FBDD771	Statistical Analyses of Complex Denaturing Gradient Gel Electrophoresis Profiles
775F686D	Conformational Studies of a Synthetic Peptide from the Putative Lipid-binding Domain of Bovine Milk Component PP3
793566BA	SUBSPECIFIC VARIATION IN THE WIDESPREAD BURL-FORMING ARCTOSTAPHYLOS GLANDULOSA
776C367C	Statistical Power and Sample Size Requirements for Three Level Hierarchical Cluster Randomized Trials
762B3B5E	An Exploration of Questionnaire Sorting and Fuzzy Sorting
80DD8C9A	World-wide latitudinal and longitudinal seaweed distribution patterns and their possible causes, as illustrated by the distribution of Rhodophytan genera
77E0A3E4	Integrating image clustering and memory indexing for large scale content-based image retrieval
7EFC9D8E	Minimizing communication costs in hierarchically clustered networks of wireless sensors
78063F39	Profiling serologic biomarkers in cirrhotic patients via high-throughput Fourier transform infrared spectroscopy: toward a new diagnostic tool of hepatocellular carcinoma
7EE43AC9	Development of NeuroElectroMagnetic ontologies(NEMO): a framework for mining brainwave ontologies
76ED5ED2	Economic development strategies and methods for identifying leading industries and industrial clusters
78EF61AF	Effects of Vegetation Succession on Soil Fertility Within Farming-Plantation Ecotone in Ziwuling Mountains of the Loess Plateau in China
0BE106F6	Detecting Communities in Social Networks Using Max-Min Modularity
77D4E518	Chemometrical classification of aerosol analytical data
766BC72E	Finding overlapping communities in social networks: toward a rigorous approach
80F7F2D8	Hierarchical clustering methods for semiconductor manufacturing data
7D3A08B3	A Novel Method to Construct Taxonomy Electrical Appliances Based on Load Signaturesof
755B69B6	Optical bias and hierarchical clustering
753B1082	Nonlinear evolution of large-scale structure in the universe
7C22E650	Tree-ring growth of Pinus nigra Arn. subsp. pallasiana under different climate conditions throughout western Anatolia
7E15D1C1	Modeling of Human Behavior in Man-Machine Cooperative System Based on Hybrid System Framework
782F77EF	Research on Treatment Process for Chemical Agent VX Polluted Water by Enhanced Coagulation
7D26828D	HİYERARŞİK EĞİTİMSİZ SINIFLANDIRMA YÖNTEMLERİ İLE SPEKTRAL KÜTÜPHANELERDE MALZEME İNDİRGEME VE BANT AZALTIMI MATERIAL CLUSTERING AND BAND REDUCTION IN SPECTRAL LIBRARIES WITH UNSUPERVISED HIERARCHICAL CLASSIFICATION METHODS
7FFC7E76	A heuristic approach to predicting water beetle diversity in temporary and fluctuating waters
79EF3C2B	New approach for distributed clustering
7F4CB4DD	Clustering Categorical Data Based on Maximal Frequent Itemsets
75414C3F	An empirical examination of the "pain-behavior" construct.
750C7D6A	MicroRNA microarrays on archive bone marrow core biopsies of leukemias—Method validation
7C0E2289	The impact of thermally pulsing asymptotic giant branch stars on hierarchical galaxy formation models
77C70277	Chemical characterization and classification of pollen.
77D102F5	Identifying cliques in dark web forums - An agglomerative clustering approach
7A4D844F	A new bit rate estimation scheme for a subclassified video content using hierarchical clustering in IPTV services
80CA0F3E	Simultaneous analysis of 11 main active components in Cirsium setosum based on HPLC‐ESI‐MS/MS and combined with statistical methods
7B54BA6B	An Improved Hierarchical Segmentation Method for Remote Sensing Images
80223B67	K-tree: a height balanced tree structured vector quantizer
58D1AB3B	Hierarchical fiber clustering based on multi-scale neuroanatomical features
7BBFA512	Virial Scaling of Massive Dark Matter Halos: Why Clusters Prefer a High Normalization Cosmology
7DB941AD	The RhoGAP Protein DLC-1 Functions as a Metastasis Suppressor in Breast Cancer Cells
08114F1E	Galaxy Formation in Consequent Clustering Models
7F220345	Process partitioning for distributed embedded systems
7E9E8A96	On using query neighbourhood for better navigation through a product catalog: SMART approach
78626D2A	Comparative Proteomic Analysis of Non-small-cell Lung Cancer and Normal Controls Using Serum Label-Free Quantitative Shotgun Technology
804523A8	Geometry and curvature of spin networks
7E55F310	An Intrusion Detection System Based on the Clustering Ensemble
7F33C8F7	Structural patterns in complex systems using multidendrograms
7D67827E	Thromboelastometrically guided transfusion protocol during aortic surgery with circulatory arrest: A prospective, randomized trial
5F1AB85F	Work Values in Western and Eastern Europe
7BB0F630	Development of a method to investigate medical students’ perceptions of their personal and professional development
78F7937D	Expression of miRNAs Involved in Angiogenesis, Tumor Cell Proliferation, Tumor Suppressor Inhibition, Epithelial-Mesenchymal Transition and Activation of Metastasis in Bladder Cancer
77A7B200	Identification of indigoid compounds present in archaeological Maya blue by pyrolysis-silylation-gas chromatography–mass spectrometry
80E2AE08	Efficient multistage approach for unsupervised image classification
5CD549EE	Factors determining digital divide in Ghana's basic schools
7F2DC7D4	Models for analyzing the driving force of cultivated land supply change
7D88FE42	Research on experience reference among cities based on multivariate statistical analysis methods
7733F181	Comparison of gene expression responses to hypoxia in viviparous ( Xiphophorus ) and oviparous ( Oryzias ) fishes using a medaka microarray
762D7534	A constraint-based probabilistic framework for name disambiguation
785362AC	A method for assessing evergreen habitats using phytodiversity and geospatial techniques in tropical rain forests of Southern Western Ghats (India).
7AF09731	Learning the local molecular pattern of Alzheimer's disease by non-negative matrix factorization
7CCC82AC	Three-way distances
7EF20175	PathCluster: a framework for gene set-based hierarchical clustering
7B974A8D	A software package for the decomposition of long-term multichannel EMG signals using wavelet coefficients
7EA0BDDC	The Hierarchical-Cluster Topology Control Strategy of InterPlaNetary Internet Backbone based on Libration Points
70A3F9DE	Analisi multivariate per la valutazione delle politiche di e-government nei Comuni dell'Emilia Romagna
7DFA809A	유전자 알고리즘과 Feature Wrapping을 통한 마이크로어레이 데이타 중복 특징 소거법
7616F356	Hierarchical clustering techniques for image database organization and summarization
7EDBA055	Morphological variation of horse mackerel (Trachurus trachurus) in the Iberian and North African Atlantic: implications for stock identification
7751EEC3	Evaluation of genetic diversity of soybean introductions and North American ancestors using RAPD and SSR markers.
7CFF6709	Two-step method based on DEA efficiency decomposition model and HCA model for industrial enterprises efficiency analysis
78976D96	Alteraciones cognitivas en pacientes con hidrocefalia crónica del adulto ("normotensiva"): Propuesta de un protocolo para su evaluación clínica
78CFFADA	Hand-Held Electronic Nose Sensor Selection System for Basal Stamp Rot (BSR) Disease Detection
7F424F1B	Profiling the adult human liver transcriptome: analysis by cDNA array hybridization
7F1BB6E1	Discovering relations between named entities from a large raw corpus using tree similarity-based clustering
7FE8AD44	Distinctive gene expression of prostatic stromal cells cultured from diseased versus normal tissues
793A885D	Variability and ecology of the alpine dwarf shrub community Loiseleurio-Cetrarietum
74592405	Ontological summaries through hierarchical clustering
7DFE8E31	Functional summarization of gene product clusters using Gene Ontology similarity measures
7B45DDF8	From BRCA1 to RAP1: a widespread BRCT module closely associated with DNA repair
7B4B3254	Analyzing Sentiment Markers Describing Radical and Counter-Radical Elements in Online News
0539A5A1	Implicit Concept Mapping: A Computerized Tool for Knowledge Assessment in Undergraduate Psychology
7E5B45F6	Fast similarity search and clustering of video sequences on the world-wide-web
7B87130C	Unsupervised Motion Pattern Mining for Crowded Scenes Analysis
779F5845	A classification of local authority waste collection and recycling strategies in England and Wales
815E0C88	A system based on hierarchical fuzzy clustering for web users profiling
77B4F45E	How heterogeneous is the liver? A cluster analysis of DCE-MRI time series
7B828EF8	Cellular Fatty Acid Analysis of Isolates of Bacillus thuringiensis Serovar kurstaki, Strain HD-1
7DFCE328	Systematic genetic array analysis links the Saccharomyces cerevisiae SAGA/SLIK and NuA4 component Tra1 to multiple cellular processes
8122779B	Interaction between BRCA1/BRCA2 and ATM/ATR associate with breast cancer susceptibility in a Chinese Han population
6DE4816D	Financial benefits of investment in specialist housing for vulnerable and older people
7BEFCC55	Environmental Effects on Evolution of Cluster Galaxies in a Lambda-dominated Cold Dark Matter Universe
80371087	Design of an incremental clustering package for protein function and family analysis
7B4C7D53	Thin film morphology at low adatom mobility
07C6B314	Voids in galaxy catalogues: dynamical properties
75172A9C	Development of a procedure for prioritizing intersection improvement projects considering safety and operational factors
7F2EB124	Keyframe Extraction Using Local Visual Semantics in the Form of a Region Thesaurus
5DD94E00	An Inter-Class Feature Selection Procedure
84AD4C57	HCA Shares Rise On Higher 2015 Outlook
7671BC9B	Application of single-linkage clustering method in the analysis of growth rate of gross domestic product (GDP) At 1990 Constant Basic Prices (Million Naira)
7722C1FF	Biocomplexity from the Ground Up: Vegetation Patterns in a West African Savanna Landscape
61078994	Hydrogeochemical characterization of groundwater using multivariate statistical analysis and tritium in the mountainous area of Jeju Island, South Korea
5EC14002	Diversity Analysis of Information Pattern and Information Clustering Algorithm
8113AC4F	Research on Urban Logistics Infrastructure: An Empirical Study of China
6B6B51AE	The 2-point angular correlation function of 20,000 galaxies to V<23.5 and I<22
77D10D9D	A Multi-level Financial Distress Prediction Model Based on Rough Reduction and Clustering
61DFAA41	Surface water and groundwater chemical interaction in the Wairarapa valley, New Zealand
7B8ECA62	Oxidative stress response of tumor cells: microarray-based comparison between artemisinins and anthracyclines
01D4FBD1	Parallel algorithm for codebook generation with multi-step approach and hierarchical clustering
7B806AF5	Characterization and classification of caespitose acidophilous pastures of South-west Europe (Festucetea indigestae class)
5FBEAF85	Distance and Feature-Based Clustering of Time Series: An Application on Neurophysiology
59D5105E	A Visualization and Analysis of Categorical Data Using R and SOCR
8146317C	Service-selecting approach based on domain-specified 'Quality of Service' model and its application in logistics
7DDB7C34	Discrimination of Olives According to Fruit Quality Using Fourier Transform Raman Spectroscopy and Pattern Recognition Techniques
5DE96BD6	The Formation of Galactic Bulges: Where Do We Stand?
76C20C9B	Molecular Similarity Determination of Heteroaromatic Ring Fragments Using GRID and Multivariate Data Analysis
7CE1043C	Preliminary assessment of a nonlinear mapping algorithm in a geological context
0909570C	Integration and Differentiation in International Sociology: Clustering of ISA Research Committees
5B301590	Adaptive Power-Aware Clustering and Multicasting Protocol for Mobile Ad Hoc Networks
7E703E78	Cluster Analysis of 13 C Chemical Shift Tensor Principal Values in Polycyclic Aromatic Hydrocarbons
75442A66	Abundance of rich clusters of galaxies - A test for cosmological parameters
80897E46	Rectal cancer profiling identifies distinct subtypes in India based on age at onset, genetic, epigenetic and clinicopathological characteristics
81764645	Plant defense syndromes.
5FA0B5CC	User's manual for the hierarchial cluster analysis code DENDRO. [In Fortran IV for IBM 360]
7AA5A768	Bimodal Color Distribution in Hierarchical Galaxy Formation
7642FC0E	Association of microRNA-21 expression with its targets, PDCD4 and TIMP3, in pancreatic ductal adenocarcinoma
76B0F49B	The patterns of population differentiation in a Brassica rapa core collection
5A5A2717	The Effects of a Photoionizing UV Background on the Formation of Disk Galaxies
7A7EE3BC	A sol‐gel derived bioactive fibrous mesh
8430A639	Purchasing a home vs renting
7D892ED0	Fully distributed cluster based routing architecture for mobile ad hoc networks
753DB4E9	Comparative miRNA Expression Profiles in Individuals with Latent and Active Tuberculosis
073C013D	A Model of the Clustering and Distribution of Dark Matter Halos and Galaxies
5D9E9D3B	Strategies Pursued by Swiss Firms in Investing in R&D at Foreign Locations: An Empirical Analysis Based on Firm-level Data
763B9BBC	Measuring the similarity between trajectories using clustering techniques
5B5B2908	Simplicial similarity and its application to hierarchical clustering
017614B0	Moving Star Clusters in the Solar Neighborhood (Orlov+, 1995)
7E7F83D6	Classification and Recognition of Rossmann-Fold Protein
69ECA9DB	Hierarchical clustering for identifying crosscutting concerns in object oriented software systems
7FA71459	Speaker hierarchical clustering for improving speaker-independent HMM word recognition
76CBCF48	Traditional or contemporary? The prevalence of performance measurement system types
79A78AB1	THM PyGC-MS of wood fragment and vegetable fibre forensic samples.
7D989831	Gene expression profiles in rainbow trout, Onchorynchus mykiss, exposed to a simple chemical mixture
7DF1BD94	TINAC: A fast and effective web video topic detection framework
786EB0AD	Differential Gene Expression Profiles of Metastases in Paired Primary and Metastatic Colorectal Carcinomas
5C3BFD49	Content distribution networks over shared infrastructure : a paradigm for future content network deployment
016F4ADC	Optimal Clustering: Genetic Constrained K-Means and Linear Programming Algorithms
7CB0AA25	Hierarchical image clustering for analyzing eye tracking videos
8163F054	Self-organizing network control structures: local algorithms for forming global hierarchies
7FFFC71E	마르코프 체인과 계층적 클러스터링 기법을 이용한 작곡 기법
7B14B935	Mnemonic organization in young nonpsychotic schizophrenics
77686B20	Ages and metallicities of early-type galaxies
5B0B823D	A sociodemographic analysis of health care utilization in the United States
7DE0CA1C	X-ray photoelectron spectroscopy for the study of microbial cell surfaces
7C2AF115	A simulation study of hierarchical clustering techniques for the design of cellular manufacturing systems
7A3F7DB6	Responses of four succession tree species in low subtropics to enhanced UV-B radiation in the field
06DD940A	Extraction of Folksonomies from Noisy Texts
81649525	Blind texture segmentation
79FD73FD	Heating of Intergalactic Gas and Cluster Scaling Relations
806D5DED	Encoding method for bidirectional associative memory using projection on convex sets
845589FB	Anti-inflammatory effects of the hydroxycarboxylic acid receptor 2
76A39008	Pregalactic evolution in cosmologies with cold dark matter
7EF4F139	Concept Clustering of Evolving Data
795CD6FA	Geochemical types of pacific polymetallic nodules: An application of multivariate analysis
5A0E382E	Classifying herbivore diets using hierarchical cluster analysis.
58A5E807	Two-Stage Character Classification: A Combined Approach Of CLUSTERING AND SUPPORT VECTOR CLASSIFIERS
7BF3D865	A Probability theory of hierarchic clustering using random dendrograms
789EA919	Application of two-dimensional gas chromatography combined with pixel-based chemometric processing for the chemical profiling of illicit drug samples
7CF4CBE5	Community detection in incomplete information networks
75A16DF5	Clustering Bayon Face Towers Using Restored 3D Shape Models
7CB9C39D	Fluoride enrichment mechanism and geospatial distribution in the volcanic aquifers of the Middle Awash basin, Northern Main Ethiopian Rift
75A16DF3	Si-Fi: interactive similar item finder
0BD3F5AA	MULTISCALE BOOTSTRAP USING SCALEBOOT PACKAGE
7D45EA0D	Subgroups of haemodialysis patients in relation to fluid intake restrictions : a cluster analytical approach
76FBF205	Norwegians' preferences for U.S. lodging facilities: market segmentation approach.
7734F018	BOLD signal and vessel dynamics: a hierarchical cluster analysis
7D5C4643	How is the approach to teaching at secondary school related to first-year university achievement?
7FA2D007	Identification of a Transcriptional Fingerprint of Estrogen Exposure in Rainbow Trout Liver
7C55A660	A descriptive method to evaluate the number of regimes in a switching autoregressive model
80A6E2C3	Constitutive gene expression profile segregates toxicity in locally advanced breast cancer patients treated with high-dose hyperfractionated radical radiotherapy
77C14505	Assessment of Microbial Communities by Graph Partitioning in a Study of Soil Fungi in Two Alpine Meadows
8590BD22	A Simple Permutation Test for Clusteredness
81780216	Conditional Covariance-Based Nonparametric Multidimensionality Assessment.
7248BC29	Property-based Hierarchical Clustering of Peers using Mobile Agent for Unstructured P2P Systems
03A7795F	Outil de partitionnement hw/sw bas� sur l'algorithme Kernighan/Lin am�lior�
7F5829B0	Context-based Hierarchical Clustering for the Ontology Learning
80DCD40E	A hierarchical image clustering cosegmentation framework
7C1C4DD5	Research on ports group internal co-competition based on social network analysis
0331222C	SOURCES OF SUCCESS: SMALL FIRMS’ USE OF NETWORKS TO SUPPORT THE DEVELOPMENT OF INNOVATIONS (SUMMARY)
7AD87D12	Interactive Interpretation of Hierarchical Clustering
63C60757	Progress on the semi-analytical model of galaxy formation
812D7470	Predicting opportunities for greening and patterns of vegetation on private urban lands.
80EEB166	System on Chip for Sensor Network Security: A Proposed Architecture
7BE489D6	Method for failure pattern analysis in disk drive manufacturing
7AAA9975	Gene expression profiling of cell lines derived from T-cell malignancies
7F694203	Hierarchical Semantics of Objects (hSOs)
78971711	Extended Press–Schechter theory and the density profiles of dark matter haloes
7651DB9C	Modified Genetic Algorithm for Flexible Job-Shop Scheduling Problems
7BCA8D0E	Epigenetic Subgroups of Esophageal and Gastric Adenocarcinoma with Differential GATA5 DNA Methylation Associated with Clinical and Lifestyle Factors
7B6346C6	An acute dose of gamma-hydroxybutyric acid alters gene expression in multiple mouse brain regions
6B741923	Classification of color combinations based on distance between color distributions
79D05A70	Robust Speaker Diarization in a Multi-Speaker Environment Using Autocorrelation-based Noise Subtraction
5A9C9734	Chapter 4.1 Neural coding of episodic memory
76F7B655	Tertiary structure-based protein classification by virtual-bond-angles series
72E173DF	Passive sonar harmonic detection using feature extraction and clustering analysis
7604D938	Design of ART-based hierarchical clustering algorithm using quadratic junction neural networks
7819F274	A framework for hierarchical clustering based indexing in search engines
7B200279	Heuristic based approach to clustering and its time critical applications
7A1FB961	Hierarchical clustering of historic sound speed profiles
780F19EC	Social Group Identification and Clustering
62EA2E9A	GENERAL: Information diffusion on adaptive network
7C491F61	Analysis of mixed C-means clustering approach for brain tumour gene expression data
7E2CFA7D	Analysis of Star Formation in Galaxy-like Objects
7787CA57	Isozyme variation and species relationships in the genus Lolium L. (ryegrasses, Graminaceae)
7C01D5C6	Transcript profiling in Vitis riparia during chilling requirement fulfillment reveals coordination of gene expression patterns with optimized bud break
75239D11	On the parallel complexity of hierarchical clustering and CC‐complete problems
58C5ACE1	An Agent-Based Hierarchical Clustering Approach for E-commerce Environments
5D33F88A	The Formation of Galactic Bulges: Inside-Out Bulge Formation and the Origin of the Hubble Sequence
77A2DFEF	Self-descriptions: Configurations of content and order effects
7C0FF09A	Analysis of soft handover measurements in 3G network
5848B34A	Artificial neural network based life cycle assessment model for product concepts using product classification method
7B97428E	Novel quadratic programming approach for time series clustering with biomedical application
7AFAF5A1	A multiperspective approach to the conceptualization of executive functions
81B83141	Mining of Massive Datasets: Clustering
58F1BDDC	Air traffic complexity indicators & ATC sectors classification
7D1C1E9A	Identification of genes involved in the host response to enterovirus 71 infection
7DF00E5E	Measuring early childhood health : a composite index comparing Colombian departments
7E7D2EE7	Regional integration and economic convergence in the post-Soviet space: Experience of the decade of growth
7C4F45F5	Putative Biomarker Genes for Grading Clear Cell Renal Cell Carcinoma
690C63DE	Numerical Attributes in Decision Trees: A Hierarchical Approach
7D86E1D6	Testis transcriptome analysis in male infertility: new insight on the pathogenesis of oligo-azoospermia in cases with and without AZFc microdeletion
07716D6E	BofA Board Gives Chairman Job to Moynihan
7C98A79A	Cluster-based texture analysis
7BE6A6DB	Iterative Bayesian fuzzy clustering toward flexible icon-based assistive software for the disabled
769B6FEA	Homogeneous Ensemble Selection through Hierarchical Clustering with a Modified Artificial Fish Swarm Algorithm
7F6276A0	Understanding patterns of TCP connection usage with statistical clustering
7543210A	Simultaneous determination of six bioactive flavonoids in Citri Reticulatae Pericarpium by rapid resolution liquid chromatography coupled with triple quadrupole electrospray tandem mass spectrometry
7C4AD556	Effect of profound hypothermia during circulatory arrest on neurologic injury and apoptotic repressor protein Bcl-2 expression in an acute porcine model
7527B144	Learning Motion Patterns in Surveillance Video using HMM Clustering
051DC627	Statistical Analysis of Large Scale Structure by the Discrete Wavelet Transform
75FE06E7	Use of mass spectrometry for assessing similarity/diversity of natural products with unknown chemical structures
751BFDFD	Use of plots to define pollen-vegetation relationships in densely forested ecosystems of tropical Africa.
7C505CA3	Can descriptors of the electron density distribution help to distinguish functional groups?
815D8677	GSTT1 and M1 polymorphisms in Hürthle thyroid cancer patients
5CDEB12C	A hierarchical clustering method for the description of structures in galaxy clusters
5C994B8D	Evaluating a Self-Organizing Map for Clustering and Visualizing Optimum Currency Area Criteria
5D3AD5BA	Large Scale Circuit Partitioning with Loose/Stable Net Removal and Signal Flow Based Hierarchical Clustering
817445A8	ToF-SIMS studies of Bacillus using multivariate analysis with possible identification and taxonomic applications
779DC01C	The category of 1:1 ratio caused by assimilation of two neighboring empty time intervals
7B89A407	Hierarchical organization in neuronal functional networks during working memory tasks
7F5CF76E	Research on Clustering Algorithm and Its Parallelization Strategy
6306A80C	Synoptic Scale Structure of Summertime Wet and Dry Spells in Northeastern Kansas
5C3A850A	A novel radial basis function network classifier with centers set by hierarchical clustering
75CCFDC6	Structure–function relationship in complex brain networks expressed by hierarchical synchronization
7E60F962	The Phosphate Starvation Stimulon of Corynebacterium glutamicum Determined by DNA Microarray Analyses
76A16F86	Clustering toward detecting cyber attacks
79A7667B	Damped Lyman-Alpha and Lyman-Limit Absorbers in the Cold Dark Matter Model
738F3B1F	Competitive model to classify unknown data into hierarchical clusters through unsupervised learning
80C812E6	Structure formation: a spherical model for the evolution of the density distribution
6DB33944	관광시장 세분화에 의한 카지노테마파크산업 활성화 전략
0EE8C0EB	The Comparison of Different Methods in Hydrochemical Classification Using Hierarchical Clustering Analysis A Study of BaYi Tunnel in Chongqing , China
7D3AC56B	Building Committees by Clustering Models Based on Pairwise Similarity Values
79E6C5BE	Detection of counterfeit Viagra ® with Raman spectroscopy
7BFEB00C	The analysis of DNA shuffling by nMDS
84B320B9	On–line booking use for travel and holiday accommodation and development indicators: Clustering of European countries
76773651	Strength Pareto Multigroup Search Optimizer for Multiobjective Optimal Reactive Power Dispatch
777201AA	Different mechanisms of spinal fusion using equine bone protein extract, rhBMP-2 and autograft during the process of anterior lumbar interbody fusion
7733B5CF	QSAR study of ACK1 inhibitors by genetic algorithm–multiple linear regression (GA–MLR)
76F1E5D0	Multivariate statistical methods for discrimination of lactobacilli based on their FTIR spectra
5F6A65A4	The Photometric Redshift Distribution and Evolutionary Properties of Galaxies up to z ~ 4.5 in the Field of the Quasar BR 1202−0725
7A82D494	Automatic style clustering of printed characters in form images
79249275	A hierarchical cluster-based optical network-on-chip
7DC98703	Ownership and uses of human tissue: what are the opinions of surgical in-patients?
00CB8209	SIHC: A Stable Incremental Hierarchical Clustering Algorithm
75EAB1C0	Multi-sensor array used as an “electronic tongue” for mineral water analysis
841E0E61	RAG 기반 계층 분류 (2)
7E1FC4C2	Experiments in text-based mining and analysis of biological information from MEDLINE on functionally-related genes
7BC05A9E	Data Visualization and Analysis of CIC Graduate Student TeraGrid Resource Usage
7FE77E1F	Environmental/economic power dispatch using multiobjective evolutionary algorithms: a comparative study
5B35FC22	Hierarchical neighbor graphs: A low stretch connected structure for points in Euclidean space
5B842372	Hierarchical clustering of non-euclidean relational data using indiscernibility-level
7C397BA4	Fractal dimension of microvasculature in renal oncocytomas and chromophobe renal cell carcinomas
78F28F1A	A Framework for Adaptive Communication Modeling on Heterogeneous Hierarchical Clusters
7D35D7C2	The extracellular Leucine-Rich Repeat superfamily; a comparative survey and analysis of evolutionary relationships and expression patterns
7A779339	Comparison of Time Series of Alluvial Groundwater Levels before and after Barrage Construction on the Lower Nakdong River
75C8B8A8	CAD mesh model segmentation by clustering
8438F7A9	Comprehensive Cross-Hierarchy Cluster Agreement Evaluation
79AE9BD3	A Power Network Partitioning Method Based on Local Similarity Measure
76775B89	Assessing the Geometric Diversity of Cytochrome P450 Ligand Conformers by Hierarchical Clustering with a Stop Criterion
7D638243	Computational Discovery of Motifs Using Hierarchical Clustering Techniques
77BE9F32	Discovering non-coding RNA elements in drosophila 3′ untranslated regions
75A95F58	Human motion retrieval with symbolic aggregate approXimation
58C94328	Early Formation and Evolution of Galaxies
5DBB713C	The influence of the similarity measure to relevance feedback
795F687C	Perinatal Risk Factors for Bronchopulmonary Dysplasia in Extremely Low Gestational Age Infants: A Pregnancy Disorder–Based Approach
81266D4B	Saliva/Pathogen Biomarker Signatures and Periodontal Disease Progression
7C7EA124	RNA-Seq Atlas of Glycine max : A guide to the soybean transcriptome
779720F0	A multiresolution object space point-based rendering approach for mobile devices
5925E2F9	Hierarchical clustering technique for the minimum cost design of a naturally clustered computer communication network
5B881EF9	Industrial process monitoring by synthetic view
06D177BE	Study of the users' interests based on the internet browsing history
00C0B6C1	Product robust design based on evolutionary algorithm
7728349B	Image evaluation with chemometric strategies for quality control of paints
8126C3A2	Development of the Fingerprints for the Quality Evaluation of Scutellariae Radix by HPLC-DAD and LC-MS-MS
5832B7C8	A landscape-scale assessment of plant communities, hydrologic processes, and state-and-transition theory in a Western juniper dominated ecosystem
5A5C0812	Control of MNC's Environmental Performance and the Challenges of Subsidiary Network Dimensions
7A8A2D29	Hierarchial clasterization, decomposition and multilevel macromodeling—the effective and efficient tools to solve the sigh and very high size combinatorial circuit type problems (abstract only)
058520CA	Clustering of High-Volume Data Streams In Network Traffic
813412F0	Quantitative analysis of nucleoside transporter and metabolism gene expression in chronic lymphocytic leukemia (CLL): identification of fludarabine-sensitive and -insensitive populations
7FEF58E6	Energy-Efficient Area Coverage in Heterogeneous Energy Wireless Sensor Networks
795559A8	An parallel hierarchical clustering algorithm based on SIMD-EREW
7ED51D7E	Statistical Assessment of Physico-chemical Parameters of Water from Bore Holes and Shallow Wells in Agateeswaram and Kalkulam Taluks of Kanyakumari District, India
80290745	Concept Mapping as a Technique for Program Theory Development: An Illustration Using Family Support Programs. Notes.
7FCC3C32	An Efficient Blocking Technique for Reference Matching using MapReduce
76EB1B70	Masticatory muscle activity during deliberately performed oral tasks
76CB780A	Clustering Rules: A Comparison of Partitioning and Hierarchical Clustering Algorithms
77D6221E	Development of a portable electronic nose based on chemical surface acoustic wave array with multiplexed oscillator and readout electronics
7C8BFD0F	Greedy Routing on Hierarchical Clusters
04D05549	Fusi�n y evoluci�n qu�mica en modelos de agregaci�n jer�rquica
7FE7C74D	Squarepants in a tree: sum of subtree clustering and hyperbolic pants decomposition
78CB5608	Molecular characterization of early adenocarcinoma of the uterine cervix by oligonucleotide microarray
7E810B3A	HYDROLOGIC HOMOGENEOUS REGIONS USING MONTHLY STREAMFLOW IN TURKEY
7A067B25	Motivational subtypes and continuous measures of readiness for change: concurrent and predictive validity.
831EB2CC	MP visits Plymouth regeneration scheme
7ACFBA00	Proximity matrix reorganization and hierarchical clustering
75FCA05C	Distribution and enrichment of acid-leachable heavy metals in the intertidal sediments from Quanzhou Bay, southeast coast of China
7C2C5E4A	Evidence of biogenic alteration in sub-oceanic basalt glass: complexity image analysis, elemental abundance distributions, and Bayesian probabilistic classification
777DFFC0	A universal neuronal classification and naming scheme based on the neuronal morphology
7C5B0A4D	Designing efficient distributed neural classifiers: application to handwritten digit recognition
38C4E640	Adolescent Substance Abuse: Profiles of change in behavioral and family interventions for adolescent substance abuse and dependence
5D3D486A	A new distributed shortest path algorithm for hierarchically clustered data networks
751339AE	Gene expression profiling of single cells on large-scale oligonucleotide arrays
800DFF2A	On the Stability of Shared Near Neighbor Clustering
7C5DC544	Effect of Organic Residues and Liming Materials on Metal Extraction from a Mining-Contaminated Soil
75ADE7EF	News topic detection based on hierarchical clustering and named entity
80D9478D	Global transcriptomic analysis of Desulfovibrio vulgaris on different electron donors
7E883050	Streaming Hierarchical Clustering for Concept Mining
625F26E3	The Economics of Health Equity: Governing the market in health care: the social and political requirements
75A2EB4E	SONHICA (Simple optimized non‐HIerarchical Cluster Analysis): A new tool for analysis of molecular conformations
7EB9971A	Analysis of genetic divergence of classification of morphological and larval gain characteristics of peanut cocoon silkworm (Bombyx mori L.) germplasm.
6AE84C95	Forming Globular Cluster Systems in a Semi-analytic Scheme
