7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
7D77A13B	Support vector regression for porosity prediction in a heterogeneous reservoir: A comparative study
78D2FA5D	Long-term load forecasting for fast developing utility using a knowledge-based expert system
7ED70A42	A practical approach to sample-path simulation optimization
7E239D0C	Winter distribution and conservation status of the Sierra Nevada great gray owl
80553483	Static Prediction of Worst-Case Data Cache Performance in the Absence of Base Address Information
7D6A0593	Partial discharge location on power cables using linear prediction
7E78355F	Model reference adaptive predictive control for a variable-frequency oil-cooling machine
3CFC7391	CLBlood: A Cell-Based Light Interaction Model for Human Blood
7EC81865	Radio wave propagation along mixed paths in forest environments
7B9655C1	Risk prediction models with incomplete data with application to prediction of estrogen receptor-positive breast cancer: prospective data from the Nurses' Health Study
7A9C71F8	Addition of the sulfhydryl group ( SH) to the PPR78 model: Estimation of missing group-interaction parameters for systems containing mercaptans and carbon dioxide or nitrogen or methane, from newly published data
7B4DEB2D	Energy aware mobility prediction in wireless sensor networks
7ECCFF2B	A numerical study of scattering from an object above a rough surface
7637C3CB	Predicting protein oxidation sites with feature selection and analysis approach
7FB1CD07	Impact of CMOS technology scaling on the atmospheric neutron soft error rate
7EC16550	A Naïve multiple linear regression benchmark for short term load forecasting
7DA5184E	Accurate timing analysis by modeling caches, speculation and their interaction
7A0F4059	Evolutionary optimization, backpropagation, and data preparation issues in QSAR modeling of HIV inhibition by HEPT derivatives
7F694BAA	Development of a dynamic symbiotic network planner and application to a living lab testbed
7DAE9E19	THE ROLE OF SCHEDULED MAINTENANCE ACTIONS ON THE FAILURE PROCESS OF ELECTRIC RAIL VEHICLES
80C3FD89	Near-lossless image compression schemes based on weighted finite automata encoding and adaptive context modelling
7C10CB4F	Lossless image compression by using gradient adjusted prediction and Burrows-Wheeler transformation
7F6A61FB	Comparing the performance of two clinical models in estimating the risk of endometrial cancer in symptomatic postmenopausal women
7FEB5E87	Short-channel effect improved by lateral channel-engineering in deep-submicronmeter MOSFET's
792B20BA	Performance evaluation of unbalanced serial production lines
7DD4A386	Rate-Distortion Optimized Motion-Compensated Prediction for Packet Loss Resilient Video Coding
8080AC32	Universal MOSFET hole mobility degradation models for circuit simulation
5B255AB3	A Fuzzy Logic Model for Predicting the Development Schedule of Software Projects
7E4F7427	Effects of Gate Line Width Roughness on Threshold-Voltage Fluctuation Among Short-Channel Transistors at High Drain Voltage
7BC923A6	Simulation-based predicting the position of road tank explosions. Part II: a case study
78935639	Response surface modeling and optimization of composite nanofiltration modified membranes
7C830CBA	A novel composite model approach to improve software quality prediction
8113C27F	Audit client composition and predicting large bank failures: A possibilistic approach
7997202B	Modelling Niche Differentiation of Co-Existing, Elusive and Morphologically Similar Species: A Case Study of Four Macaque Species in Nakai-Nam Theun National Protected Area, Laos
815F260B	Coefficients of variation for chlorophyll, green algae, diatoms, cryptophytes and blue-greens in rivers as a basis for predictive modelling and aquatic management
775C850C	Grey prediction on indoor comfort temperature for HVAC systems
684F47AA	Understanding Prediction Systems for HLA-Binding Peptides and T-Cell Epitope Identification
79F4FB33	Motivations for ISO 14001 in the hotel industry
7CD73208	Time-dependent seismicity in China
813F6792	Short-term load forecasting in an autonomous power system using artificial neural networks
7CECC739	Application of Wiener model predictive control (WMPC) to a pH neutralization experiment
80F1354B	The impact of design properties on development cost in object-oriented systems
7EADB713	Software Reliability Engineering: A Roadmap
8071CE2A	New paradigm of predictive MOSFET and interconnect modeling for early circuit simulation
7F7942EF	Model-based predictive control for Hammerstein systems
7FD647B0	New approaches to modelling fish–habitat relationships
029D7913	Predicting Faulty Classes Using Design Metrics with Discriminant Analysis
7D0BE6CB	Statistical Transformation of Language and Pronunciation Models for Spontaneous Speech Recognition
81512007	Diffraction around corners and its effects on the microcell coverage area in urban and suburban environments at 900 MHz, 2 GHz, and 4 GHz
5CA9070A	On the Performance of Online Learning Methods for Detecting Malicious Executables
7A726805	Application of the diagonal recurrent wavelet neural network to solar irradiation forecast assisted with fuzzy technique
7F05F850	Predicting avian distributions to evaluate spatiotemporal overlap with locust control operations in eastern Australia
78B64B68	Predicting favorable conditions for early leaf spot of peanut using output from the Weather Research and Forecasting (WRF) model
2EF3ACFD	A Software Quality Prediction Model Without Training Data Set
7633D47E	Hybrid neural–GA model to predict and minimise flatness value of hot rolled strips
7E1681F2	A multi-hypothesis particle filter for indoor dynamic localization
7FCA043A	Using CAD software to simulate PV energy yield: Predicting the charge yield of solar cells incorporated into a PV powered consumer product under 3D-irradiation conditions
7E78C45D	DEVELOPING CRASH MODIFICATION FACTORS FOR URBAN HIGHWAY WITH SUBSTANDARD WIDE CURB LANE
81386F41	A Genetic Programming Approach for Software Reliability Modeling
7A28801A	Changes in the light sensitivity of buried Polygonum aviculare seeds in relation to cold‐induced dormancy loss: development of a predictive model
7E93A1E1	Leveraging Resource Prediction for Anticipatory Dynamic Configuration
7EABC0A1	Retargetable static timing analysis for embedded software
7E637B6A	PARAMO: A PARAllel predictive MOdeling platform for healthcare analytic research using electronic health records
59D7AC23	Design of a periodic photovoltaic charge-discharge schedule reflecting power demand prediction error
7D73CA93	Improvement of operating conditions in waste incinerators using engineering tools
7A4A2F46	Neural networks for the heat and mass transfer prediction during drying of cassava and mango
807DEF22	Independent performance modeling of parallel architectures and algorithms
7E019D7F	Load Forecasting of a Desert: a Computational Intelligence Approach
7EE11604	Pi-sigma and hidden control based self-structuring models for text-independent speaker recognition
8153D6BD	Quantitative Analysis Using NIR by Building Principal Component- Multiple Linear Regression-BP Algorithm
7E0CAB47	Factors influencing the formation of chlorination brominated trihalomethanes in drinking water
7AC545E0	Feasibility of near-infrared spectroscopy for online multiple trait assessment of sawn lumber
5F653BC9	Heritable differences in the dopaminergic regulation of sensorimotor gating
80D14DBA	Extraction of forest parameters in a mire biotope using high-resolution digital surface models and airborne imagery
807B72BF	Geometrical characteristics of magnetospheric energetic ion time series: evidence for low dimensional chaos
7FDF68DF	DM EMI noise analysis for critical conduction mode PFC
79C60AF5	Prediction of apparent protein digestibility of ingredients and diets by in vitro pH-stat degree of protein hydrolysis with species-specific enzymes for juvenile Pacific white shrimp Litopenaeus vannamei
7D988DA4	Bug fix-time prediction model using naïve Bayes classifier
12F2C8CF	Prediction of plant species distribution in lowland river valleys in Belgium: modelling species response to site conditions
04E6746C	Mining triadic closure patterns in social networks
76EE4A8C	Approximate continuous querying over distributed streams
774F14BF	A computational and comparative study of two controllable dissembling polymer networks
773D8724	The MSKCC nomogram for prediction the likelihood of non-sentinel node involvement in a German breast cancer population
7F4ABBC4	Short-time traffic flow prediction with ARIMA-GARCH model
7D04737E	Neural network multitask learning for traffic flow forecasting
814508A0	A Modeling Method for Time Series in Complex Industrial System
7E78F30E	A novel and convenient variable selection method for choosing effective input variables for telecommunication customer churn prediction model
81650F80	Modelling of organic field-effect transistors for technology and circuit design
79270EA6	A new predictive model for the bioconcentration factors of polychlorinated biphenyls (PCBs) based on the molecular electronegativity distance vector (MEDV)
817102AF	Detection and isolation of sensor faults on nonlinear processes based on local linear models
7FEEB758	Linking Surveillance to Action: Incorporation of Real-time Regional Data into a Medical Decision Rule
7A7AB965	Criminal recidivism among juvenile offenders: Testing the incremental and predictive validity of three measures of psychopathic features
7E187570	Mild strategies for IVF: from theory to practice
7F09295F	Gaussian Mixture Kalman Predictive Coding of Line Spectral Frequencies
763A13FB	Derivation of a Clinical Prediction Model for the Emergency Department Diagnosis of Ectopic Pregnancy
7DF8EF7C	Radiobrightness signatures of energy balance processes: melt/freeze cycles in snow and prairie grass covered ground
75E1B2D0	A Feature-Enriched Completely Blind Image Quality Evaluator
7F726898	Phase-Noise Analysis in Rotary Traveling-Wave Oscillators Using Simple Physical Model
7DC58011	Rain rate and rain attenuation estimation for Ku band satellite communications over Sri Lanka
832094ED	Directional decision lists
7DF8C83E	Optimal prediction pools
7AD2EA7A	The prediction of asphalt pavement permanent deformation by T-GM(1, 2) dynamic model
807F3CDF	Moving Volunteer Computing towards Knowledge-Constructed, Dynamically-Adaptive Modeling and Scheduling
792B74F1	The predictive validity of empirical Bayes estimates of road safety
7F363306	A new and accurate prediction model for growth response to growth hormone treatment in children with growth hormone deficiency
7B5C9235	Use of administrative data or clinical databases as predictors of risk of death in hospital: comparison of models
5D1C2359	Long-term ecological research on chlorophyll cycling in the Yuanyang Lake Nature Preserve I. The grey prediction models on chlorophyll degradation of Chamaecyparis var. formosana leaf
7D040C43	Scaling trends for device performance and reliability in channel-engineered n-MOSFETs
7CCAB0EE	Method for the prediction of the effective dose equivalent to the crew of the International Space Station
7DC0DDAB	Predicting project success using ANN-ensemble classificaiton models
5A12C298	Model Predictive Control for sensor-based group training optimization in professional cycling
7FFF6D99	Accuracy analysis of GO/UTD radio-channel modeling in indoor scenarios at 1.8 and 2.5 GHz
8043445C	A complete solution to intelligence based multivariable predictive control scheme
79492F72	Locating Macedonian tombs using predictive modelling
79243376	Construction of a prediction model for type 2 diabetes mellitus in the Japanese population based on 11 genes with strong evidence of the association
78A62349	A time-varied predictive model for EDM process
7922A3EE	Precipitating factors for delirium in hospitalized elderly persons. Predictive model and interrelationship with baseline vulnerability.
7FF038E3	A Proof of Concept Study of Predictive Current Control for VSI-Driven Asymmetrical Dual Three-Phase AC Machines
0DD8103E	A Smart Sensor Web for Ocean Observation: Integrated Acoustics, Satellite Networking, and Predictive Modeling
7BE57522	Using two ray multipath model for microwave link budget analysis
7E10459B	Comparing effort prediction models for Web design and authoring using boxplots
7F656AC4	Nonlinear Prediction Model Identification and Robust Prediction of Chaotic Time Series
80B9F71B	Portfolio optimization as a learning platform for control education and research
7ADC4910	Factors Affecting the Stability of Nanoemulsions—Use of Artificial Neural Networks
81038CC3	Control-relevant estimation of demand models for closed-loop control of a production-inventory system
7F45B7D3	Osculating Thevenin model for predicting delay and slew of capacitively characterized cells
8025A354	Adaptive nodes scheduling approach for clustered sensor networks
7FFC367B	Design and Implementation of Dimmable Electronic Ballast for Fluorescent Lamps Based on Power-Dependent Lamp Model
80699EC7	A predictive model for survival in metastatic cancer patients attending an outpatient palliative radiotherapy clinic1
7E2B65D7	Fast Model Predictive Control Using Online Optimization
7D800F33	Genetic programming model for software quality classification
751C9A4D	RMSE comparison of path loss models for UHF/VHF bands in India
7B6D535B	Adaptive model selection for time series prediction in wireless sensor networks
5E787A76	Modeling to control spores in raw milk
7518931F	On the dataset shift problem in software engineering prediction models
81282899	Progress in motion estimation for consumer video format conversion
80126722	Engine load prediction in off-road vehicles using multi-objective nonlinear identification
78483B9A	Discrimination and calibration of mortality risk prediction models in interventional cardiology
79505C01	Prediction and assessment of local stream habitat features using large‐scale catchment characteristics
606AB37A	Performance of convection‐permitting hurricane initialization and prediction during 2008–2010 with ensemble data assimilation of inner‐core airborne Doppler radar observations
75B50FAD	Sparse Grids: a new predictive modelling method for the analysis of geographic data
78BDA175	A Non-Parametric Method for Building Predictive Genetic Tests on High-Dimensional Data
7F0493B7	Model Predictive Control of Condensate Recycle Process in a Cogeneration Power Station
83720480	Improving students' performance in quantitative courses: The case of academic motivation and predictive analytics
7BD6AEBC	A simple method for predicting the lower heating value of municipal solid waste in China based on wet physical composition
7E791BA1	A validation of object-oriented design metrics as quality indicators
80657EF1	Model for End-stage Liver Disease Score versus Simplified Acute Physiology Score Criteria in Acute Renal Failure After Liver Transplantation
7F53EDD4	Identification of fuzzy prediction models through hyperellipsoidal clustering
80DFAA90	Application of Artificial Intelligent to Predict Surface Roughness
77EB366F	Application of predictive modelling techniques in industry: From food design up to risk assessment
77362CCD	A Priori Typology-Based Prediction of Benthic Macroinvertebrate Fauna for Ecological Classification of Rivers
7E733EC5	A predictive model for dysphagia following IMRT for head and neck cancer: Introduction of the EMLasso technique
8136657A	Behavioral Thermal Modeling for Microwave Power Amplifier Design
7DCF0F8F	Software change classification using hunk metrics
7D92ECE0	Backpropagation of pseudo-errors: neural networks that are adaptive to heterogeneous noise
792AD1B0	Using current web page structure to improve prefetching performance
7DCE3CAC	Human arm motion modeling and long-term prediction for safe and efficient Human-Robot-Interaction
7233D34E	On the Use of Requirements Measures to Predict Software Project and Product Measures in the Context of Android Mobile Apps: A Preliminary Study
7EA04C9E	Sequential Activity Profiling: Latent Dirichlet Allocation of Markov Chains
754C7D7D	Risk prediction scores for postoperative mortality after esophagectomy: validation of different models
7F1FF878	An empirical study using task assignment patterns to improve the accuracy of software effort estimation
7B896865	Predicting fish species richness in estuaries: Which modelling technique to use?
5A384D24	An empirical path loss model for Wireless Sensor Network deployment in a concrete surface environment
7E6B34E1	An improved model for the slewing behavior of opamps
795288B3	Transferability of predictive fish distribution models in two coastal systems
751D9160	Predicting Effectiveness of IR-Based Bug Localization Techniques
807A657F	Noncausal all-pole modeling of voiced speech
7DADBDF4	Numerical determination of the lip impedance and vocal tract area functions
801822F2	Minimizing risk using prediction uncertainty in neural network estimation fusion and its application to papermaking
811C652D	Predictive modeling in food mycology using adaptive neuro-fuzzy systems
7EA96608	Short-term load forecasting via fuzzy neural network with varied learning rates
7F2D5BD7	Partial resolution in branch target buffers
0884C276	Geospatial Applications in Archaeology
77D9840B	Runoff mapping using WEPP erosion model and GIS tools
77EA8D15	A predictive model for rare earth element partitioning between clinopyroxene and anhydrous silicate melt
7EA4774B	Comprehensible Models for Predicting Molecular Interaction with Heart-Regulating Genes
79999CCB	Revised Case-Based Reasoning Model Development Based on Multiple Regression Analysis for Railroad Bridge Construction
7D45D473	A critique of software defect prediction models
7A2827ED	Predicting Average Feed Intake of Lactating Holstein Cows Fed Totally Mixed Rations
78719244	Collision prediction models using multivariate Poisson-lognormal regression
7DEE8C1B	A simple and efficient template matching algorithm
7EF8D186	On the Use of Abduction as an Alternative to Decision Trees in Environmental Decision Support Systems
7FE7388A	Balancing ecological complexity in predictive models: a reassessment of risk models in the mountain pine beetle system
7A1C4F77	Clay particle retention in small constructed wetlands
7D05A542	Theoretical Analysis of the Physiologic Mechanism of Luminous Variation in Eye-Brain System
5B7E8EA6	Gene expression patterns that predict sensitivity to epidermal growth factor receptor tyrosine kinase inhibitors in lung cancer cell lines and human lung tumors.
7DAED5F9	An Artificial Immune System Approach for Fault Prediction in Object-Oriented Software
80589DFD	An Evaluation of Comparison between Multivariate Fuzzy Time Series with Traditional Time Series Model for Forecasting Taiwan Export
7E2F8A86	The use of the GARP genetic algorithm and Internet grid computing in the Lifemapper world atlas of species biodiversity
7A55C41D	A noninvasive intelligent approach for predicting the risk in dengue patients
7DA8DFBC	Field estimation of technological bread-making quality in wheat
05A10E9F	A PROTOCOL FOR STANDARDIZING THE PERFORMANCE EVALUATION OF SHORT -TERM WIND POWER PREDICTION MODELS
7958C236	Transportation noise and exposed population of an urban area in the Republic of Korea
769BED8C	Probabilistic prediction of urban water consumption using the SCEM-UA algorithm
7D61A7C2	Wireless propagation in buildings: a statistical scattering approach
7FFDD170	Confidence assessment in model-based structural health monitoring
802D753E	Application of generalized neuron in electricity price forecasting
7770C58F	Modelling the occurrence of gullies in rangelands of southwest Spain.
7E017707	More Results on the Validation of Gravity Model and the Effect of User Mobility in Cell Planning
814E0AF2	Building a Web-based Decision Support System for Sustainable Development of Energy, Economy and Environment
7D9D1294	System health state monitoring using multilevel artificial neural networks
7D523875	Outdoor Path Loss Measurements of WiMAX at 2.5 GHz in Suburban Environment
815F81AA	Using multiple and negative target rules to make classifiers more understandable
7DB39FDF	Estimation of high frequency NLOS path loss in street-cell environment
80B675E0	A statistical multiprocessor cache model
78642F38	Empirical comparison of three metrics suites for fault prediction in packages of object-oriented systems: A case study of Eclipse
7EF8CF11	A Regression-Based Analytic Model for Dynamic Resource Provisioning of Multi-Tier Applications
7240E170	Software metrics model for integrating quality control and prediction
7D2D3517	A Rectangular Groove-Loaded Folded Waveguide for Millimeter-Wave Traveling-Wave Tubes
7DD88379	Prediction of Sunspot Series Using BiLinear Recurrent Neural Network
7F12E3E6	Modified Threshold Voltage Shift Model in a-Si:H TFTs Under Prolonged Gate Pulse Stress
7CC02078	A simple prediction algorithm for bacteraemia in patients with acute febrile illness.
765A7F83	Analysis of reverse osmosis system performance using a genetic programming technique
7D96A8CF	An implementation of a neural network based load forecasting model for the EMS
786A8C14	Validation of a predictive model for postoperative pulmonary complications
7E29D68A	Short-term load forecasting based on chaos theory and RBF neural network
7ACC26BD	Comparison of fuzzy and MPC based buck converter
7E223B45	Predicting the performance of large programs on scalable multicomputers
7F157EE1	Predicting Subcutaneous Glucose Concentration in Humans: Data-Driven Glucose Modeling
7B09816B	Wind power bidding strategy in a day-ahead electricity market
7FF2650A	Statistical mixed V t allocation of body-biased circuits for reduced leakage variation
7995480F	An application of “Neuro-Logit” new modeling tool in corporate financial distress diagnostic
7EF76FB5	Predictive modelling of the growth and survival of Listeria in fishery products
79360237	Predictive modeling of mercury speciation in combustion flue gases using GMDH-based abductive networks
75298AD5	A model for the above-threshold spectra of truncated-well distributed-feedback lasers
816CC21F	Predicting Nonsentinel Node Status After Positive Sentinel Lymph Biopsy for Breast Cancer: Clinicians Versus Nomogram
7BB6BC8B	Debating the biological reality of modelling preservation
7E9F6D56	Distributed model predictive control of dynamically decoupled linear systems with coupled cost
812CE958	Gross alpha, gross beta activities and gamma emitting radionuclides composition of airborne particulate samples in an oceanic island
7DB41E36	Predictive reliability and prognostics for electronic components: Current capabilities and future challenges
76E8776E	In silico prediction of Tetrahymena pyriformis toxicity for diverse industrial chemicals with substructure pattern recognition and machine learning methods
7D7BEA3A	A radial basis function neural network approach for multi-hour short term load-price forecasting with type of day parameter
6D955021	ANN Prediction Models for Outdoor SIMO Millimeter Band System
75E0721D	Spatial Estimation of Saturated Hydraulic Conductivity from Terrain Attributes Using Regression, Kriging, and Artificial Neural Networks
7B5CAD1C	Admission duration model for infant treatment (ADMIT)
7D331FDE	Predicting build failures using social network analysis on developer communication
07901C41	Response of phenol-acclimated activated sludge process to quantitative shock loading
7F672B14	Multitemporal analysis of NDVI and land surface temperature for modeling the probability of forest fire occurrence in central Mexico
5E678A7E	Cloud service for assessment of news' Popularity in internet based on Google and Wikipedia indicators
771B9824	A geometrical model to predict the wear evolution of coated surfaces
7ECBCB79	Packet dropping for H.264 videos considering both coding and packet-loss artifacts
76D0C397	Predicting four or more metastatic axillary lymph nodes in patients with sentinel node-positive breast cancer: assessment of existent risk scores.
7ECA6261	RBF Neural Network and ANFIS-Based Short-Term Load Forecasting Approach in Real-Time Price Environment
784DFEF2	FPE-based criteria to dimension feedforward neural topologies
7E00EC3E	Soft-Error Hardening Designs of Nanoscale CMOS Latches
81279771	Bioelectric Effects of Intense Nanosecond Pulses
7EC25A18	Neural network optimization tool based on predictive MDL principle for time series prediction
8150E296	Real-time constrained TCP-compatible rate control for video over the Internet
7F160ACD	Prediction of software reliability using feedforward and recurrent neural nets
7E3A6F08	Health Condition Prediction of Gears Using a Recurrent Neural Network Approach
62A28D44	Multistage Wind-Electric Power Forecast by Using a Combination of Advanced Statistical Methods
7E18FD0A	Nearest-neighborhood linear regression in an application with software effort estimation
5A390100	Non-parametric regression modeling for stochastic optimization of power grid load forecast
7DA66483	Analytical model of RLP in IS-2000 CDMA networks
80E2E09F	Aspects of rumen microbiology central to mechanistic modelling of methane production in cattle
802AE571	A predictive control algorithm with interpolation for a robot manipulator with constraints
7EB71838	The grand banks ERS‐1 SAR wave spectra validation experiment: Program overview and data summary
7EB71CA8	Order selection for AR models by predictive least squares
7D637DC9	On the Importance of Data Balancing for Symbolic Regression
75A0702D	Artificial Neural Networks Applied to Survival Prediction in Breast Cancer
81769694	Cost-sensitive boosting in software quality modeling
803294B7	A High-level model predictive control guidance law for unmanned aerial vehicles
81355CEA	Distribution of Capybaras in an Agroecosystem, Southeastern Brazil, Based on Ecological Niche Modeling
7E3C4253	Predicting Wafer-Lot Output Time With a Hybrid FCM–FBPN Approach
77C96C2A	Growth hormone treatment for short stature in children born small for gestational age
815BC635	Implementation and analysis of path history in dynamic branch prediction schemes
7C975436	Feature Extraction Model to Identify At -- Risk Level of Students in Academia
8178B749	Model predictive control of a battery emulator for testing of hybrid and electric powertrains
7E05E91A	Just in time models for dynamical systems
77107D2A	A Simple Method to Estimate the Output Power and Efficiency Load–Pull Contours of Class-B Power Amplifiers
8059E97D	Predictive model of "Listeria monocytogenes" growth rate under different temperatures and acids
803259C7	A reliability model combining representative and directed testing
807ABBB8	Constrained linear quadratic regulation
814EDE5B	Probabilistic adaptive direct optimism control in Time Warp
77D86628	Modelling approaches for anion-exclusion in compacted Na-bentonite
7E1AC999	A Discriminative Prediction Model of Neurological Outcome for Patients Undergoing Surgery of Brain Arteriovenous Malformations
7B916E1A	Look before You Leap: Using the Right Hardware Resources to Accelerate Applications
78C13956	Multivariate forecast of winter monsoon rainfall in India using SST anomaly as a predictor: Neurocomputing and statistical approaches
7C32FADE	The effect of habitat‐specific sampling on biological assessment of water quality using a predictive model
78D5DF32	Cost-Optimized Resource Provision for Cloud Applications
819DAD05	Performance prediction upon toolchain migration in model-based software
7E8FE81D	Memory-aware power modeling for PAC DSP core
7DBC2CFD	Adaptive neural network short term load forecasting with wavelet decompositions
76271ECE	Current status of machine prognostics in condition-based maintenance: a review
7DDCBF2D	A Methodology for Performance Modeling of Distributed Event-Based Systems
7B1D424D	Heat transfer and multiphase flow with hydrate formation in subsea pipelines
75E7D162	Autogenous shrinkage of concrete containing granulated blast-furnace slag
77D8662F	Detecting anomalous phase synchronization from time series
7D1711AB	Content Clustering Based Video Quality Prediction Model for MPEG4 Video Streaming over Wireless Networks
8115AA60	Confidence interval estimation for short-term load forecasting
7CFB7A1E	Analytical Design Model for Surface-Mounted Permanent-Magnet Synchronous Machines
7EBBF96A	Critical Charge Characterization for Soft Error Rate Modeling in 90nm SRAM
76D0CFD9	Hidden Behavior Prediction of Complex Systems Under Testing Influence Based on Semiquantitative Information and Belief Rule Base
63289BBA	Log-logistic software reliability growth model
80032C49	Robust constrained model predictive control using closed-loop prediction
77C02445	Optimum surface roughness in end milling Inconel 718 by coupling neural network model and genetic algorithm
81648B76	Mining fuzzy association rules from microarray gene expression data for leukemia classification
7F868F32	Edge chain analysis for object verification
7E2F0248	Design of reliable VLSI circuits using simulation techniques
7FB41C58	Testability prediction for sequential circuits using neural networks
80624A78	Analysis of Software Reliability Modeling Considering Testing Compression Factor and Failure-to-Fault Relationship
7D33E90B	A Model Building Process for Identifying Actionable Static Analysis Alerts
803BE7A0	Software development cost estimation using function points
80BC723C	Classification of Future Electricity Market Prices
7D0A177D	Quality of service and planning sensitivity evaluation for macrocellular mobile networks
7FDEED61	A Hybrid System Integrating a Wavelet and TSK Fuzzy Rules for Stock Price Forecasting
7F649430	Multichannel 2-D AR spectrum estimation
7E2C6FF1	Application of Breast Cancer Risk Prediction Models in Clinical Practice
76E1B249	Can we predict the duration of chemotherapy-induced neutropenia in febrile neutropenic patients, focusing on regimen-specific risk factors? A retrospective analysis
7A468637	Risk Prediction in Sexual Health Contexts: Protocol
778C833E	Decision-making, risk and corporate governance: A critique of methodological issues in bankruptcy/recovery prediction models
7D598478	A Radio-Coverage Prediction Model in Wireless Communication Systems Based on Physical Optics and the Physical Theory of Diffraction
803AD08C	Efficient system design space exploration using machine learning techniques
813F6676	Validation of a prognostic model to predict survival after non-small-cell lung cancer surgery
8054B095	Software reliability models with time-dependent hazard function based on Bayesian approach
7DBB7428	Climate change might drive the invasive tree Robinia pseudacacia into nature reserves and endangered habitats
80C05609	Light rail passenger demand forecasting by artificial neural networks
7C4F75EE	Predictive models for bacterial growth in sea bass (Dicentrarchus labrax) stored in ice
55DCA382	Moderate efficiency of clinicians' predictions decreased for blurred clinical conditions and benefits from the use of BRASS index. A longitudinal study on geriatric patients' outcomes
807723EE	Adaptive control of speed and equivalence ratio dynamics of a diesel driven power-plant
7E9EDA10	Concepts of lightning return stroke models
7E53AA5F	Inferior alveolar nerve damage after lower third molar surgical extraction: A prospective study of 1117 surgical extractions
7EA2440D	Modeling of NBTI-Induced PMOS Degradation under Arbitrary Dynamic Temperature Variation
7ACB5329	An explanation for the effect of inoculum size on MIC and the growth/no growth interface
7FF0DC2A	Effect of Expert Opinion on the Predictive Ability of Environmental Models of Bird Distribution
6FE62338	Empirical Validation of Measures for UML Class Diagrams: A Meta-Analysis Study
7E1FC8AE	Preprocessing technique to signal strength data of wireless sensor network for real-time distance estimation
7D24FA2E	Successful validation of a survival prediction model in patients with metastases in the spinal column
7E5712B8	On the relevance of long-range dependence in network traffic
781AEBCC	Optimal selection of potential customer range through the union sequential pattern by using a response model
796C3412	Using simulated annealing to optimize the feature selection problem in marketing applications
7CF401F3	Short-term load forecasting using artificial immune network
7F70126D	A simple method to characterize substrate current in MOSFET's
7E025300	Free-living inferential modeling of blood glucose level using only noninvasive inputs
7E32E007	Application of nonlinear model-based predictive control to fossil power plants
7869D21C	Correlation analysis of solar power and electric demand
7DFE2A0B	Finding the Secret of Image Saliency in the Frequency Domain
808BF974	An inverse procedure for the return stroke current identification
5CE4A496	Forecasting electrical load using a multi-time-scale approach
787C6EE1	Validation study of the Short Time Exposure (STE) test to assess the eye irritation potential of chemicals.
794A8CC2	First steps towards the development of a non-destructive technique for the quality control of wine grapes during on-vine ripening and on arrival at the winery
82FBCB28	Learning classifiers from remote RDF data stores augmented with RDFS subclass hierarchies
813D4D64	Nonlinear predictive control of steel slab reheating furnace
59FB749E	A Rule-Based Approach to Developing Software Development Prediction Models
811B365D	A compact model for multiterminal bipolar devices used in smart power applications
7C4A41A3	Adaptive disturbance rejection using ARMARKOV/Toeplitz models
7ED5E6DF	Projectile Identification and Impact Point Prediction
7AC026CF	Application of Systemic-Structural Theory of Activity in the Development of Predictive Models of User Performance
7E0306A6	Robust Receding Horizon Control using Generalized Constraint Tightening
59E341DB	Parking availability prediction for sensor-enabled car parks in smart cities
7F621E5E	Prediction of driver head movement via Bayesian Learning and ARMA modeling
813B5C37	Effective electroelastic moduli of 3-3(0-3) piezocomposites
7EB18323	An analytical model of inter-node communication towards performance prediction of multi-node systems
78D27E38	Effects of the El Niño-Southern Oscillation on dengue epidemics in Thailand, 1996-2005
8054FC9A	Dataflow-based implementation of model predictive control
803D9C71	Robust model predictive control and observer for direct drive applications
80C0A956	A Wideband Predictive “Double- $\pi$ ” Equivalent-Circuit Model for On-Chip Spiral Inductors
7DAD0222	A prediction model for electromagnetic interferences radiated by an industrial power drive system
78810E52	Neural network modeling and control of cement mills using a variable structure systems theory based on-line learning mechanism
80ADBC9E	Design and Implementation of Bandwidth Prediction Based on Grid Service
5E134612	Dynamic Behavior Modeling of Civil Structures Using Wavenets and Neural Networks: A Comparative Study
7F7D598C	Calibration Issues of PHY Layer Abstractions for Wireless Broadband Systems
7F09343E	Predictive modeling of anatomic structures using canonical correlation analysis
7F55C0B3	Failure correlation in software reliability models
7DE5A460	Short —term electricity load forecasting based on SAPSO-ANN algorithm
7A564A49	Development and validation of a disease forecast model for Sclerotinia rot of carrot
808834CB	High-voltage device modeling for SPICE simulation of HVIC's
7D08FB45	Load Forecasting Model Based on Amendment of Mamdani Fuzzy System
80AF2764	Workload Prediction on Google Cluster Trace
81A0E667	Generalized Power Series Analysis of Intermodulation Distortion in a MESFET Amplifier Simulation and Experiment
7F7E881E	Hot-carrier-reliability design guidelines for CMOS logic circuits
8068C0E2	Driver-assist steering by active front steering and differential braking: Design, implementation and experimental evaluation of a switched model predictive control approach
77885631	Time series analysis and forecasting techniques for municipal solid waste management
7E28C8CB	Land Mobile Satellite Channel Simulator Along Roadside Trees
7A466DC4	Design of an estimator for the prediction of drying curves
795F2D53	Predicting riverine dissolved silica fluxes to coastal zones from a hyperactive region and analysis of their first-order controls
78F613E2	Ovarian volume and antral follicle count for the prediction of low and hyper responders with in vitro fertilization.
7D5E01E0	Empirically derived analytic models of wide-area TCP connections
