7632557C	Information not present<---Quality of service provision under channel fading
7FED5323	Wireless Communications and Networking Conference<---A TDMA-based physical layer solution for high-rate synchronous CDMA systems
8123A9AF	Information not present<---A hierarchical security architecture for cyber-physical systems
22F93AE9	Information not present<---DISTI | VIJESTI - Disti web portal u novom izdanju
813C7EAE	IEEE Communications Magazine<---Packet data over cellular networks: the CDPD approach
80483236	Wireless Communications and Networking Conference<---Optimizing Downlink Throughput with User Cooperation and Scheduling in Adaptive Cellular Networks
79C0C427	ACM Sigcse Bulletin<---SIGCSE 2002 forum: introducing SIGCSE committees: a new initiative to support computing education through SIGCSE-member involvement
7CF52536	Information not present<---A cross-layer design of network coded retransmissions in wireless relay channels
7F352400	American Control Conference<---Reachability analysis of hybrid lateral control problem for automated heavy-duty vehicles
7FD83FD6	Global Communications Conference<---OFDM vs. HSDPA comparison for satellite digital multimedia broadcasting systems
7F907F46	Information not present<---An innovative timing slack monitor for variation tolerant circuits
79C66628	Digital Systems Design<---Physical Layer for Spectrum-Aware Reconfigurable OFDM on an FPGA
594F09A6	Clinical Orthopaedics and Related Research<---Physical-Layer Security: Combining Error Control Coding and Cryptography
7FBA538B	Information not present<---Survey of cognitive radio architectures
79CF6F2C	Information not present<---Estimation of propagation time and bit error rate in point-to-point physical layer channel of 100 Mbps FDDI network
7E043F76	Global Communications Conference<---Error control in multi-layered stacks
7C76E75D	International Conference on Computer Modeling and Simulation<---The Protocol of Physical Layer for Underwater Acoustic Network
7D53D275	IEEE Communications Surveys and Tutorials<---A survey of multimedia streaming in wireless sensor networks
7FE8DD79	World of Wireless, Mobile and Multimedia Networks<---PARMA: a PHY/MAC aware routing metric for ad-hoc wireless networks with multi-rate radios
7C9FA2BB	International Symposium on Information Theory<---On emptying a wireless network in minimum time
7FB3D162	Global Communications Conference<---Optimizing Throughput of UWB Networks with AMC, DRP, and Dly-ACK
809E958A	Global Communications Conference<---Design of a Distributed Protocol for Proportional Fairness in Wireless Body Area Networks
7557E808	International Conference on Communications<---An enhanced capture scheme for IEEE 802.15.4 wireless sensor networks
8021C173	Journal of Computers<---Development of Dangerous Source’s Monitoring & Management and Emergency Rescue Decision-Making Support Information System
80A728E3	International Conference on Communications<---Distributed Cross Layer Congestion Control for Real-Time Video over WLAN
7CEAE871	International Journal of Pressure Vessels and Piping<---The demonstration of incredibility of failure in structural integrity safety cases
7F3AD926	Information not present<---New plasma tools for antimatter science
227573FD	Information not present<---DISTI | VIJESTI - Disti sale- Alienware M11x gaming laptop
7D05E9CB	Consumer Communications and Networking Conference<---An efficient selective-repeat arq scheme for half-duplex infrared links under high bit error rate conditions
774C0702	ACM/IEEE International Conference on Mobile Computing and Networking<---ZIMO: building cross-technology MIMO to harmonize zigbee smog with WiFi flash without intervention
7E17DFC0	Information not present<---A type-I hybrid ARQ protocol over optimal-sequence CDMA link
7ED50948	Information not present<---Multi-mode relay simulations: An energy evaluation on WSNet
7704C6FF	Signal Processing-image Communication<---Rate-distortion based real-time wireless video streaming
7E93A9E6	Consumer Communications and Networking Conference<---Demonstration of HDTV Transmission Using 324Mbps WLAN Equipment
77F6F31D	IEEE Journal on Selected Areas in Communications<---Wireless User Authentication via Comparison of Power Spectral Densities
7F186073	International Conference on Communications<---Challenges and Futuristic Perspective of CDMA Technologies: OCC-CDMA/OS for 4G Wireless Networks
04E3E49D	Information not present<---Función del monitor en los programas ocupacionales y de empleo para personas con deficiencia mental
7F525FBD	Wireless and Optical Communications Networks<---Optimal scheduling and resource allocation using hierarchical modulation in wireless networks
7DAD0F1A	Information not present<---Optical data links for automotive applications
5D176F43	Information not present<---Cross-Layer Optimization for WiMAX Systems
77EFCC79	Information not present<---Location based radio resource allocation (LBRRA) for WiMAX networks
7F3DB27A	Information not present<---Design and Implementation of a Software Defined HiperLAN/2 Physical Layer Model for Simulation Purposes
800E6E39	European Transactions on Telecommunications<---Robust Programmable-Rate Wireless Graphical Correspondence
7D1DB922	IEEE Transactions on Wireless Communications<---A Cross-Layer Admission Control Framework for Wireless Ad-Hoc Networks using Multiple Antennas
7F1BB4D7	Field-Programmable Custom Computing Machines<---Automatic Self-Reconfiguration of System-on-Chip Peripherals
76098D75	Journal of Mathematics and Statistics<---Hardware Implementation of a Genetic Algorithm Based Canonical Singed Digit Multiplierless Fast Fourier Transform Processor for Multiband Orthogonal Frequency Division Multiplexing Ultra Wideband Applications
789E55EA	International Conference on Wireless Communications and Mobile Computing<---An approach to secure wireless communications using randomized eigenvector-based jamming signals
7C88D0E2	Information not present<---Some remarks on the reduced constellation decision-directed blind phase correction
7E54E6F4	Cognitive Radio and Advanced Spectrum Management<---Capacity improvement of high density wireless LAN networks using adaptive directional antenna
7F6A40C4	IEEE Aerospace and Electronic Systems Magazine<---FlexRay in aerospace and safety-sensitive systems
6954FEAA	Personal, Indoor and Mobile Radio Communications<---Scheduling policies for joint optimization of DLC and physical layer in mobile communication systems
7D04F242	Information not present<---Anti-PUE Attack Base on the Transmitter Fingerprint Identification in Cognitive Radio
7B9B6EB0	Information not present<---Stryker Brigade Combat Team IPv6 transition modeling and simulation study
7CF672E3	International Conference on Communications<---An algorithm for bandwidth management with survivability constraints in ATM networks
8062BD19	Global Communications Conference<---Link-adaptable polling-based MAC protocol for wireless LANs
7DC6E9A1	Information not present<---Wireless mesh networks: Cross layer design challenge!!
815894BB	IEEE Communications Letters<---Optimal RWA for Static Traffic in Transmission-Impaired Wavelength-Routed Networks
7FDD64BA	Information not present<---Random multiple access with successive interference cancellation for centralized networks
7E785CDB	Electro/Information Technology<---Measuring the performance of IEEE 802.11p using ns-2 simulator for vehicular networks
09D7BD4B	Information not present<---DISTI | VIJESTI - Ruckus Wireless Workshop
7E5E978E	International Conference on Communications<---Contention-Based Prioritized Opportunistic Medium Access Control in Wireless LANs
7AF56F54	Marine Pollution Bulletin<---Using nitrogen stable isotope ratios (δ 15 N) of macroalgae to determine the effectiveness of sewage upgrades: changes in the extent of sewage plumes over four years in Moreton Bay, Australia
7661CCC1	Computer Systems: Science & Engineering<---A Novel Scheduling Algorithm Based on Buffered Crossbar Switch Fabric in EPFTS Switch
58B98B46	IEEE Journal on Selected Areas in Communications<---Location-Based Secure Transmission for Wiretap Channels
7EDC3048	Information not present<---Filterbank based multi carrier transmission (FBMC) — evolving OFDM: FBMC in the context of WiMAX
784F809C	Information not present<---Beamforming for heterogeneously equipped nodes in wireless ad hoc networks
7D576808	International Conference on Communications<---Cognitive Radio with Secondary Packet-By-Packet Vertical Handover
75771188	Advanced Materials Research<---Design of on Line Car Battery Monitor System Base on FPGA
7EF35387	Information not present<---Cognitive spectrum shaping for InHome Power Line Communications
7E680737	Information not present<---Considering Lifetime Optimal Rate Allocation and Power Control in Wireless Ad hoc Networks
811BC690	IEEE Transactions on Broadcasting<---On the Methodology for Calculating SFN Gain in Digital Broadcast Systems
81286488	Information not present<---Cross-layer optimized transmission of H.264/SVC streams over DVB-T2 broadcast system
7B1909AA	Information not present<---Wideband mobile propagation measurements at 3.7 GHz in an urban environment
45EA5918	Information not present<---Multiwavelength Optical Networks: Network Connections
77006964	Materials Letters<---Using phenolphthalein as a promising indicator to monitor the vacuum freeze-drying process
7D85CF3A	Collaborative Computing<---Impact of practical models on power aware broadcast protocols for wireless ad hoc and sensor networks
775AF38B	Broadband Communications, Networks and Systems<---Adaptive contention access suspension in IEEE 802.15.3 MAC
7BFC762F	Information not present<---Increasing a postprocessor in intrusion detection systems to use in switches
7DAE3EF5	International Symposium on Information Theory<---On the effective capacities of multiple-antenna Gaussian channels
806C3FB9	IEEE Transactions on Wireless Communications<---Cross-Layer Cooperative MAC Protocol in Distributed Wireless Networks
817A31E1	Canadian Conference on Electrical and Computer Engineering<---Efficient available bandwidth estimation in ad hoc networks
7FE6DFE9	Canadian Conference on Electrical and Computer Engineering<---Codesign implementation of a 3G base station receiver
7C99F464	IEEE Transactions on Instrumentation and Measurement<---Cross-Layer Measurement for the Analysis of a DVB-T System Performances at the End User Level
7A1DCD6C	Information not present<---Position-Based Greedy Stateless Routing for Multihop WPANs Based on a Realistic OFDM UWB Physical Layer
770B57C0	Information not present<---A cross layer fair resource allocation scheme For an OV-CDMA based optical network
7FE9E8A1	International Conference on Acoustics, Speech, and Signal Processing<---Optimizing physical layer data transmission for minimal signal distortion
58D345FF	Wireless Networks<---A capacity analysis for the IEEE 802.11 MAC protocol
7E1161CC	IEEE Transactions on Consumer Electronics<---An active-node fault diagnosis system for CEBus networks
7F7B6D72	Ad Hoc Networks<---Joint routing and scheduling optimization in arbitrary ad hoc networks: Comparison of cooperative and hop-by-hop forwarding
7EA6D4C2	International Conference on Communications<---A Unified Framework for Interference Modeling for Multi-User Wireless Networks
802C8AC2	IEEE Communications Letters<---Generalized input deterministic service queue model: analysis and performance issues for wireless tactical networks
8109CCE1	Global Communications Conference<---On the Throughput of Wireless Sensor Networks Using Multi-Packet Reception
75739452	Applied Mechanics and Materials<---Urban Environment Monitoring and Control System Design
01B0314E	Information not present<---Multiplex optical sensors for reference structure tomography and compressive spectroscopy
7E7EF742	IEEE Journal on Selected Areas in Communications<---A network-layer soft handoff approach for mobile wireless IP-based systems
80EF4E7A	IEEE Transactions on Instrumentation and Measurement<---A New Instrument for Real-Time Ethernet Performance Measurement
75312ADA	Information not present<---A Survey on Cooperative Jamming Applied to Physical Layer Security
7A85611E	Information not present<---A novel pulse for CR-UWB using compressed chirp waveforms and modified TDCS
65B96F29	Personal, Indoor and Mobile Radio Communications<---Improving TCP/IP performance over CDMA wireless links: a physical layer approach
7DE54F78	Information not present<---A six phases LC based ring oscillator for 1.5-3Gbit/s SATA interface
807DEB34	Vehicular Technology Conference<---A study of the impact of frequency selectivity on link adaptive wireless LAN systems
7F74B6CA	Information not present<---Intelligent and fast IRWA algorithm based on power series and Particle Swarm Optimization
80D4DA8E	Consumer Communications and Networking Conference<---Effect of channel estimation error on performance of physical layer network coding
78AD97E9	IEEE Transactions on Consumer Electronics<---Design influences for the CEBus automation protocol
7B19B632	Computer Networks<---Architectural considerations in the design of WDM-based optical access networks
7729F3A8	Information not present<---Linux enriched design in second generation wireless open-access research platform
7DC598C1	International Performance, Computing, and Communications Conference<---On Frugality of Control Packets in Multi-Hop Wireless Networks
7E5F373F	International Conference on Distributed Computing Systems<---Simulative Evaluation of Adaptive Jamming Detection in Wireless Multi-hop Networks
7B70ED76	Wireless Communications and Networking Conference<---Physical Layer Network Coding with Multiple Antennas
753DA23D	Information not present<---Low complexity frequency offset estimation for MB-OFDM system
7D96EF7B	Global Communications Conference<---WLC16-4: Low-Complexity Turbo Equalization for Alamouti Space-Time Block Coded EDGE Systems
7E83685F	Information not present<---Gigabit ethernet transmission experiments using GI-POF
5889920B	Information not present<---Shannon capacity limits of wireless networks
7ECE3602	International Conference on Computer Communications<---PHY Aided MAC - A New Paradigm
80044313	Modeling, Analysis, and Simulation On Computer and Telecommunication Systems<---GPU-Based Architectures and Their Benefit for Accurate and Efficient Wireless Network Simulations
8371C55F	Information not present<---Cardio-oncology: a special focus issue from Future Oncology
7E7DF057	International Conference on Communications<---Multi-Hop Capacity of MIMO-Multiplexing Relaying in WiMAX Mesh Networks
5A98CBC9	Information not present<---Measuring wireless links capacity
80EF011A	IEEE Personal Communications<---Wireless ATM networks: architecture, system design and prototyping
783C52E7	Information not present<---In-line defect to final test bitmap correlations: a Bayesian approach
7C6B9C75	Information not present<---The Satellite Communications Network of Excellence “SatNEx”
7E364CE4	Information not present<---The Development of a Realistic Simulation Framework with OMNeT++
7E04C53A	International Conference on Computer Communications<---Impairment and regenerator aware lightpath setup using distributed reachability graphs
7F0311E0	Information not present<---EXIT charts applied to tandem coding and cryptography in a wiretap scenario
7FA1EF54	IEEE Communications Magazine<---Data transport applications using GFP
770605EF	Information not present<---Optimization of Power-Efficient Vehicular Networks in Rate Adaptation Algorithms
7768F4FB	IEEE Transactions on Knowledge and Data Engineering<---Enforcement of Purpose Based Access Control within Relational Database Management Systems
26A95B3C	Information not present<---Saluting Innovation @ Linx - Viewpoints on Innovation
7F82A949	Personal, Indoor and Mobile Radio Communications<---An UWB-based Location-Aided MAC Protocol for Wireless Sensor Networks
7DD61147	International Conference on Communications<---Throughput-Gain Analysis of Network Coding in Multi-Channel Multi-Radio Wireless Networks
80C3F5F7	ACM/IEEE International Conference on Mobile Computing and Networking<---Focused beam routing protocol for underwater acoustic networks
02C626D7	Information not present<---Lan medium access control (mac) and physical layer (phy) specifications
7E4868AF	IEEE Transactions on Vehicular Technology<---Collaborative User Number Selection Based on Saturation Throughput and Sensing Performance
641CA0F7	Information not present<---Lattices for Physical-layer Secrecy: A Computational Perspective
7E97F66A	Information not present<---Implementation of hybrid wired and Wireless Foundation Fieldbus
7FF83309	IEEE Transactions on Image Processing<---Resource Allocation for Error Resilient Video Coding Over AWGN Using Optimization Approach
7F34D89F	Ad Hoc Networks<---On the cross-layer interactions between congestion and contention in wireless sensor and actor networks
75454442	Information not present<---Performance of fixed-point simulations on CDMA2000 downlink
7DA5074B	Information not present<---A Network Protocol Stack Based Radiation Sensor Network For Emergency System
80D1894C	Information not present<---Synchronous Design Flow for Globally Asynchronous Locally Synchronous Systems
7A1A3E51	Proceedings of the IEEE<---Reliable Physical Layer Network Coding
75DA09AB	International Conference on Computer Communications and Networks<---A Low Delay Multiple Reader Passive RFID System Using Orthogonal TH-PPM IR-UWB
5F351304	Information not present<---Throughput differentiation for TCP uplink traffic in IEEE 802.11e wireless LANs
7EB4F17E	Information not present<---A review of current routing protocols for ad hoc underwater acoustic networks
7E2C1C57	International Conference on Communications<---A cooperative MAC protocol for wireless local area networks
7D27289C	International Conference on Communications<---Spanning-tree based monitoring-cycle construction for fault detection and localization in mesh AONs
0286D63F	Information not present<---MODULAR LINK LAYER FUNCTIONS OF A GENERIC PROTOCOL STACK FOR FUTURE WIRELESS NETWORKS
7FF4D3FC	Psychologische Rundschau<---ZPID-Monitor 2003 zur Internationalität der Psychologie aus dem deutschsprachigen Bereich: Der ausführliche Bericht
7EE09354	IEEE Transactions on Power Delivery<---Crosslayer Optimization of User Scheduling and Resource Allocation in Power-Line Communication Systems
80BA2535	Vehicular Technology Conference<---Influence and suppression of phase noise in multi-antenna OFDM
8085E3A2	International Conference on Communications<---Multi rate orthogonal frequency division multiplexing
810B0F5B	Wireless and Optical Communications Networks<---Modified MAC protocol for service differentiation in DCF-WLAN
757AAFED	Information not present<---An Integrated Load Balancing Scheme for Future Wireless Networks
702A0F80	High Performance Computing<---A host interface architecture for HIPPI
5CFBD841	Information not present<---Wireless Emulator Demonstration
7F72540E	IEEE Transactions on Mobile Computing<---Lexicographic Maxmin Fairness for Data Collection in Wireless Sensor Networks
8065A400	Information not present<---Development and application of ECG bedside monitor
7FBEE249	Information not present<---Research on multi-parameter physiological monitor based on CAN bus
7E43C178	IEEE Transactions on Parallel and Distributed Systems<---Throughput Optimization in Multihop Wireless Networks with Multipacket Reception and Directional Antennas
815B7E0F	Applied Physics Letters<---A Lightweight Medium Access Protocol (LMAC) for Wireless Sensor Networks: Reducing Preamble Transmissions and Transceiver State Switches
7D455E67	Personal, Indoor and Mobile Radio Communications<---Performance analysis of cellular CDMA high-speed data services
5D6510CD	Information not present<---Cross -layer interactions and optimizations in wireless networks
7814E07D	Information not present<---Cross-Layer Combining of Information-Guided Transmission with Network Coding Relaying for Multiuser Cognitive Radio Systems
7FBB507A	IEEE Transactions on Consumer Electronics<---141 AVbus For Home Theatre Control And Signal Transport
7536CA11	IEEE Journal on Selected Areas in Communications<---Seamless Wireless Connectivity for Multimedia Services in High Speed Trains
7D149EC3	Information not present<---Channel emulation of low-speed PLC transmission channels
815A4F77	International Conference on Multimedia and Expo<---Cross-layer optimization for wireless video streaming-performance and cost
7E165581	IEEE Transactions on Instrumentation and Measurement<---Investigating WirelessHART coexistence issues through a specifically designed simulator
815F480C	IEEE Journal on Selected Areas in Communications<---Power control in cognitive radio networks: how to cross a multi-lane highway
76EC05A7	Information not present<---Macro and Micro Agent-Based Modeling and Simulation of Critical Infrastructures
793172C3	Applied Mechanics and Materials<---Design of Intelligent Green Power Management System
7DBFEFDF	IEEE Transactions on Wireless Communications<---IEEE 802.11 wireless LAN implemented on software defined radio with hybrid programmable architecture
7D0B278C	Information not present<---QoS provisioning for a hybrid satellite DVB - wireless network with fade mitigation for tactical multimedia applications
7FF81C0F	Information not present<---Performance Comparison between FMT and OFDM with AMC in Physical Layer Specification of WMAN
7D2099C0	Wireless Communications and Networking Conference<---A statistical approach to developing channel models for network simulations
60688314	Information not present<---IEEE 802.15.4 compliant efficient Physical layer implementation on TI MSP-EXP430F5438 board and CC2520 transceiver
79E3A8F8	IEEE Communications Magazine<---Exploiting the 60 GHz band for local wireless multimedia access: prospects and future directions
80DE3B49	International Conference on Multimedia and Expo<---Impact of RLC losses on quality prediction for H.264 video over UMTS networks
7F9D74BF	Information not present<---A DVB-H testbed for wireless billboard channel simulation
797FDC2B	Information not present<---DNA-inspired cryptographic method in optical communications, authentication and data mimicking
75305611	Information not present<---Network-centric free space optical communication systems and modulating retro reflectors
7D6DB206	IEEE Communications Letters<---Efficient resource allocation algorithm for cognitive OFDM systems
7D4FAAA8	International Conference on Acoustics, Speech, and Signal Processing<---Performance analysis of scheduling and admission control for multiuser downlink SDMA
7DA18EEF	World of Wireless, Mobile and Multimedia Networks<---Cross-layer design of dynamic resource allocation with diverse QoS guarantees for MIMO-OFDM wireless networks
75E28C99	Information not present<---Using MIMO transmissions in free-space optical communications in presence of clouds and turbulence
3BBEB59B	Information not present<---Soft error susceptibility analysis of next generation wireless application
7CF1D22A	Information not present<---Viability of in-service, low-cost and spatially unambiguous OTDR monitoring in TDM- and WDM-PON access networks
80A33B1A	International Conference on Communications<---A Novel Backoff-State Assignment Algorithm for Wireless Networks to Improve Channel Utilization
7DFB08E4	International Conference on Wireless Communications and Mobile Computing<---Performance modeling and simulation studies of MAC protocols in sensor network performance
7A2F2D65	Information not present<---Transmission over UWB channels with OFDM system using LDPC coding
7E5089ED	Proceedings of the IEEE<---Broadband MIMO-OFDM wireless communications
7DF41BE6	IEEE Transactions on Wireless Communications<---Optimal downlink multi-user MIMO cross-layer scheduling using HOL packet waiting time
7F889097	International Conference on Communications<---Differentiated QoS provision for multimedia traffic in WiFi systems
7A6ABF15	Information not present<---Topology Building for Multi-hop Wireless Networks Based on 802.11Ext Physical Layer in NS2
774A5B0D	Advanced Information Networking and Applications<---Evaluations of Ant Colony Optimization Inspired SCTP Optimal Path Selection Using E-model
7D4E5B30	International Symposium on Information Theory and its Applications<---Design,Simulation and Hardware Implementation of a Digital Television System: Synchronization Techniques
5BC5E5C7	Information not present<---Capture in wireless random-access networks with multiple destinations and a physical channel model
7B22965B	World of Wireless, Mobile and Multimedia Networks<---OptiMOS: Optimal MOS-based scheduling of downlink voice flows in point-to-multipoint access networks
80644544	Wireless Communications and Networking Conference<---A Delay-Bounded Relaying Diversity Scheme in Digital Cooperative Wireless Networks
7E4F39A1	Information not present<---The effects of asymmetric satellite networks on protocols
5BB137C4	International Conference on Computer Safety, Reliability, and Security<---Dependability and Survivability of Large Complex Critical Infrastructures
7EABC473	Information not present<---Performance Improvement using Directional Antennas in Ad Hoc Networks
0BE08402	Information not present<---DISTI | VIJESTI - Disti laptop offer in May
76B55499	IEEE Transactions on Vehicular Technology<---Effective Capacity Maximization in Multirelay Networks With a Novel Cross-Layer Transmission Framework and Power-Allocation Scheme
7E568A6B	IEEE Transactions on Instrumentation and Measurement<---LAN-based LXI Instrument Systems- the Next Step in the Evolution of Measurement System Technology
758C676C	Science in China Series F: Information Sciences<---A framework of physical layer technique assisted authentication for vehicular communication networks
7D477514	Vehicular Technology Conference<---Video Information Exchange Based on Physical Layer Network Coding and Superposition Coding
79CB55FE	Soft Computing and Pattern Recognition<---A Loop-test approach to the vehicle CAN bus
7E1B21E6	Information not present<---Online multicasting using network coding in energy constrained wireless ad hoc networks
7D75D629	EURASIP Journal on Advances in Signal Processing<---A Real-Time GPP Software-Defined Radio Testbed for the Physical Layer of Wireless Standards
7E25A454	IEEE Transactions on Instrumentation and Measurement<---Cross-Layer Measurements for a Comprehensive Characterization of Wireless Networks in the Presence of Interference
7D0BE8B2	Information not present<---A History of the Spanish Language: Lexis
7C23ED19	Advanced Information Networking and Applications<---Comparison of Throughput Performance for the IEEE 802.11a and 802.11g Networks
7C805DBF	Wireless Communications and Networking Conference<---Distributed cross-layer resource allocation using Correlated Equilibrium based stochastic learning
80E7DBB8	Clinical Orthopaedics and Related Research<---Optimal and Robust Transmit Designs for MISO Channel Secrecy by Semidefinite Programming
7E476F2C	Parallel and Distributed Computing: Applications and Technologies<---A Layered Virtual Organization Architecture for Grid
7E53CFE9	IEEE Transactions on Signal Processing<---Bilinear time-frequency representations of signals: the shift-scale invariant class
7E93DFB9	Information not present<---New method of IEEE 802.15.4a UWB impulse radio spectrum shaping
80BD67B5	Journal of Lightwave Technology<---Performance Impairments in Single-Mode Radio-Over-Fiber Systems Due to MAC Constraints
776D62A3	Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks<---Realistic simulation and experimental validation of adjacent-channel interference in planning of industrial wireless networks
7B90C917	Science of Computer Programming<---Concurrent determination of connected components
7E10DE62	Global Communications Conference<---Progressively powerful multiuser detectors for rapidly time-varying multipath environments
7D26A034	Information not present<---Performance of the MIMO downlink channel with multi-mode adaptation and scheduling
7A394077	International Conference on Telecommunications<---Evaluation of PHY layer throughput of ultra wide band IEEE 802.15.4a technology
803DCEFD	Information not present<---Combination aspects of low and high data rate ultra-wideband devices
7F4E9C9A	Information not present<---4MORE Uplink System Level Performance
07678777	Information not present<---A robust 100 MBPS network for avionics applications
7DC83709	Information not present<---Integrative Combat: An Empirical Perspective of the Martial Arts
79BF1D90	Information not present<---Failure coverage in optimal virtual networks
807B1CB7	Vehicular Technology Conference<---Performance comparison of the radio link protocols of IEEE802.11a and HIPERLAN/2
8157DD27	Embedded and Ubiquitous Computing<---Secure Authentication in Wireless Sensor Networks Using RF Fingerprints
7C3C7075	Applied Intelligence<---On the application of fuzzy-based flow control approach to High Altitude Platform communications
802C5A69	Atmospheric Environment<---Evaluation of automatic ammonia monitors for application in an air quality monitoring network
7E9ADEAB	Information not present<---The physical layer of a prototype Gbit/s multi-service network
7DFC0153	IEEE Transactions on Wireless Communications<---A MAC-Layer Retransmission Algorithm Designed for the Physical-Layer Characteristics of Clustered Sensor Networks
8114FB8D	Information not present<---Understanding and exploiting the acoustic propagation delay in underwater sensor networks
760ECCC9	Sensor, Mesh and Ad Hoc Communications and Networks<---C-DMRC: Compressive Distortion-Minimizing Rate Control for Wireless Multimedia Sensor Networks
7E0EB49C	IEEE Photonics Technology Letters<---Design of All-Optical Contention Detection and Resolution for 40-Gb/s Label-Switched Routers
5A2C1644	Information not present<---Convex analysis based beamforming of decode-and-forward cooperation for improving wireless physical layer security
80C7A9E6	IEEE Transactions on Vehicular Technology<---Cross-Layer Congestion Control for Power Efficiency Over Wireless Multihop Networks
77104A4A	Information not present<---Increasing reliability of an interactive mobile satellite telecommunication system using diversity and MIMO schemes
5C46FF66	Information not present<---DISTI | VIJESTI - Morgan Freeman team powered by Dell
7D963323	Information not present<---Single level address reorganization in Wireless Personal Area Network
8112C079	International Conference on Computer Communications<---Cross-layer Optimization for Wireless Networks with Deterministic Channel Models
7F5C7ED4	Wireless Communications and Networking Conference<---Adaptive Tuning of MIMO-Enabled 802.11e WLANs with Network Utility Maximization
7E7D8FC5	Information not present<---Design of networking protocols for shallow water peer-to-peer acoustic networks
84D24BF6	Information not present<---DSS1 Physical and Data Link Layers
80AB540E	Vehicular Technology Conference<---Optimizing Physical Layer Energy Consumption for Wireless Sensor Networks
7E1A91DA	International Conference on Conceptual Structures<---Layer-2 retransmission and combining for network coding-based forwarding in wireless networks
7B1296D9	Information not present<---Node architecture design and network engineering impact on optical multicasting based on physical layer constraints
5CC9AC5D	Wireless and Mobile Computing, Networking and Communications<---Vulnerabilities of ad hoc network routing protocols to MAC misbehavior
7D8ECB43	International Conference on Communications<---Distributed Cooperative Routing for UWB Ad-Hoc Networks
813D8657	International Conference on Computer Aided Design<---Key Problems on Network-on-Chip
7F6986C8	Information not present<---A comparison of WirelessHART and ZigBee for industrial applications
7B2AA727	Optics Communications<---Compensation control study based on impairment-aware for Wavelength Switched Optical Networks (WSON)
7A331124	Wireless Personal Communications<---Physical Layer Cryptography and Cognitive Networks
7874EB7A	Journal of Manufacturing Systems<---Baseline calibration of autobrazer for quality control
80215EF4	International Conference on Networking and Services<---Improvement of L-DACS1 design by combining B-AMC with P34 and WiMAX technologies
7657BC02	Global Communications Conference<---Medium access control for a wireless LAN with a full duplex AP and half duplex stations
7C61BA0C	Information not present<---A clustering method of arrival waves suitable for analyzing propagation characteristics
78880103	Medical Engineering & Physics<---Ambulatory monitoring of children's activity
5CB9AEDA	Personal, Indoor and Mobile Radio Communications<---Physical layer design issues unique to cognitive radio systems
7D4F2A6C	Information not present<---Optimization of viterbi decoder parameters for WRAN system
7DC60433	Software - Practice and Experience<---Use of a software monitor in the validation of an analytic computer system model
81421E2C	Vehicular Technology Conference<---An IEEE 802.11 Model for the Planning of Wireless Mesh Networks
8114B8A9	IEEE Transactions on Information Technology in Biomedicine<---Characterization of On-Body Communication Channel and Energy Efficient Topology Design for Wireless Body Area Networks
7FDD79B9	Information not present<---Cross layer optimization in assured connectivity tactical mesh networks
633C19E9	Information not present<---A Prototype for Upgrading the BEPC Control System
7AC19591	Information not present<---Capacity Analysis of Multi-user Diversity in Generalized Distributed Cellular Architecture
76F8F2B6	Vehicular Technology Conference<---An Efficient Retransmission Scheme for MIMO Two-Way Relay Network Employing Network Coding
7E57212C	International Symposium on Circuits and Systems<---Functional modeling techniques for a wireless LAN OFDM transceiver
5C05F491	IEEE Latin America Transactions<---LatinCon04 - Analysis of Performance Degradation in Radio-Over-Fiber Systems Based on IEEE 802.16 Protocol
7DB6E6B6	International Symposium on Information Theory<---Improved rate-equivocation regions for secure cooperative communication
7FE04A69	Wireless Communications and Networking Conference<---Queue and Channel State Awareness for Maximum Throughput Access Control in CSMA/CA-Based Wireless LANs
83061CA7	Information not present<---Challenges and improvement strategies for the physical layer in vehicular communications
7EA37621	Information not present<---Limiting physical-layer attack propagation with power equalization placement in transparent WDM networks
80886FC4	IEEE Transactions on Instrumentation and Measurement<---On the Implementation and Performance Assessment of a WirelessHART Distributed Packet Analyzer
0A2472B0	Information not present<---The Wireless-Mobility Integration Protocol (WMIP) For Using TCP/IP Over Wired And Wireless Networks
01FF0002	Information not present<---DISTI | VIJESTI - F-Secure će Vam pomoći da vratite ukradeni mobitel
7D9D028F	International Conference on Communications<---CD-MAC: Cooperative Diversity MAC for Robust Communication in Wireless Ad Hoc Networks
80E4F3F6	Information not present<---Teaching digital communications using MC68340 microprocessor
79AC8AC7	Information not present<---Base Band inter-frame FEC (BB-iFEC) for Next Generation Handheld DVB-NGH
7995BF7C	Computer Communications<---An Empirical Study of TCP/IP Performance Over ATM
7DC907DD	IEEE Transactions on Consumer Electronics<---Techniques improving the transmission reliability in high-rate wireless LANs
7E523853	IEEE\/OSA Journal of Optical Communications and Networking<---Distributed sharing of functionalities and resources in survivable GMPLS-controlled WSONs
7EC2ED6E	IEEE\/ACM Transactions on Networking<---The achievable rate region of 802.11-scheduled multihop networks
77A29C8D	Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks<---On the comparison of performance, capacity and economics of terrestrial base station and high altitude platform based deployment of 4G
7F01456C	International Conference on Computer Communications<---Energy-efficient PCF operation of IEEE 802.11a wireless LAN
7B86F305	Optics Communications<---Physical layer impairment aware wavelength routing algorithms based on analytically calculated constraints
