794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
7CABA6FA	Laser-induced Fluorescence Velocimetry of Xe II in the 30-cm NSTAR-type Ion Engine Plume
7E759DAD	A DSP based frequency domain approach for non-stationary signals using S-Transform
80ECA685	DEVELOPMENT OF A TOY INTERFEROMETER FOR EDUCATION AND OBSERVATION OF SUN AT 21 cm
753C93D7	Discrete Fourier transforms when the number of data samples is prime
7611A31D	The vibrationless Ã←X̃ transition of the jet-cooled deuterated methyl peroxy radical CD3O2 by cavity ringdown spectroscopy
7CFAC630	Antenna pattern synthesis utilizing spherical Bessel functions
7D5DBFD8	A time-domain test for some types of nonlinearity
7DB1908A	Every Fourier optical system is equivalent to consecutive fractional-Fourier-domain filtering
7CF7C6C7	Data compression and harmonic analysis
7746FA48	Time‐to‐frequency converter for measuring picosecond optical pulses
7DADF39A	Complex signal reconstruction from time-frequency magnitude
7D04FB34	Adaptive steganography-based optical color image cryptosystems
7B6DB3F3	Extra invariance of shift-invariant spaces on LCA groups
78AE2BB3	Inelastic neutron scattering analysis of low‐frequency motions in proteins: Harmonic and damped harmonic models of bovine pancreatic tryspin inhibitor
83AB1603	ISAR image formation with a combined empirical mode decomposition and time frequency representation
7B917AD2	An efficient hybrid MLFMA-FFT solver for the volume integral equation in case of sparse 3D inhomogeneous dielectric scatterers
77746162	Fast Parallel Approach for 2-D DHT-Based Real-Valued Discrete Gabor Transform
7A1DECFA	Molecular beam photoelectron spectroscopy and femtosecond intramolecular dynamics of H2O+ and D2O+
7B3F25F8	Propagation of sech2-type solitary waves in hierarchical KdV-type systems
7D2449AF	Measurement of semiconductor laser gain and dispersion curves utilizing Fourier transforms of the emission spectra
77B77404	Fourier-transform analysis of radiopharmaceutical data
760136B5	Chemical roles of peroxide-based alkaline slurries in chemical–mechanical polishing of Ta: investigation of surface reactions using time-resolved impedance spectroscopy
769C5CDD	Derivation of a matrix describing a rugate dielectric thin film
7FBCD2F4	On the FPGA implementation of the Fourier Transform over finite fields GF(2m)
7EE5C3CF	On parametric representations of the modified group delay
81583CC9	An extrapolation procedure for band-limited signals
7EFC2C63	Time Series Similar Pattern Matching Based on Empirical Mode Decomposition
7B4046CC	Analytic design of computer-generated Fourier-transform holograms for plane curves reconstruction
79DE1C48	Interpretation of magnetic anomalies of dikes using Fourier transforms
7DC50563	The fractional Fourier transform and time-frequency representations
7D74B32D	Efficient sampling of sparse wideband analog signals
7DAE64F8	The use of sliding spectral windows for parameter estimation in power system disturbance monitoring
7BE4D7FE	Low-power design methodology and applications utilizing dual supply voltages
7C0275C7	An efficient iteratively reweighted L1-minimization for image reconstruction from compressed sensing
77B17F1A	Scattering of anti-plane stress waves by a crack in a non-homogeneous orthotropic medium
7E49C36C	Some Aspects of Band-Limited Extrapolations
7D685913	An empirical investigation into application of a fast discrete 2D S-transform algorithm to provide localized measures of texture in images
7EC13711	Reconstruction of the permittivity profile of an inhomogeneous medium using an equivalent network method
824153C9	Compressed sensing approach for reflectarray diagnostic from far field measurements
7AD5EA2D	Analysis of the Rotational Spectra of SiH 3 CN and Its Isotopomers: Experimental and Ab Initio Determinations of the Dipole Moment and the Structure
7AF10647	A sublinear algorithm for the recovery of signals with sparse Fourier transform when many samples are missing
7662082E	An empirical Bayes approach to directional data and efficient computation on the sphere
789B0EB1	Atomistic molecular dynamics simulation of the temperature and pressure dependences of local and terminal relaxations in cis-1,4-polybutadiene
7F7C86F8	Abel inversion using fast Fourier transforms
76DDDB79	Test your surrogate data before you test for nonlinearity
7A2CD15A	Total Least Norm Formulation and Solution for Structured Problems
7DDE939F	Time-domain method of lines applied to the uniform microstrip line and its step discontinuity
7E03B700	Atrial fibrillation analysis using Bessel Kernel based time frequency distribution technique
787D4989	Molecular overlap integrals with exponential‐type orbitals
7CF8E507	A transform decoder for Reed-Solomon codes in multiple-user communication systems
76F4C223	Three dimensional elastodynamics of 2D quasicrystals: The derivation of the time-dependent fundamental solution
7B038E1F	Numerical analysis of interferograms for evaluation of tear film build‐up time
783AA769	Study of Fourier-Based Velocimetry
7E484491	Blind source separation using analytic wavelet transform
79430555	Aberration-free ultra-fast optical oscilloscope using a four-wave mixing based time-lens
7F79BCBE	On Nominal Delay Minimization in LUT-Based FPGA Technology Mapping
77866BE1	Wave-front reconstruction from shear phase maps by use of the discrete Fourier transform
781DA010	Undermodeling-Error Quantification for Quadratically Nonlinear System Identification in the Short-Time Fourier Transform Domain
806A778E	Subpixel image registration by estimating the polyphase decomposition of cross power spectrum
7F68F26E	Constant geometry fast Fourier transforms on array processors
7EFC4A7E	Time-domain diffraction for a double wedge obstruction
7959AC63	Shape-based retrieval of industrial surface defects using angular radius Fourier descriptor
79B88366	Time-of-flight observation of electron swarm in methane
7865531C	High resolution far-infrared Fourier transform spectroscopy of radicals at the AILES beamline of SOLEIL synchrotron facility
7EDDBB39	Input and/or Output Pruning of Composite Length FFTs Using a DIF-DIT Transform Decomposition
786F4E16	Efficient Wideband Parameter Estimation Using Arbitrary Enveloped LFM Signals via Hermite Decompositions
7B4A4942	Wigner distribution and FM radar signal design
801B167F	On the Use of Wavelet Transform for Quench Precursors Characterization in the LHC Superconducting Dipole Magnets
80203418	A Novel Approach to Image Roto-translation Estimation
7AC3CEDE	Full-field analysis and image forces for piezoelectric bimaterials
793CB34A	Fourier transform and mean quadratic variation of Bernoulli convolution on homogeneous Cantor set
79F1D224	Rotational spectra and equilibrium structures of H2SiS and Si2S
7CFC2BB2	Long memory and long run variation
7BD69154	A method of time–time analysis: The TT-transform
7E5B1C05	Optical surface inspection using real-time Fourier transform holography in photorefractives
59A91F00	A comparative study of alias-free time-frequency representations
785EB728	The transient response of a piezoelectric strip with a vertical crack under electromechanical impact load
7BE4DF9B	How Does the Striate Cortex Begin the Reconstruction of the Visual World?
779E5F9C	Molecular evidence that halo in Sutton’s naevus is not vitiligo
7AC5AF3A	Numerical implementation of static Field Dislocation Mechanics theory for periodic media
76EF47C7	Integrated energy-directed test suite optimization
5981CBD5	Neutron Scattering Studies of Electron-Phonon Interactions
808C210D	Universal properties of random lasers
79CFF807	TIME DOMAIN SOLUTION OF ELECTROMAGNETIC PROBLEMS
5959ADE7	Efficient Similarity Search In Sequence Databases
7DFE2A0B	Finding the Secret of Image Saliency in the Frequency Domain
7DC3A570	The Method Based on Original DBFs for Fast Estimation of Waveform Distortions in Ship Systems—Case Study
78326E51	Hermite functions and uncertainty principles for the Fourier and the windowed Fourier transforms
7DB5F77F	The effects of C-G content and mutations on the Fourier transform method for periodicity
753B9979	Solution of the Schroedinger equation by a spectral method II: vibrational energy levels of triatomic molecules
75D5EB5E	A Wiener–Tauberian and a Pompeiu type theorems on the Laguerre hypergroup
7E3E96F2	Spectral interferometry of semiconductor nanostructures
766C5B70	Actin-driven cell dynamics probed by Fourier transform light scattering
756DED72	Variable‐angle correlation spectroscopy in solid‐state nuclear magnetic resonancea)
76C434A9	Vision-based approach for people tracking using gait in distributed and automated visual surveillance
750B96AB	Response to “Comment on ‘Quantum waveguide array generator for performing Fourier transforms: Alternate route to quantum computing’ ” [Appl. Phys. Lett. 80, 2419 (2002)]
763C752C	The interaction of Lamb waves with defects
7B5E8021	The application of fourier transform raman spectroscopy to the study of paint systems
76F22C69	Diffraction of plane waves by a wedge with impedance boundary conditions
7798805C	Incoherent Scatter Spectral Theories—Part II: Modeling the Spectrum for Modes Propagating Perpendicular to ${\bf B}$
780B363D	Spectroscopic investigation of fluoroiodomethane, CH2FI: Fourier-transform microwave and millimeter-/submillimeter-wave spectroscopy and quantum-chemical calculations
7863D8E0	The Non-Local Theory Solution of Orthotropic Composite Materials on the Stress Field near the Crack Tips
78EE9865	Fourier synthesized excitation of nuclear magnetic resonance with application to homonuclear decoupling and solvent line suppression
766133C3	Intracavity Laser Absorption Spectroscopy and Fourier Transform Spectrum of the 3ν 1 band region of cyanoacetylene
7DF43D0C	Statistical theory of quantization
7C988E8B	Aberration analysis and elimination in image reconstruction from X-ray holograms
7B96626E	Integrated mathematical forms for update of physical parameter matrices of damped dynamic system
7EA1531A	Real-Time Staircase Cyclic Voltammetry Fourier Transform Electrochemical Impedance Spectroscopic Studies on Underpotential Deposition of Lead on Gold
79FFAA49	Torsion–rotation global analysis and database for the CH 3 18 OH isotopomer of methanol
79AD240E	Buoyancy-induced flows monitoring by digital speckle photography and Fourier transform analysis
8030102D	Sampling of Bandlimited Functions on Unions of Shifted Lattices
0C4B74EF	21 - The Estimation of Frequency
7C82583A	Design of an efficient broadband far-infrared fourier-transform spectrometer
7C97BEF5	Antileakage Fourier transform for seismic data regularization
7CCAB950	A new damping modelling approach and its application in thin wall machining.
7CE775CF	Rotation invariant phase-only and binary phase-only correlation
7E7786DE	Wideband Chirp-Transform Adaptive Filter
80F8B953	Fitting behaviors of Fourier transform and Zernike polynomials
7A7357C7	Implication of phase-dependent noise of coherent phonons in YBa2Cu3O7−δ
81674368	The vibrating ribbon problem revisited
7F7147C2	A Frequency Domain Approach to Registration Estimation in Three-Dimensional Space
779366C3	Measuring displacement signal with an accelerometer
79151817	Combinatorial Sublinear-Time Fourier Algorithms
7CB4CE4A	Three-dimensional hybrid-encoded MRI using compressed sensing
78519809	Scattering and diffraction of a plane wave from a randomly rough strip*
7E42D35B	Protective pigmentation in UVB‐screened Antarctic lichens studied by Fourier transform Raman spectroscopy: an extremophile bioresponse to radiation stress
80FF711A	Mode analysis in optics through fractional transforms
76250F9F	About sampling for band-limited linear canonical transform
7B928D7F	On reducing transitions through data modifications
7D144494	Background and mathematical analysis of diffusion MRI methods
7F8A2A2A	Lossless compression of waveform data for efficient storage and transmission
7C5B443A	Effect of high pressure on the photochemical reaction center from Rhodobacter sphaeroides R26.1.
7F041BE2	Full wave analysis of leaky-wave antennas
7581A6FA	Fourier transform photoelectron spectroscopy: The correlation function and the harmonic oscillator approximation
76763FE9	Test of far-infrared atmospheric spectroscopy using wide-band balloon-borne measurements of the upwelling radiance
7E5C45D0	Improving accuracy in estimation of artery-wall displacement by referring to center frequency of RF echo
800EEDA7	Surfactant Adsorption on Single-Crystal Silicon Surfaces in TMAH Solution: Orientation-Dependent Adsorption Detected by In Situ Infrared Spectroscopy
7A742307	Electrochemical and structural properties of self-assembled monolayers of 2-methyl-3-(ω-mercaptoalkyl)-1,4-naphthoquinones on gold
7CAB61AB	Three-dimensional radiative transfer with polarization in a multiple scattering medium exposed to spatially varying radiation
80DAC9B8	Modeling electromagnetic wave propagation in the troposphere using the parabolic equation
761C04D8	Laser Doppler velocimetry experiment with a water flow to measure the Fourier transform of the time-interval probability: Comparison between experimental and theoretical results
5D51A66B	Unbalanced Underground Distribution Systems Fault Detection and Section Estimation
7FC30CCC	Comparing Posturographic Time Series through Events Detection
77137FBC	Higher-moment and diffraction-order computation for deformation measurement
5F9139BF	Chapter 3 Studies of Complex I by Fourier Transform Infrared Spectroscopy
7D1090F9	Fourier Transform Near Infrared Spectroscopy: A Newly Developed, Non-Invasive Method To Measure Body Fat
7D1F72D4	Human Body Posture Classification by a Neural Fuzzy Network and Home Care System Application
77EAFC09	A microwave spectral and ab initio investigation of O3H2O
7796A53D	Convergence of iterative nonexpansive signal reconstruction algorithms
586A05D6	A Survey of Results and Open Problems on the Schilling Equation
81645376	An Algebraic Framework for Group Duality
62F30A04	An Introduction to Wavelet Transforms,
7F7A0AD4	Blind separation of instantaneous mixed Gaussian sources via genetic algorithms
7668DC43	Fourier transform summation of Legendre series and D-functions
785DA2A1	Random regret minimization: an overview of model properties and empirical evidence
7F61E26D	Improved resolution short time Fourier transform
783AAC6A	High Etendue Imaging Fourier Transform Spectrometer: initial results
7D48D341	A hybrid total-variation minimization approach to compressed sensing
5D77C58A	Distributed algorithm for graph signal inpainting
79BD20FA	C368. On the exact distribution of pearson's X2 for the lady tasting beer
761DE25F	Analysis of quantitative Electroencephalogram background activity in Autism disease patients with Lempel-Ziv complexity and Short Time Fourier Transform measure
7F527FF1	Robust digital image watermarking method against RST attacks
77AC0E9E	An experimental and theoretical study of molecular structure and vibrational spectra of 2-chloronicotinic acid by density functional theory and ab initio Hartree–Fock calculations
7C3F88DC	Representations of the first hitting time density of an Ornstein-Uhlenbeck process
7D0F7AE3	One- and two-dimensional minimum and nonminimum phase retrieval by solving linear systems of equations
7B1E0782	Small‐scale features of vorticity and passive scalar fields in homogeneous isotropic turbulence
6BCB3696	Fast classical and quantum fractional Walsh transforms
78689208	Ancient and Modern Specimens of Human Teeth: a Fourier Transform Raman Spectroscopic Study
7D5DB0B3	Hankel singular values and vectors of a class of infinite dimensional systems with totally ordered inner functions
77E45533	Interesting eigenvectors of the Fourier transform
7AFB278D	Fourier transform Raman spectroscopy of pyridine adsorbed on faujasites
751DE525	Investigation of electronic coupling in semiconductor double quantum wells using coherent optical two-dimensional Fourier transform spectroscopy
7A26BBCA	Determination of the structure of HBr OCS
75787C0A	An Iteratively Weighted MMSE Approach to Distributed Sum-Utility Maximization for a MIMO Interfering Broadcast Channel
0721D0FE	Full length article: On the density order of the principal shift-invariant subspaces of L2(Rd)
7D8E8D65	Modified minimum-distance criterion for blended random and nonrandom encoding
7ECD677C	Accuracy analysis for wavelet approximations
7952E78B	Signal recognition: Fourier transform vs. Hartley transform
784E292A	Bispectrum estimation: A digital signal processing framework
772841DE	T-stress analysis for a Griffith crack in a magnetoelectroelastic solid
75D70945	Substance identification by depth resolved spectroscopic pattern reconstruction in frequency domain optical coherence tomography
811C4013	Generalized magneto-thermoelasticity in a perfectly conducting medium
7EE6A0BA	Sectional contour interpolation using Fourier descriptor
7AF797A4	On the spline-based wavelet differentiation matrix
7AD835F3	Pulsed-nozzle Fourier-transform microwave spectroscopy of the benzene—15N2 complex
7686EE90	Fourier spectroscopic investigations of 130Te2 infrared fluorescence and new optically pumped continuous laser lines
7F63733D	EEG analysis using Bi-frequency coherence
7FD48B7B	Magnetic-Type Dyadic Green's Functions for a Corrugated Rectangular Metaguide Based on Asymptotic Boundary Conditions
5EDCA455	A COMPARISON OF LINEAR REGRESSION METHODS FORTHE DETECTION OF APPLE INTERNAL QUALITY BY NEARINFRARED SPECTROSCOPY
692D267F	A likelihood ratio distance measure for the similarity between the Fourier transform of time series
7FA2B15D	A Scattering Model for Ocean Surface
7C3FDB0D	Nonparametric regression with infinite order flat-top kernels
7D3CF69A	Analytical solution of electromagnetic scattering by a general gyrotropic sphere
78AE24AD	Growth and characterization of pure and doped NLO L-arginine acetate single crystals
5F551515	Classical Holography in the Terahertz Range: Recording and Reconstruction Techniques
78BB6B95	Fourier transform photocurrent spectroscopy of dopants and defects in CVD diamond
76E0B9A6	Simple atmospheric transmittance calculation based on a Fourier-transformed Voigt profile
81344413	Analysis of a new compact microstrip antenna
80225AF0	Log-Polar Based Scheme for Revealing Duplicated Regions in Digital Images
7FC16F30	A new wavelet-based image coding using embedded vector quantizer
7CF767FD	Estimation of the Second Derivative of Kinematic Impact Signals Using Fractional Fourier Domain Filtering
81160C1E	Analyzing Real Vector Fields with Clifford Convolution and Clifford–Fourier Transform
7B568FEA	Phase-shifting algorithm to achieve high-speed long-depth-range probing by frequency-domain optical coherence tomography
7FD47470	Meyer Type Wavelet Bases in R 2
7D2D6F70	Faster quantum chemistry simulation on fault-tolerant quantum computers
809CB97A	Diffraction tomographic imaging with a circular array
7FC85AA7	New formulation of fast discrete Hartley transform with the minimum number of multiplications
6C2037FE	Wigner Distributions and Ambiguity Functions in Image Analysis
76CD72EA	Imaging Fourier transform spectrometry with a Fizeau interferometer
7E26E829	Direct demodulation of Hartmann–Shack patterns
7861C4F2	Series expansions of the transform with respect to the Gaussian process
7BEA01E7	Karhunen-Loève versus Fourier transform for SETI
7F7984B4	Measurement of power quality under nonsinusoidal condition using wavelet and fuzzy logic
7B8B06A2	On pixel-oriented structure parametrization for design of diffractive elements
815C9A21	Performance Comparison of Time-Frequency Analysis Methods for Radar Signature Analysis
7A574092	R-branch head of the ν 3 band of CO 2 at elevated temperatures
772D89A7	Investigation of Thickness Effects on the TM-Wave Radiation from a Thick Impedance-Loaded Parallel-Plate Radiator
75F64B39	Measurement of Wafer Deformation using Deflectometry
7523C37D	New algorithm for treatment allocation reduced selection bias and loss of power in small trials
812FF568	Identification of Intermittent Electrical and Mechanical Faults in Permanent-Magnet AC Drives Based on Time–Frequency Analysis
76C18671	Measuring dispersion between two modes of an optical fibre using low-coherence spectral interferometry with a Michelson interferometer
7AF29CF4	Fourier transform NMR studies of organometallic compounds. II—synthesis and NMR spectroscopy of propenyl and isopropenyl derivatives of silicon and lead
787D94D3	Fourier transforms of finite chirps
7C9E3138	Two and three dimensional Hamiltonians with generalized and ordinary shape invariance symmetry
7D9BE65A	A novel algorithm for computing nonuniform Fourier Transform
7FD43BDB	A new computationally efficient method for the analysis of planar transmission lines and complex MMIC elements
763C9467	Uniform convergence and integrability of Fourier integrals
7BA381A4	Fast shape description based on a set of moments defined on the unit disc and inspired by three-dimensional spherical harmonics
75589117	Two‐dimensional scattered fields: A description in terms of the zeros of entire functions
7C73032E	Body frame close coupling wave packet approach to gas phase atom–rigid rotor inelastic collisions
7F17F35A	Analysis of a nonparametric blind equalizer for discrete-valued signals
7C5CA93B	Fourier‐transform phase comparator for the measurement of extrinsic Fabry–Perot interferometric sensors
8155C7D7	Frequency Domain Analysis of CMOS Amplifiers Containing Parasitic Capacitors
755CB35B	Phase closure with a rotational shear interferometer
7934C7DB	ANALYSIS OF THE GRAVITY EFFECT OF TWO‐DIMENSIONAL TRAPEZOIDAL PRISMS USING FOURIER TRANSFORM*
75F3F837	A frequency domain approach to roto-translation estimation using gradient cross-correlation
79A90BEC	Tempered Generalized Functions and Hermite Expansions
76E41529	Full-field time-encoded frequency-domain optical coherence tomography
805735E9	Color image steganography scheme using set partitioning in hierarchical trees coding, digital Fourier transform and adaptive phase modulation
7E1EB94F	Speech analysis based on Malvar wavelet transform
811FFBD8	A Compressive Sensing Reconstruction Algorithm for Trinary and Binary Sparse Signals Using Pre-mapping
7AC86CAF	Vibrational spectra of cyclic C 8 in solid argon
7D0833E4	Search pruning techniques in SAT-based branch-and-bound algorithms for the binate covering problem
75260498	Rotational spectra and structures of small clusters containing the HCN dimer: (HCN)2–Ar, a T‐shaped trimer
7997D517	Fourier transform wavefront control with adaptive prediction of the atmosphere
60789853	Variational Depth From Focus Reconstruction
7B6955A3	Maximal functions and Fourier transforms
77227CD6	A combined ab initio , Fourier transform microwave and Fourier transform infrared spectroscopic investigation of β-propiolactone: The ν 8 and ν 12 bands
7BE158D1	Mode III fracture problem of an FGPM strip bonded to an FGPM half-plane with embedded arbitrarily oriented cracks
80C21F7E	Analysis of the discontinuities in prioritized tasks-space control under discreet task scheduling operations
80355C8E	Speech analysis/synthesis and modification using an analysis-by-synthesis/overlap-add sinusoidal model
7E0DDC30	Statistical Projection Completion in X-ray CT Using Consistency Conditions
7C341ED8	Scattering of waves by articulated floating elastic plates in water of infinite depth
76F56CDD	Kinematic and deformation parameter measurement by spatiotemporal analysis of an interferogram sequence
59C305EA	Fairest constant sum-rate transmission for cooperative data exchange: An M-convex minimization approach
7E128C40	A unified approach to short-time Fourier analysis and synthesis
7EEAC678	Flight Investigation of Prescribed Simultaneous Independent Surface Excitations for Real-Time Parameter Identification
80CFA297	The variable twist of actin and its modulation by actin-binding proteins.
7BC79A31	Extrapolation of band-limited signals and the finite Zak transform
793500BF	DRAMAtic transforms in magic angle spinning recoupling NMR: The Bessel function pathway
7F4F1F12	Sidelobe reduction via adaptive FIR filtering in SAR imagery
65401A9A	Discrete Signal Processing on Graphs: Frequency Analysis
79A173DA	Quasi-phase-matched grating characterization using minimum-phase functions
77B19ECA	White-light Fourier transformer with low chromatic aberration
80AF50A5	The Fundamental Solution of the Space-Time Fractional Advection-Dispersion Equation
7CE663B5	Effect of lens aberrations on the storage capacity of holographic memories
7BF8A95F	Efficient Fourier shape descriptor for industrial defect images using wavelets
7DA6A596	A new high-resolution Fourier transform infrared spectrometer for ground-based atmospheric measurements in Toronto
7E309604	Optimization technique for frequency estimation: Avoiding local minima
7D2A669D	Wavelet transforms and ice actions on structures
816C18AB	A Capon's time-octave representation application in room acoustics
7AD3096E	Spectroscopic investigation of ground state pyrrole ( 12 C 4 H 5 N): the NH stretch
7DD3B686	Multiscale Fourier descriptor for shape classification
78814C98	Rotational spectra and structures of the OC– and H3N–HCN–HF trimers: Coaxial mixing nozzle for reactive species
7DB51EA5	Ab initio reconstruction and experimental design for cryo electron microscopy
7EB3CB15	State Assignment Using a New Embedding Method Based on an Intersecting Cube Theory
0294EC2F	Chapter 9 - Reducing and Solving Electric Multipole Moment Integrals
77047867	Fourier Transform 13C NMR Analysis of Some Methaqualone Metabolites
81767312	Real, tight frames with maximal robustness to erasures
7E2DA11D	A Simple Option Formula for General Jump-Diffusion and other Exponential Levy Processes
7656DEB7	Progress report on the ATMOS sensor - Design description and development status
7DD59EB3	An efficient gate re-assignment algorithm in post technology mapping
7A5778B5	Phase retrieval by iterated projections
7950F4B4	A Two-Dimensional Problem for a Thick Plate with Heat Sources in Generalized Thermoelasticity
7B314858	Reinvestigation of the Microwave Spectrum of Acetamide
7A4AD249	Decentralized linearized alternating direction method of multipliers
815BEE6E	Compact implementation of Fourier transform two-dimensional IR spectroscopy without phase ambiguity
802F4327	The REDOR transform: direct calculation of internuclear couplings from dipolar-dephasing NMR data
8050FFEC	Optimal Frequency Band Design Scheme of Dyadic Wavelet Processor Array Using Surface Acoustic Wave Devices
7D011C48	Estimating the viewing parameters of random, noisy projections of asymmetric objects for tomographic reconstruction
7B90E84C	Particle detected Fourier transform NMR at single crystal surfaces— 6 Li on Ru(001)
7DF0F0AC	On the k-layer planar subset and topological via minimization problems
7EBD0484	Separation of speech sources in under-determined case using SCA and time-frequency methods
7D3C5937	Discrete Generalized Fresnel Functions and Transforms in an Arbitrary Discrete Basis
787CE3BE	Parity, eulerian subgraphs and the Tutte polynomial
7BAE8EB3	HMM-based system for recognizing words in historical Arabic manuscript
7E46D500	The intrinsic hypoelliptic Laplacian and its heat kernel on unimodular Lie groups
7AE410C8	High‐speed digitizer/averager data‐acquisition system for Fourier transform electron paramagnetic resonance spectroscopy
7CFB92D6	On the Diffraction Theory of Optical Images
5BA2DE83	Chapter 3 Synthesis of Vector‐Wave Envelopes in Random Elastic Media on the Basis of the Markov Approximation
8086FB03	A nesting algorithm for very fast discrete Fourier transforms
7982C5FB	Some counterexamples in the theory of Weyl-Heisenberg frames
7EA2A5A7	FFTC: Fastest Fourier Transform for the IBM Cell Broadband Engine
7FBF8A2D	Frequency Analysis of Human Atrial Fibrillation Using the Surface Electrocardiogram and Its Response to Ibutilide
75798D66	Maximum entropy signal processing in practical NMR spectroscopy
7BB60064	Speckle image a deux longueurs d'onde applique a la mesure du rayon de courbure d'une surface cylindrique
7F169CC0	Anisotropy in MHD turbulence due to a mean magnetic field
7BB79299	The Performance and Scientific Rationale for an IR Imaging Fourier Transform Spectrograph on a Large Space Telescope
7ABF5E9F	A Dyson‐like expansion for solutions to the quantum Liouville equation
7AC74006	The microwave spectrum of pentafluoroethane
80BD9494	VLSI implementation of discrete Mellin transform for real time scale analysis of images
780CD048	Dose uniformity and redispersibility of pharmaceutical suspensions. I: Quantification and mechanical modelling of human shaking behaviour.
76527714	Polarization splitting and terahertz oscillations from a single planar Fabry-Pérot microcavity
7CFD513C	Scattering from multiple grooves in the inner conductor of a coaxial line
78DE8BA8	Quantum beats and Zeeman spectra of glyoxal from superposition of singlet and triplet states
769DA290	The Weyl correspondence and time-frequency analysis
7B670AC9	From Fourier Expansions to Arithmetic-Haar Expressions on Quaternion Groups
76693A2D	Reconstruction And Synthesis Applications Of An Iterative Algorithm
772686F7	The photoacoustic effect generated by laser irradiation of an isotropic solid cylinder
79C83CDD	EBK quantization of nonseparable systems: A Fourier transform method
7DC38432	Spectrum of Functions in Orlicz Spaces
78CF8925	Boussinesq–Flamant problem in gradient elasticity with surface energy
78EDF1A5	Thermal Shock damage and Residual Strength Behavior of a Functionally Graded Plate with Surface Cracks of Alternating Lengths
80E6749E	The fractional discrete cosine transform
7A4C4E98	Dynamic behavior of two collinear anti-plane shear cracks in a functionally graded layer bonded to dissimilar half planes
7B0FBA70	Global measurement of water waves by Fourier transform profilometry
7AF717AB	Global Analysis of a -, b -, and c -Type Transitions Involving Tunneling Components of K = 0 and 1 States of the Methanol Dimer
8137E327	Analytical fan-beam and cone-beam reconstruction algorithms with uniform attenuation correction
7DB8E2EB	Signal Processing Methods For Inverse Problems In Electrophysiology
7D4A92EF	The Pure Rotational Spectra of AuCl and AuBr
7F82D8EB	A Robust Imagewatermarking Scheme Based on the Alpha-Beta Space
7BFA7A4E	Closed Form Solutions to L 2 -Sensitivity Minimization of Second-Order State-Space Digital Filters with Real Poles
7D1CC80E	An introduction to spectral domain method-of-moments formulations
7A4F4718	Fourier transform infrared studies of model polar stratospheric cloud surfaces: Growth and evaporation of ice and nitric acid/ice
814FA93C	Two-dimensional phase retrieval using a window function
7ACE03D2	A correlation-based phase unwrapping method for Fourier-transform profilometry
7A23AA58	Magnetic field dependence of the coupling efficiency of a superconducting transmission line due to the proximity effect
75EB8FC5	Non-local theory solution of two collinear mode-I cracks in piezoelectric materials
7DA3894E	Theoretical comparison of Fourier and wavelet encoding in magnetic resonance imaging
708F6852	The Biolinguistics Network
7A34206E	Hexafluoroacetylacetone: A ‘rigid’ molecule with an enolic C s shape
7FF1F8C9	Estimation of Translation, Rotation, and Scaling between Noisy Images Using the Fourier-Mellin Transform
7A54B676	Algorithms for data evaluation applied to the detection of buried objects
75409D41	Microwave spectra and structure of an isoxazole–CO Van der Waals complex
7DD6C64C	Design of stable two-dimensional IIR digital filters with arbitrary magnitude function
7E18AB5A	Theory of beam light pulse propagation through thick clouds: effects of beamwidth and scatterers behind the light source on pulse broadening
78180970	Covalently bonded multi-walled carbon nanotubes-cellulose electro-active paper actuator
76B41E97	Simulation of Homogeneous and Partially Isotropic Random Fields
77706BA6	Rotational spectra and structures of three hydrogen-bonded complexes between formic acid and water
7C44BEAF	Phaseless inverse scattering and the phase problem in optics
7C81B363	The Acacia Gum Arabinogalactan Fraction Is a Thin Oblate Ellipsoid: A New Model Based on Small-Angle Neutron Scattering and Ab Initio Calculation
81579D31	Complexity as a measure for machine fault detection and diagnosis
7F37E2A0	An adaptive iterative method for downward continuation of potential-field data from a horizontal plane
7691B4BE	Operational and convolution properties of two-dimensional Fourier transforms in polar coordinates
76D855DF	Determining the Number of Paths in Decision Diagrams by Using Autocorrelation Coefficients
7B0B5A46	Frequency-dependent grounding system calculation by means of a conventional nodal analysis technique
78E4F02C	Tunable laser thin film interrogation
761F9373	Three wave mixing of airy beams in a quadratic nonlinear photonic crystals
77B95EB3	Fourier transform NMR self-diffusion studies of a nonaqueous microemulsion system
7911639F	New laser-induced fluorescence Fourier transform spectrometry: The 7Li2 ground-state dissociation limit
5F79FE49	Chapter 2 The Fourier Transform in Clifford Analysis
77BF2205	Rotational spectrum and structure of the (OCS) 2 –C 2 H 4 trimer: example of a polar OCS dimer
7C4EA4FB	Salem sets in local fields, the Fourier restriction phenomenon and the Hausdorff–Young inequality
7B7D837D	The temperature-induced changes in hydrogen bonding of decan-1-ol in the pure liquid phase studied by two-dimensional Fourier transform near-infrared correlation spectroscopy
772E7111	Evaluation of spectral phase in spectrally resolved white-light interferometry: Comparative study of single-frame techniques
7C63F7AE	Properties of optical extended fractional Fourier transforms
80FF87C8	Analysis of nearly cylindrical antennas and scattering problems using a spectrum of two-dimensional solutions
8141A747	Existence Conditions for Discrete Noncanonical Multiwindow Gabor Schemes
80CCFE6F	Analytical solutions of the one-dimensional advection equation and two- or three-dimensional dispersion equation.
76401AAB	Does the Characteristic Function Numerically Distinguish Distributions?
