08220318	Perimeter Security Post 9/11
7EB3EC91	Observers for microbial ecology - How including molecular data into bioprocess modeling?
7AA19689	Assessment of gait recognition based on the lower part of the human body
5F0ED6D6	Bat algorithm for fingerprint image enhancement
78A8C567	iMOWSE, a scoring scheme bridging in silico and in vitro digestion in peptide mass fingerprints
802A0E5F	Package Reference Fingerprint: a Rich and Compact Visualization to Understand Package Relationships
5F789EAB	생체정보를 활용한 중증환자들을 위한 응급 모니터링 시스템
7F33AD33	Fingerprint classification by Block Ridgelet and SVM
6DB7521D	A Robust Approach to Characterize the Human Ear: Application to Biometric Identification
7996872B	On-chip random spectrometer
7922CE0A	Enhancing the accuracy of a recognition system using two fused patterns of same classifier
587DD6C5	Fingerprint classification with probabilistic neural network
7BFD3DD7	Personal identification based on multi-modal hand-print features
7AE9DF9A	ZARATHUSTRA: Extracting Webinject signatures from banking trojans
7D664343	A Hybrid Method of User Identification with Use Independent Speech and Facial Asymmetry
7C57F36F	Optical biopsy - a new armamentarium to detect disease using light
750B59C4	Feasibility of compensating for EUV field edge effects through OPC
79C022CE	SIM-GC-MS analysis of biochemical evolution in Amanita genus
79C87A40	Visibility enhancement and validation of segmented latent fingerprints in crime scene forensics
55DDCE41	SECURING E-BANKING APPLICATION USING BIOMETRICS
7AEA8E6C	Quadtree decomposition for palm print feature representation in palmprint recognition system
778B051A	Extended depth of field in an intrinsically wavefront-encoded biometric iris camera
78CD2A52	Bioinformatics applied to public safety: Improving fingerprint revelation left in crime scenes to criminal identification in real time
14CDA4F3	The design and construction of a thermal system to measure small temperature changes in the brain.
7DE03E3E	Efficiency of experimental designs for estimating common-row-and-column (CRAC) effects
7CDA1B22	Digital rights management: desirable, inevitable, and almost irrelevant
65E3E987	An effective video matching algorithm for adaptive video fingerprints
7F5661FC	Illumination invariant representation for privacy preserving face identification
026CC957	Defining Hotel Managers Attitudes Toward Biometrics
7B490C22	Marginal likelihood, conditional likelihood and empirical likelihood: Connections and applications
24F01211	Future IT Solutions as Logistics Infrastructure
81BA546D	Preserving Global and Local Features for Robust Face Recognition under Various Noisy Environments
797A4546	Guest Editorial: Special Issue on Human Detection and Recognition
7751B175	Fingerprint verification based on wavelet subbands
759DA0A6	Integral criteria for large-scale multiple fingerprint solutions
7B9B206F	Fingerprint Image Segmentation Method Based on Gray Vision Parameter
7FC985DC	Autonomous DNSSEC: Secured pseudo DNS domains for personal networks
58ECDF59	Senses, Perception, and Natural Human‐Interfaces for Interactive Displays
678E6054	GPU implementation of an audio fingerprints similarity search algorithm
8064A3E9	The Next Biometric Challenge: Medical Alterations
598F4015	Trusted Network Connection Based on Object Fingerprints
7BCA89C3	Computer graphics visions and challenges: a European perspective
75B54D1A	Modulated digital images for biometric and other security applications
5DA2E4A8	Integrated approach for automated authentication based on biometrics and tools of image processing
795CD6DE	ANFIS-based fingerprint-matching algorithm
7B0DB98D	Separation of contactless captured high-resolution overlapped latent fingerprints: Parameter optimisation and evaluation
7DB85078	Development of Digital Environment IdentiTY (DEITY) System for Online Access
791E9C3F	Biometric authentication using circular segment around optical disc
754D3F5D	Study of noninvasive detection of latent fingerprints using UV laser
7EFB0F47	Face recognition methods based on principal component analysis and feedforward neural networks
76E094D6	Indoor positioning system using WLAN multipath signals as fingerprints for mobile devices
7BE2212D	Physical resist models and their calibration: their readiness for accurate EUV lithography simulation
78221210	Minutiae Feature Extraction from Fingerprint Images
7539D077	Sequential fusion of decisions from adaptive and random samples for controlled verification errors
81A12E86	Advancing School and Community Engagement Now for Disease Prevention (ASCEND): A Quasi-experimental Trial of School-Based Interventions to Prevent Childhood Obesity
7F913C1B	Using Mobile Device to Design a Secure Transaction
3BE24258	Multi-application Smart Cards: Card management systems
7513777A	Lossless watermarking scheme for enhancing security of medical data in PACS
75BBD0B7	Authentication and data hiding using a hybrid ROI-based watermarking scheme for DICOM images.
7CAC187B	Mating activity and status of overwintering monarch butterflies (Lepidoptera: Danaidae) in central California
813A6A80	Studies of fingerprint imaging systems in social service applications
7EFAFE81	The Effectiveness of and Issues Relating to Remote Non-Face-to-Face Lessons on Singing with Simultaneous Piano Self-Accompaniment
7C288C48	Discriminative multimodal biometric authentication based on quality measures
23EA64CD	ACCESS CONTROL ADVANCES
7BD06A82	A humming retrieval system based on music fingerprint
2E1441DB	Examination of the cambium of trees
7DE278F8	Video analysis for view-based painful expression recognition
0939EB78	Microalgues et nutrition larvaire en écloserie de mollusques
7A241710	Prolog To An Identity-authentication System Using Fingerprints
672983F9	Seeking identity assurance
7740C714	Identification of DNA Fingerprinting and Cluster Analysis Using ISSR Markers for 13 Sugar Beet Cultivars (lines) from China and Holland
80D6DA60	Music Identification with Weighted Finite-State Transducers
76B813DE	A membrane type Si-MEMS tactile imager with fingerprint structure for realization of slip sensing capability
772F1326	Robust access based on speaker identification for optical communications security
06A8A688	Biometric application and classification of individuals using postural parameters
7D8C8909	A robust personal identification system using fast template matching algorithm based on isodensity maps
7E659DFE	Sequence Fingerprint Image Mosaic Method and Its Experimental Study Based on Phase Correlation and Gray Correlation
7FF5CAE7	8D-THERMO CAM: combination of geometry with physiological information for face recognition
7DA2BB02	Mathematical Modeling and Characterization of Thin Film, Narrow Gap Sensor Array Units (SAU)
6F430254	3D Localization method based on ray-tracing considering the presence of moving people
82FBE4CB	A fingerprint recognition framework using Artificial Neural Network
81F76391	BRIGE: Translating Robotic Technology for Inclusive Fitness: An Innovative Robotic Rowing Exoskeleton (RRE) Development Project
792FD2B4	An epidemiological model for direct and indirect transmission of typhoid fever
7D723186	TV system for detection of latent fingerprints
75A89606	An efficient audio fingerprint search algorithm for music retrieval
7B4DE347	Optical proximity stability control of ArF immersion clusters
5E0A3ACA	Multi Biometric Model for Authentication Method
7A010AE6	Adaptive Quality-Based Performance Prediction and Boosting for Iris Authentication: Methodology and Its Illustration
777F2254	Detection of Salient Image Points Using Principal Subspace Manifold Structure
85DBFEB8	Fuzzy identity-based encryption
76440A95	Multitouch Gesture-Based Authentication
7647465D	Enabling secure VM-vTPM migration in private clouds
5CE7A88D	A hybrid mobile biometric-based e-voting system
7F45D5CC	3D face recognition using multiple features for local depth information
78391281	Multi-band reflectance spectroscopy of carbonaceous lithium iron phosphate battery electrodes versus state of charge
78ADEFC8	Voice Interactive Personalized Security Protocol: Definition and Security Analysis
665176B6	Comparison of several populations of Norway lobster, Nephrops norvegicus L. , from the Mediterranean and adjacent Atlantic. A biometrics study
79F13E38	DNA fingerprint using smith waterman algorithm by grid computing
81754E96	Reducing JointBoost-based multiclass classification to proximity search
7AF86DDD	Gut feeling is electric
7FAC87F4	Human asymmetry in multibiometric recognition
77C0A1E9	Measurement of ocular anterior segment dimension and wavefront aberration simultaneously during accommodation
5DA795D1	FPGA Implementation of Fingerprint Recognition System using Adaptive Threshold Technique
824948C3	A liana model for 3D finger vein representation
7DBE568E	Parameter Estimation of Statistical Models Using Convex Optimization
776A922E	Application of PKC-based digital watermarking model against false-accusation
82D601D7	Ultra-broadband plasmonic super absorbers for universal surface enhanced Raman spectroscopy substrate (Presentation Recording)
6C680BCA	The dangers of electronic traces: data protection challenges presented by new information communication technologies
08AF1839	The Cambridge Handbook of Information and Computer Ethics: Computer ethics and applied contexts
7660AD81	Evaluation of PELAN as a landmine confirmation sensor
7956E159	Peripheral venous scintillation angiocardiography in determination of left ventricular volume in man
75B0B8C4	Iris Recognition Using Vector Quantization
7A33BB4E	Using technology to draw borders: fundamental rights for the Smart Borders initiative
752C1D0C	A new threshold signature scheme based on fuzzy biometric identity
7A90008E	Iris Recognition Method Based on the Coefficients of Morlet Wavelet Transform
79A12CC5	Determinants in Human Gait Recognition
7C49F7F4	An efficient minutiae-based fingerprint matching algorithm for resource constrained implementation
76DA496C	Face recognition using PCA based algorithm and neural network
770E209E	Biometric authentication in Smart Grid
76C4B212	Investigation of information fusion in face and palmprint multimodal biometrics
7D5837DC	KNOWME: a case study in wireless body area sensor network design
086D8B1C	Structure des populations de Paracentrotus lividus (Lamarck) (Echinodermata, Echinoidea) soumises a la peche sur les cotes nord de Bretagne.
75AB4653	Design and implementation of a contactless multiple hand feature acquisition system
83F08DFE	Confusion, control and comfort: premediating identity management in film and television
7BC67593	The uses of ambient light for ubiquitous positioning
7F2CE2A2	A methodology for evaluating the operational effectiveness of facial recognition systems
5A93557D	Optical encryption and decryption using personal fingerprint image
79F9EA18	A Novel On-Line Palmprint Identification System
7A797AF1	Comparative evaluation of super-resolution techniques for multi-face recognition using light-field camera
75F3C4CE	Vulnerability of rice and wheat yields in NW India to future changes in climate
78035E91	Emotion recognition from the human voice
7DADE730	Face and ear fusion recognition based on multi-agent
753D9DBD	Ensemble training to improve recognition using 2D ear
7CE65F46	Exact pupil and iris boundary detection
7F76B42E	3DNBS: A Data De-duplication Disk-Based Network Backup System
77FB0890	A fingerprint matching algorithm based on probabilistic graphical model and three-tree model
7AB44A96	The Design of an Intelligent Security Access Control System Based on Fingerprint Sensor FPC1011C
76E5A0A6	A first approach to the detection and equalization of distorted latent fingerprints and microtraces on non-planar surfaces with confocal laser microscopy
7FC5943B	A Program Plagiarism Detection Model Based on Information Distance and Clustering
8110136D	Velocity adaptive vertical handoff on multi-frequency system
0F3EBB39	Biometrics for Personal Identification: Recapturing Ethics and Values in the Public Policy-Making Process - A Rawlsian Philosophical Analysis
780C914A	A method of the region of interest extraction based on orientation entropy
82603A8F	Multiple indexes combination weighting for dorsal hand vein image quality assessment
68B9F3C9	Avaliação clínica, morfométrica e hematológica de macacos Cynomolgus (Macaca Fascicularis) cativos
786DE01F	Security analysis for fingerprint fuzzy vaults
7A6014CB	Intelligent home risk assessment systems and integration with biometric identification
7FF21D40	Comparative analysis of speech parameters for the design of speaker verification systems
70D772C9	Classifier performance evaluation for offline signature verification using local binary patterns
810A3FC1	Collection and detection of latent fingermarks contaminated with cosmetics on nonporous and porous surfaces
7FA42F8C	A biometric signature based system for improved emotion recognition using physiological responses from multiple subjects
7C1FA672	Locating mobile phone in a room using spectrum analysers
80508ABB	Security and matching of partial fingerprint recognition systems
781AB913	Cholesky decompositions and estimation of a covariance matrix : orthogonality of variance-correlation parameters
66DE2D5A	Fusion at the feature level for person verification based on off line handwriting and signature
79CD378E	Biometric verification system in moodle & their analysis in lab exams
7DCE6FFF	Selection of localised salient features from a single facial image
81C1858B	Ionization gas sensor using aligned multiwalled carbon nanotubes (MWCNTs) array
5F9365EC	Handbook of Fingerprint Recognition
7E10F378	Embedded system for biometric identification based on iris detection
79D76EE3	Human detection and tracking for video surveillance applications in a low-density environment
5B728B67	Spectral minutiae representations of fingerprints enhanced by quality data
14080713	Biometrics for Person Authentication: A Survey
7CA2335D	Enhancing the performance of texture-based face recognition through multi-resolution techniques
7DBEEFC5	The Active Security Situation Sensor for Network
8367BD16	2014 in Review: 7 Police State Technologies Making Our Rights Obsolete
75E38F36	Applying a novelty filter as a matching criterion to Iris recognition
7FC593DD	An automatic user study demo in indoor environments and its privacy implications
7520166C	Biomedical wellness challenges and opportunities
7F3B036E	Mobile positioning technologies and location services
78345BDD	Pollen grain size in four ploidy levels of genus Avena
609ED5DB	Pulse Active Bit (PAB) feature extractor for ECG biometric authentication
777A32A9	A Hierarchical Data Classification Model for Biometric Identification Systems
7E6F878E	Scan-Based Evaluation of Continuous Keystroke Authentication Systems
18EB1181	W4 生体認識技術の開発動向 : 生体認識技術の標準化および指紋認証システム
5FD5F4A5	이기종 센서의 호환을 위한 지문 특징점 보정 알고리즘 개발
809D614A	A Novel Fingerprint Location Method Using Ray-Tracing
71B4E0E1	Alignment-free fingerprint cryptosystem based on multiple fuzzy vaults
75253E27	Images encryption via Discrete Fractional Fourier Transform and Jigsaw transform. Case study: Fingerprints
58D7C4AA	DriverGuard: A Fine-Grained Protection on I/O Flows
752E7189	FAUST: a vision-based neural network multimap pattern recognition architecture
7CF9EC74	An Exact Corrected Log‐Likelihood Function for Cox's Proportional Hazards Model under Measurement Error and Some Extensions
751B12D5	Combining Treatment Selection and Definitive Testing
2CA7A97B	Inflight phonocardiogram, experiment M004
7D25BF21	An Efficient and Reliable Time Variant Three-Entity and Data Authentication of Remote User Using Smart card
7E7A820E	Modern approaches to file system integrity checking
73808A98	Thermal image analysis for anxiety detection
7BA118E3	Statistical refereeing for the New Zealand Journal of Agricultural Research, the New Zealand Journal of Experimental Agriculture, and the New Zealand Journal of Crop and Horticultural Science
75276099	A comparative study of two arbitrary face-bow transfer systems for orthognathic surgery planning
76726530	Cost-sensitive ordinal regression for fully automatic facial beauty assessment
788BD7AC	A novel finger vein pattern extraction method using oriented filtering technology
7ABC5943	Surface-enhanced Raman spectroscopy on a surface plasmon resonance biosensor platform for gene diagnostics
7AFD7054	Dual biometric authentication scheme for privacy protection
72F4D080	Modular neural networks with fuzzy Sugeno integral for pattern recognition
80CBC144	Classification of discharge patterns during ageing of insulation
79673AA7	Discrimination and identification of preprocessing fingerprints by optical digital correlation
7A01597D	An Efficient Ear Identification System
792984FF	Whisking with robots
2F6D5FD1	Estudo das inter-relações patógeno-hospedeiro de Meloidogyne incognita (Kofoid & White) Chitwood, M. Javanica (Treub) Chitwood e Pratylenchus brachyurus (Godfrey) Filipjev & Schuurmans Stekhoven em cana-de-açúcar
7E7FFA7D	Growth of the black-lip pearl oyster, Pinctada margaritifera, in suspended culture under hydrobiological conditions of Takapoto lagoon (French Polynesia)
775986EA	Non-destructive forensic latent fingerprint acquisition with chromatic white light sensors
7DF9C650	Face Recognition Using Improved Fast PCA Algorithm
7CDF169A	Polarization-dependent proximity effects
81440486	Integrated active miniature sensors for electro-magnetic near field measurement
76840C8A	Biometric secured mobile voting
814DF4FE	A performance model to Cooperative Itinerant Agents (CIA): a security scheme to IDS
7E24569E	Sir Francis Galton and the Birth of Eugenics
5DC509CD	BetaVulgaris, un modèle de la croissance de la betterave sucrière sous Windows : Présentation et applications : Sucres
7FFA0E4A	AN EFFICIENT WAVELET-BASED PALMPRINT VERIFICATION APPROACH
7A4D2AF2	Vapor-Phase Infrared Spectroscopy on Solid Organic Compounds with a Pulsed Resonant Photoacoustic Detection Scheme
7AD806E6	Statistical inference for template aging
7785C8D3	Shype to maintain the ATM system stability
7BC0E124	Robust Biometric Based Key Agreement and Remote Mutual Authentication
7CAA1A42	A novel hand-type detection technique with fingerprint sensor
7A214B38	Uniwide WiFi based positioning system
802F4477	A Face Detector Based on Hausdorff Distance
792A83B1	Experiments on the pattern recognition system for validation and security verification
7ABF725E	Low complexity floor localization algorithm for mobile phone
764BE1EC	Social and legal implications of digital identity in a multi-national environment
7E60B53D	Appearance-based statistical methods for face recognition
44CC6270	Tworzenie modelu akustycznego na potrzeby weryfikacji mówcy przy użyciu ukrytych modeli Markowa
793CC143	In vivo microcirculation imaging of the sub surface fingertip using correlation mapping optical coherence tomography (cmOCT)
5E14C2D6	Correlation based fingerprint liveness detection
78BEF63B	Detecting, Grouping, and Structure Inference for Invariant Repetitive Patterns in Images
0126C67C	Programação linear à criação de planejamentos otimizados em radioterapia
77242B46	Non-contact 3D fingerprint scanner using structured light illumination
75C2A744	Experimenting with STA, a tool for automatic analysis of security protocols
4B7059C8	Using the iPhone 5S Touch ID fingerprint sensor
7C6C1EFD	Biometric-Kerberos authentication scheme for secure mobile computing services
7BCB32C5	Multiresolution techniques for the classification of bioimage and biometric datasets
7B1B8172	Inferring identity from user behaviour
8006AF7C	Face Verification Using Modeled Eigenspectrum
7EC95000	A note on fingerprint recognition systems
58EF94E5	Genetic and evolutionary biometrics
7956B12B	Multiclass classification and recognition method for a Chinese human face
8098446B	The Fuzzy Integrated Evaluation of Embedded System Security
235DA19E	Making a match at first glance
5C6C5D8F	A region-based approach for RSS indoor localization
80EBAFB8	Human Gait Analysis Using Self Organizing Map
7A4B03EA	Speed-optimized fingerprint image enhancement for embedded systems
7A60960C	Invariant recognition of face
8175C53A	Redundancy and diversity measure inspired biometrics fusion
7E5CCA01	Classify of Underwater Target Utilizing Audio Fingerprint
85E5FC33	Survey of biometric authentication for e-assessment
76162B28	Enhanced SEA algorithm and fingerprint classification
812E97F7	The Importance of Sequences in Musical Similarity
5EE7C8A8	Trading of intangible goods
6CCBE199	Authentication—Are We Doing Well Enough?
7C0E146F	Feature extraction for biometric recognition with photoplethysmography signals
7C02ED66	Algorithm for redundancy elimination in network traffic
82F8C6E0	TF-IDF based binary fingerprint search with vector quantization error compensation
75244CA6	A data hiding method for improving the self-security of iris recognition
7E7EC786	On Fast and Accurate Detection of Unauthorized Wireless Access Points Using Clock Skews
7C0BF681	A multi-algorithm-based automatic person identification system
84C3706F	3D and 2D face recognition using integral projection curves based depth and intensity images
77ED92E1	Forensic Application-Fingerprinting Based on File System Metadata
5A3D4298	Drop fingerprint recognition based on self-organizing feature map
7C09A3E7	A Fast and Accurate Face Authentication Method Using Hamming-Trace Transform Combination
7A8EBFA2	Stability and imaging of the ASML EUV alpha demo tool
808E4CE8	Apply principal Gabor basis functions to extract discontinuous points from low-resolution binarized fingerprint images
77D76DB0	Suppression of global oscillations via time-delayed feedback in a net of neural elements
5D96B9E8	Effectively integrating a course on biometrics in a computer vision master's degree
7A39DE9D	A reference estimator based on composite sensor pattern noise for source device identification
80A4B8E7	Embedding biometric watermark on document image using discrete wavelet transform
7EF7E9D3	Changes in Concentration of Oxygenated Hemoglobin in the Prefrontal Cortex while Absorbed in Listening to Music
071283A8	O ataque biométrico às pessoas
76AB470E	Influence of a radio frequency on RF fingerprinting accuracy based on ray tracing simulation
590DCE7A	Локалізація контрольних точок на характерних фрагментах зображення обличчя людини
70B52ACA	Payroll System with Daily Time Record Using Bio-Metric Authentication
7D6FAB4C	Leaf removal and terminal bud size affect the fruiting habits of cranberry
7B5C73C9	Fast and Robust Personal Identification by Fusion of Finger Vein and Finger-Knuckle-Print Images
7C6A6CF5	Security Architecture for Web-based Health Insurance Systems
77E851CF	Biometric Enabled Portable Trusted Computing Platform
791BA245	Reticle error correction for lithography tool qualification benefits and limitations
2657FFA5	THE SMART CARD REPORT. 7TH EDITION
310A392B	Automated nystagmus analysis. [on-line computer technique for eye data processing
61BA804F	A fingerprint classification technique using multilayer SOM
07D9C1DD	BOREAS TE-6 Allometry Data
772A426B	Operating system mechanisms for TPM-based lifetime measurement of process integrity
7DEDC973	Generation of digital signature from multi-feature biometric traits for digital right management control
5CEE24DF	Learning to read
7772C619	An Efficient Approach to Recognize Fingerprints
6467BDE5	Music Genre Determination Using Audio Fingerprinting
7B6FBEEC	A Wi-Fi/GPS integrated system for urban vehicle positioning
7F9022EC	A description scheme for video based on feature extraction in the compressed domain
7D087143	Effect of background noise on the SNR estimation of biometric parameters in forensic speaker recognition
7B217D55	Investigation and management solution for privacy identification and electrical energy theft
7AE242DD	SVM Based Gender Classification Using Iris Images
7BFF86A8	A texture-based method for identificaiton of retinal vasculature
7CE1BB01	Remote authentication using vaulted fingerprint verification
27051E42	Some effects of acceleration in man and chimpanzees. [gravitational effects
3397C147	High Performance Palmprint Identification System Based On Two Dimensional Gabor
79336080	Secure remote matching with privacy: Scrambled support vector vaulted verification (S 2 V 3 )
5C9F3044	Towards non-repudiable authentication through biometrics and smart cards
77DEA3D4	Neural network applied to direction map extraction in fingerprint images
7B9AFA6E	Infrared and NIR Raman spectroscopy in medical microbiology
76E8287E	A SVM-based method for the estimation of fingerprint and palmprint orientation
7F4CC24D	Engineering Vertical Orchestration: From Biometric Trace Events to Incident Reporting
7C97E690	Improved stego sensitivity measure for ± A steganalysis
752A4867	Online Signature Verification based on User-generic Fusion Model with Markov Chain Monte Carlo Method
7CBE4FDE	Human action recognition using hull convexity defect features with multi-modality setups
58BB02A5	A Framework for the Creation of a Unified Electronic Medical Record Using Biometrics, Data Fusion and Belief Theory
7DA70BEF	Gait recognition based on the Fast Fourier Transform and SVM
794367AC	A New Statistical-based Algorithm for ECG Identification
7CBC5C18	A Trigram Word Selection Methodology to Detect Textual Similarity with Comparative Analysis of Similar Techniques
5CF62498	A New Model of BAM: Alpha-Beta Bidirectional Associative Memories
5D7C5074	Keystroke Dynamics-based Authentication in Mobile Devices
7CD1D852	Image segmentation for automated dental identification
758B332F	Comfort Evaluation of T-shirt Type Underwear Made of Spun Silk Yarn
5F849623	Biometrics Systems: Anatomy of Performance (Special Issue on Biometric Person Authentication)
7A9287EE	Raman spectroscopy for the assessment of acute myeloid leukemia: a proof of concept study
813830A4	Design and VLSI implementation of high-performance face-detection engine for mobile applications
5F74E72C	Evaluation of nearest-neighbor methods for detection of chimeric small-subunit rRNA sequences.
810ED15E	An Overview of Holistic Face Recognition
7AB6DCE1	Optical and mechanical design advantages using polymer optics
79703346	Over twenty years of eigenfaces
74568976	Video-based face authentication using appearance models and HMMs
628DDB70	Security weaknesses of an improved biometrics-based user authentication scheme without concurrency system
7553E595	Evaluation of heterogeneous multiprocessor architectures by energy and performance optimization
7C8D7F36	Fingerprint reference point detection using orientation field and curvature measurements
78A5A40C	An Evaluation of "Commercial Off-The-Shelf" Speaker Verification Systems
8107B2A5	Fingerprint registration using genetic algorithms
802B64FD	Matching Tensors for Pose Invariant Automatic 3D Face Recognition
7D387746	Seamless indoor/outdoor location cognition with confidence in wireless systems
0539576C	Decision Support for Perceived Threat in the Context of Intrustion Detection Systems
26100723	B-1-4 スマートフォンにおけるパターン認証の強化 : 軌跡情報および傾き情報に基づく生体認証(生体計測(1))
7C0663A2	A large-scale audio and video fingerprints-generated database of TV repeated contents
5AECE7BA	A network-oriented facial authentication system with improved performance and security
7C4EE333	Human Face Reconstruction Using Bayesian Deformable Models
7A8ECFA5	Explicit bayesian solution for incomplete pre-post test problems using inverse Bayes formulae
5ADC15E8	Introduction to Biometrics
78C88D37	CD uniformity optimization at volume ramp up stage for new product introduction
7D6BCAFB	Biometric implementation in autonomous systems with an emphasis on smart home applicability
7D2ED793	SIMS fingerprint analysis on organic substrates
71B4954C	A novel Website Fingerprinting attack against multi-tab browsing behavior
8059865F	Complex spectral minutiae representation for fingerprint recognition
6CDB26E4	A comparison of SOM based document categorization systems
2C929F7D	A method for human identification using static, activity-specific parameters
7958CEA6	Robust Iris Feature Extraction using Dual Tree Complex Wavelet Transform
7938E83D	Energy-Efficient Location Logging for Mobile Device
75A33F21	Rapid off-line signature verification based on Signature Envelope and Adaptive Density Partitioning
7CD05AA8	Classification of handwritten signatures based on name legibility
7988316B	Model Analysis of Sorghum Response to Nitrogen in Subtropical and Tropical Environments
8064FCF8	RFID-Based, Anonymous Authentication Scheme
8061D337	Audio fingerprinting to identify multiple videos of an event
7B5C5271	Ver-i-Fus: an integrated access control and information monitoring and management system
747E8226	Automatic door opener
7E23E408	Biologie du copepode Eurytemora affinis hirundoides dans la Gironde: Donnees morphometriques
769817DE	Applications of full-field swept-source optical coherence tomography for non-destructive testing and evaluation
773EEC0E	Evaluation of Statistical Feature Encoding Techniques on Iris Images
1693E25E	DATA ACQUISITION POSSIBILITIES FOR FACE RECONSTRUCTION PURPOSE
85E2587A	Preprocessing of a fingerprint image captured with a mobile camera
2E009B68	C3 generic workstation: Performance metrics and applications
79AC7549	Assessment of the mean-value of 17-hydroxypregnenolone in the umbilical blood of newborns by the exploratory analysis of biochemical data
77641B0F	Spectral staining of tumor tissue by fiber optic FTIR spectroscopy
7D013D99	Drunk person identification using thermal infrared images
7C428A61	Geometrically invariant watermarking for copyright protection and biometric authentication using feature detectors
7D0DDD9C	A knowledge-based algorithm to remove blocking artifacts in skin images for forensic analysis
81F9C3A6	Biometric template security using higher order spectra
5BD04BD9	Sensorless Control of Permanent Magnet Machine Drives for Aerospace Applications
80DFC893	Surface matching by 3D point's fingerprint
1268CB4A	Asus M70 Notebook | Gear Live
7A6ADEB6	Why rank-level fusion? And what is the impact of image quality?
7D4A418F	A dynamic programming approach to audio segmentation and speech/music discrimination
8042FC03	An identity-based signature scheme with public key recovery
86090F62	A survey on fingerprint biometric recognition system
77FE3077	A muscular endurance training program for symmetrical and asymmetrical manual lifting tasks
1A20CBF1	Long wavelength mid-infrared from mixing two colors from a fiber amplifier
795EE150	Non-relevant document reduction in anti-plagiarism using asymmetric similarity and AVL tree index
78702F01	Video segmentation by audio analysis
7E1CB15B	Vector quantization techniques for GMM based speaker verification
7629948D	Overview of hyperspectral remote sensing for mapping marine benthic habitats from airborne and underwater sensors
2413324C	A Study in Biometrics
7944BDDB	Pattern Recognition with Embedded Systems Technology: A Survey
79E133E2	Fingerprint ridge structure generation models
791EE3F3	Privacy preserving, real-time and location secured biometrics for mCommerce authentication
7CD88D01	Continuous indoor navigation with RFID and INS
7FBA23F7	Pointcheval-Zimmer 다중 인증 요소 기반 인증된 키 교환 프로토콜의 안전성 연구
814EFC7E	Developing scalable and transparent benefit payment systems in Myanmar
715D91F1	An intelligent imaging approach to the identification of forensic ballistics specimens
80342A5B	Fingerprint Chromatogram and Fuzzy Calculation for Quality Control of Shenrong Tonic Wine
7D9031F0	Edge preserving smoothing and segmentation of 4-D images via transversely isotropic scale-space processing and fingerprint analysis
7B7AA957	Multi-stream face recognition for crime-fighting
7A7FDB52	Chapter 18: Sub-tensor Decomposition for Expression Variant 3D Faces Recognition
789712C8	Palmprint Classification Algorithm Based on Wavelet Multi-scale Analysis
76211C2E	Analysis of polyaromatics in crude gas oil mixtures: a new strategy using 1 H 2D n.m.r.
79724F63	Turkish national electronic identity card
76AB7725	A fingerprint identification algorithm based on wavelet transformation characteristic coefficient
7C5B2A79	Error Correction on IRIS Biometric Template Using Reed Solomon Codes
7B14BA2D	Discriminative power of online handwritten words for writer recognition
5AA9A5D5	An effective and efficiency anti-collusion fingerprint scheme for multimedia
7D9AB6B8	Biometric Image Integrity Authentication Based on SVD and Fragile Watermarking
7FE20BB8	Constructing Food Quality and Safety Curriculum System to Adapt the Cultivation of Creative Talents
77A55085	Application of Wavelet Neural Network in a Blending System of Distilled Spirits
76956F24	Influence of Skin Diseases on Fingerprint Recognition
8110304C	Architecture Analysis and Implementation of a Web-Based Fingerprint Management System
7B4ECF35	Mathematical methods in imaging
76A02590	Colonisation ability of the threatened tenebrionid beetle Oplocephala haemorrhoidalis and its common relative Bolitophagus reticulatus
765CD793	Performance evaluation of wavelet-based face verification on a PDA recorded database
7E669055	Nutrition in Space: Evidence from the U.S. and the U.S.S.R.
76EC4D42	Nonfrontal/nonideal iris localization and acquisition
054EEBA4	Hardware Implementation of the Fuzzy Fingerprint Vault System
7CE06B27	Spam, biometrics and a blog
79F489E1	A method of recognition based on the feature layer fusion of palmprint and hand vein
7E57EDCF	A Methodology to Characterize Kernel Level Rootkit Exploits that Overwrite the System Call Table
78FE484D	Fingerprint recognition system for the elderly
75FE93E3	Terahertz time-domain spectroscopy for distinguishing different kinds of gunpowder
7B7BE12B	Discriminative and Non-User Specific Binary Biometric Representation via Linearly-Separable SubCode Encoding-based Discretization
5B6E0AFC	Pore Sub‐Features Reproducibility in Direct Microscopic and Livescan Images—Their Reliability in Personal Identification
77EBA7FB	Around the World In a Solar Plane
7776FD57	Improving fingerprint minutiae matching using local and global structures
7AC05692	Visualization of palm veins in NIR images, application in clinical injection and identification
7F4E42FC	Link analysis based on webpage co-occurrence mining - a case study on a notorious gang leader in Taiwan
7621C929	Secure surface identification codes
843281E5	Real Time Palm Recognition: Review and comparisons of Various Techniques
79155D69	Gabor Descriptor based cancelable iris recognition method
7FB512ED	Indoor location detection with a RSS-based short term memory technique (KNN-STM)
7C283120	Multiple organ definition in CT using a Bayesian approach for 3D model fitting
7EF7D45E	Effective detection method for CDMA-based fingerprinting scheme
018D4CC1	Studying on internet of things based on fingerprint identification
7A0AB7FC	Synchronous authentication with bimodal biometrics for e-assessment: A theoretical model
7957D455	Robust digital image inpainting algorithm in the wireless environment
751162F0	Writer identification in a handwritten document image using texture features
7CE410CA	Human face recognition using PCA based Genetic Algorithm
