0B80918E	The Rascal Language Workbench
80619D48	JEqualityGen: generating equality and hashing methods
0706A886	Code generation for the temporary-variable icon virtual machine
07C0A89D	Generating User Interfaces by means of Declarative Meta Programming
7B8A25C5	Revised Value of the Eighth-Order Contribution to the Electron g-2
807C8AE2	A design tool for hierarchical systems
85C37B08	Code specialization for memory efficient hash tries (short paper)
0B81861D	Using Control Flow Analysis for Space and Time Efficient Stub Generation
81FD2E22	Towards UML-Intensive Framework for Model-Driven Development
7EE3E672	CREAM: A Generic Build-Time Component Framework for Distributed Embedded Systems
7A298A34	On the effectiveness of register moves to minimise post-pass unrolling in software pipelined loops
7D583F54	Modeling and code generation of recursive algorithms with extended UML Activity Diagrams
053CBC3C	A Simple Randomized Quantization Algorithm for Neural Network Pattern Classifiers
5B7AC62C	A quantitative analysis of robotic languages
752B0CE5	Finite-Static Code Generation
7C22DF5A	Laser generating metallic components
7728A53F	Back-Propagation Based Non-Binary Optical Code Generation for OCDM Application
03C6B2E7	An HW/SW Co-design Environment based on UML and SystemC
77446D11	A meta model for representing arbitrary meta model hierarchies
7EC55E82	Arithmetic Error Detecting Codes for Communications Links Involving Computers
76D6F4F1	Partial automation of code generation with Ada prespecifications
5BB33A2A	Code generation in algol 68h: an overview : (preprint)
7E704FA4	Adding code generation to develop a simulation platform
728842D2	자율적인 웹 서비스 품질 정보 수집을 위한 프록시 클라이언트 코드의 자동 생성 방안
7D503A4F	Creating Domain-Specific Modeling Languages for Product Lines
593F0BAF	Knowledge assisted code generation and analysis
5FBE481F	The Hamlet Application Design Language: introductory definition report
7BBBCD68	Towards a model-based development approach for wireless sensor-actuator network protocols
7BE932BB	Development of a reliable GUI for DiaHDL: A web-based VHDL code generator
5D38CDCC	Correctness of code generation from a two-level meta-language
7E87B3B4	PtidyOS: A Lightweight Microkernel for Ptides Real-Time Systems
00BBDC2D	Using DATATRIEVE as a COBOL code generator
06B7ADB7	Self-Evaluating Compilation Applied to Loop Unrolling
7DF6A14C	A little language for modularizing numerical PDE solvers
76C68078	Code-generator-based software package for defining and solving one-dimensional, dynamic, catalytic reactor models
7E6E081D	Use of formal description techniques in development and implementation of AVPAC protocol
7D9517A6	Low-energy PN code generator for spread spectrum communication systems
71736B09	Rapid prototyping of manufacturing systems using an integrated tool box
001358B8	Reusable State Machine Code Generator
782B2A7A	Target software generation: an approach for automatic mapping of SystemC specifications onto real-time operating systems
7BEC8C3F	On-demand software management in sensor networks using profiling techniques
768CAA02	Generating environments for programming-in-the-large
791D458C	Treat - an applicative code generator
807D95B3	Model Predictive Control Design: New Trends and Tools
7E6EC83C	Efficient code generation for digital signal processors with parallel and pipelined instructions
7BFEFE86	RELAX — the relational algebra pocket calculator project
6D264B0F	A flexible development platform supporting zero-time enterprise applications
591304C6	Hardware/software codesign for embedded signal processing
79C60A59	A system for program component specification and code generation
7BBC0932	Automatic Generation of Architecture Model for Reconfigurable Build Tools
80807D9E	C++ based system design of a 72 Mb/s OFDM transceiver for wireless LAN
799BDD16	Code optimization of parallel programs: evolutionary vs. revolutionary approaches
7F5D7EB6	A Novel Spread-Spectrum Receiver Synchronization Scheme Using a SAW-Tapped Delay Line
0217D6D8	Object-Oriented Programming with X-Designer
6781BE38	Object-oriented design abstractions and code generation front ends to CAD systems
6CE6D3F1	A quick coding method based on dynamic table look-up for arbitrary bit length polynomial division in embedded system
667F8AC6	PACE: Processor architectures for circuit emulation
8098ACC8	XWRAPComposer: a multi-page data extraction service for bio-computing applications
77BF1462	Microcontrollers as components of service oriented architectures
631EBD74	Modular Modeling System Model Builder
757E1B17	Concrete Syntax for Objects Domain-Specific Language Embedding and Assimilation without Restrictions
58DC1EE2	Toward Automatic Generation of Provably Correct Java Card Applets
78654334	The best simple code generation technique for WHILE, FOR, and DO loops
80105E73	Generating user interfaces from specifications produced by a reverse engineering process
7B51FE84	Automated interface code generation from Ada specifications
5EAAB6F6	Applying a Functional Size Measurement Procedure for Defect Detection in MDD Environments
778D0587	Code generation with s.a.w. tapped delay lines
77F5C272	Combined x-ray/electron/optical Monte Carlo code based on PENELOPE and DETECT-II
7513DEB4	A method for model-driven development of adaptive web applications
7B5CA5EF	Testing .NET Code with YETI
7EF61ED5	Generating a Tailored Middleware for Wireless Sensor Network Applications
788EF0A9	ON THE WEIGHT DISTRIBUTION IN BINARY CODES GENERATED BY PROJECTIVE PLANES
5E72A0CB	A Decision Support System to Support Software Quality Through the Selection of Case Tooks
6AFEE6B8	A graphical interface based on grafcet for programming industrial robots off-line
63819364	A parallel programming tool for single program multiple data model on distributed memory multiprocessors
58779C0D	CHAP-2 heat-transfer analysis of the Fort St. Vrain reactor core
7B3BC659	Pathfinder meets DB2®: relational XQuery optimization techniques
75C72286	Inverse problems in coding, automata, and continuous systems
7CB3BC90	Performance analysis of the parallel code execution for an algorithmic trading system, generated from UML models by end users
75C6D865	Rapid application development for mobile terminals
751D8E69	Model-driven development and search-based software engineering: an opportunity for research synergy
7E056BCB	SecureBlox: customizable secure distributed data processing
5D948E95	The Read clinical classification (Read codes): General description
6867F1DA	Application Of A One-dimensional Tec Code To The Characterization Of A Lanthanum-hexaboride Diode
72D11191	PN Codes for Use in TTC Spread-Spectrum Multiple-Access Systems.
58E47D3D	CODE GENERATION FOR CSM/ECSM MODELS IN COSMA ENVIRONMENT
80E2EF40	Coding for a network coded fountain
353334D7	SDL protocol design partitioning and performance of generated application
76BDF83F	Dynamic programming and industrial-strength instruction selection: code generation by tiring, but not exhaustive, search
7BA9B895	The preliminary investigation of template with C++
7D00E174	New Convolutional Codes--Part III
801B6834	A forwarding-sensitive instruction scheduling approach to reduce register file constraints in VLIW architectures
7DFEBC24	Visualisation of Domain-Specific Modelling Languages Using UML
58BABA0E	A Novel Approach for Extraction of Design Features Using DXF Files
0085BC3B	Derivation of Parallel Programs for Maximum Marking Problems on Lists
59D3294D	IMPROVING PERFORMANCE IN FLEXIBLE MANUFACTORING BY A P-SOP APPROACH
09624EF2	Low Level Virtual Machine for Glasgow Haskell Compiler
08798C4E	Minimal quadratic residue cyclic codes of length p n ( p odd prime)
76AB1012	What is Coded into Memory in the Absence of Outcome Feedback?
761B290A	Class library implementation of an open architecture knowledge support system
7F49D377	Concatenated ring-TCM coding schemes
7F6F38D0	Optimal integrated code generation for VLIW architectures
60991B9D	Diagnosing Phase Space coherent structures by the test particle method
088A0602	Yacc: yet another compiler-compiler" technical report cstr32
76FCDD3B	Automatic Multilevel Medical Image Annotation and Retrieval
78586888	A novel approach for generating multi-device Rich Internet Applications
77C93239	RVC: A multi-decoder CAL Composer tool
72AEDE9A	A fully programmable Reed Solomon 8-bit codec based on a re-shaped Berlekamp Massey algorithm
7E48E600	Self-encoded spread spectrum and multiple access communications
7CB7234D	Towards Composable Timing for Real-Time Programs
7C2240E8	Techniques for use case modeling in Fujaba
7B70E184	Overview of the NASA/Marshall Space Flight Center (MSFC) CFD Consortium for Applications in Propulsion Technology
5FE728E7	A graphical based automatic real time code generator for power electronic control applications
592BD831	An evaluation of bottom-up and top-down thread generation techniques
076BE01D	Westinghouse loading pattern search methodology for complex core designs
63AD34B5	RIGAL - a Programming Language for Compiler Writing
7D078915	Motivation and framework for using genetic algorithms for microcode compaction
7FFFC9F3	A versatile time domain Reed-Solomon decoder
5BC097BE	Matlab code for The Labor-Supply Elasticity and Borrowing Constraints: Why Estimates are Biased
5A6D7467	Building Your Own Tools: An Oberon Industrial Case-Study
7E344EA9	The lcc 4.x Code-Generation Interface
78AEE91E	DiplodocusDF, a Domain-Specific Modelling Language for Software Defined Radio Applications
7EAF8F6A	Configuration et déploiement d'applications temps-réel réparties embarquées à l'aide d'un langage de description d'architecture
76614015	BOLJAT- A Tool for Designing Composite Bolted Joints using Three-Dimensional Finite Element Analysis Abstract
5999D428	What Really Makes Transactions Faster?
7A18045F	Toolchain-based approach to handling variability in embedded multiprocessor system on chips
75570D26	Determinacy testing for nondeterminate logic programming languages
7F42AC71	A Design and Validation System for Asynchronous Circuits
7A9EED4F	AUTOMATED DERIVATION OF THE ADJOINT OF HIGH-LEVEL TRANSIENT FINITE ELEMENT PROGRAMS
7B14A496	Studies on vision based absolute orientation detection method of spherical motor
68F7E36F	Simplifier: A Windows UIMS
794F935D	Parallelism through dynamic instrumentation at runtime
592A83CA	Static type checking of model transformation programs
7601C0E0	XFVHDL4: A hardware synthesis tool for fuzzy systems
767B6BE6	Evaluating the effect of composite states on the understandability of UML statechart diagrams
5DAD542B	A Flow Analysis Procedure for the Translation of High-Level Languages to a Data Flow Language
7A753453	Optimising code generation with haggies
7C5D31A3	DSM'14: the 14th workshop on domain-specific modeling
7E969409	Java to hardware compilation for non data flow applications
7EB79417	Domain flow and streaming architectures
7E7776A1	Testing object Interactions
7C002764	Implementing MAC protocols for cooperative relaying: a compiler-assisted approach
7CCF5B03	The LINC-NIRVANA Common Software
7BE3775F	On Tiling as a Loop Transformation
596258C8	A new voltage sag generator base on power electronic devices
60F7C628	A dynamic programming approach to complex allocation in a DSP pipelined processor
04C34DE9	Variable-size arrays in C
6AF2D006	Semantics Through Pictures
002887EE	An Application Performance Comparison of HPCx to EPCC's Blue Gene/L Service
7A3BDC1C	Improving Software Quality in Safety-Critical Applications by Model-Driven Verification
5A69748F	Numerical Code Generation from a Geometric Modeling System
599CCD8F	Constraint specification of the control logic of automated manufacturing systems
77CF9BED	Refactoring UML models: using openarchitectureware to measure uml model quality and perform pattern matching on UML models with OCL queries
01810C8C	Metamodels for Static Conceptual Modelling of Information Systems
5D7E98C7	A new cell code assignment for implementing the distance-based location update strategy
0271C518	Grammar-Based Design and Analysis of Technical Systems
7C0CC356	A prediction-transformation-combined intra picture coding method
7B356C4D	Detailed kinetic models for catalytic reforming
70E616BD	Component-node-network: three levels of optimized code generation with ASCET-SD
7E976FE3	Resource constrained dataflow retiming heuristics for VLIW ASIPs
79E28E5F	Configuration matrices of group codes
781B317C	A space‐efficient code generation scheme for BCPL
02BEED86	PDP: pen driven programming
7FDB32AE	A new parallel recomputing code design methodology for fault-tolerant parallel algorithm
7716D8FC	Embedded parser generators
80786F0F	Murmur-a message generator and reporter for Unix, VMS, and VxWorks
84F605EC	Decision-Model-Based Code Generation for SPLE
6222A730	Different measurements with a SAW convolver and description of a code generator (PRBS) generator
810F2EB8	Anti-Yacc: MOF-to-text
796C5E9F	XFormsGen:XForms-Based Automatic UI Code Generator
7D4A57E7	Code generating routers: a network-centric approach to mobile code
7ABEB3D9	A simplification of code tables in a one‐pass PL/M compiler
76ED34AD	Model-based software design tools for the cell processor
7D4765E4	The 11th workshop on domain-specific modeling
6A7BF91E	autoSQL and autoXML: code generators from the genome project
7E758187	A rapid railway simulation model development system incorporating automatic model generation
7EFF63BD	NETSPEC: from formal nets specifications to code generation
75E12495	PAC: Program Analysis for Approximation-aware Compilation
80607DDF	Run-time monitoring and recovery of Harel statecharts using prioritized non-deterministic statechart specifications
8132786E	Right-to Left Code Generation for Arithmetic Expressions
7939FD90	JavaGI: The Interaction of Type Classes with Interfaces and Inheritance
76CD13D0	The design and implementation of a grammar-based data generator
0ABC19B0	IDENTIDAD, HIBRIDACIÓN Y POLICENTRISMO. UNA PROPUESTA DE ANÁLISIS SEMIÓTICO DESDE LA MÚSICA LATINOAMERICANA DEL SIGLO XX
0256730D	Sensitivities of Greenland ice sheet volume inferred from an ice sheet adjoint model
68986111	Implementing java compilers using ReRAGs
62E27184	Constructions of Subsystem Codes over Finite Fields
7EDB2587	Poplar: A Java Extension for Evolvable Component Integration
0A3FE837	Organizing Pattern Libraries for ASIP Design
7A02430E	UML behavioral consistency checking using instantiable Petri nets
01CD6855	Compile-time analysis and code generation of joyce/linda for varying architectures
77F507BC	Applying frame layout to hardware design in FPGA for seamless support of cross calls in CPU-FPGA coupling architecture
806C47ED	Ideograph/ideogram: framework/hardware for eager evaluation
5BBCABFE	Domain-specific language design requires feature descriptions
757090F8	Rich meta object facility formal integration platform: syntax, semantics and implementation
5998899F	Improved embedded flight control system design process using integrated system design/code generation tools
5AB25128	From analysis to code generation: Experiences from an information engineering project using I-CASE technology
7A92F418	Approaching cardiac modeling challenges to computer science with CellML-based web tools
7B299000	Compositionality in Dataflow Synchronous Languages: Specification and Code Generation
5F7E8AD9	Proceedings of the eighteenth Hawaii international conference on system sciences. Volume 2
5B3F9C1B	A compiler assisted remote computation progress monitoring mechanism in grid environment
03B57766	An Echo Canceler for Workstation Audio
03C82C7D	Agent-based Intelligent Control System Design For Real-time Distributed Manufacturing Environments
5CB78E01	Iterative collective loop fusion
75B295EB	Retargetable Netlists Generation and Structural Synthesis Based on a Meta Hardware Description Language: Melasy+
6EA352D4	A pragmatic approach to computer assisted system building
7D49CB81	High-level specification of behavioural hardware models with MODES
75E87BBB	Adding Optimization to the Decompilable Code Editor
8058EE9A	Schedulability in model-based software development for distributed real-time systems
7EFD8EE8	Pitman Shorthand inspired model for plain text compression
5D86DB13	DART: The Data‐Driven ATaG Runtime
0BF721B1	Erfahrungen mit einem automatischen Code-Generator-Generator
77B75139	RESOURCE-FOCUSED TOOLCHAIN FOR RAPID PROTOTYPING OF EMBEDDED SYSTEMS
01FC7519	The CTADEL Application Driver for Numerical Weather Forecast Systems
78E1CABF	Generating MC68000 code for Ada
788B3B6B	Genericity - a "Missing in Action" Key to Software Simplification and Reuse
010E3D00	Generative Acceptance Testing for Difficult-to-Test Software
7DB46EB8	High level synthesis methodology from C to FPGA used for a network protocol communication
03734185	LLVM back-end for the Timber compiler
5A02FD3C	Increasing the locality of memory access patterns by low-overhead hardware address relocation
7F4BFB84	Image Processing Application Development: From Rapid Prototyping to SW/HW Co-simulation and Automated Code Generation
7E5101CE	On the compilation of statecharts models into target code for embedded systems
79DB697E	Programming language RIGAL as a compiler writing tool
090F7523	Code Generation for Real-Time Specifications
7E868A3D	Object-oriented analysis and design support system using algebraic specification techniques
07D738A7	Aspects of balancing techniques for pipelined data flow code generation
6F32AADB	Visual Craft: a visual integrated development environment
7F391E85	Fault-Tolerant Bit-Parallel Multiplier for Polynomial Basis of GF(2m)
7F3A33E7	FAST compiler user's guide
85CC3355	Ensuring Extensibility within Code Generation
77BBE261	Implementing Java modeling language contracts with AspectJ
77503EA6	The Compilation of Ada
05F102DA	Handling Irregular Problems with Fortran D - A Preliminary Report
7D620AC4	Highly Efficient Performance Portable Tracking of Evolving Surfaces
183A90DB	Efficient Exploitation of Parallelism on Pentium � III and Pentium� 4 Processor-Based Systems
6DDDBFAC	Phased amplitude-shift signaling (PASS) codes: increasing the spectral efficiency of DWDM transmission
720F2B2F	REGLAS PARA LA GENERACIÓN AUTOMÁTICA DE CÓDIGO DEFINIDAS SOBRE METAMODELOS SIMPLIFICADOS DE LOS DIAGRAMAS DE CLASES, SECUENCIAS Y MÁQUINA DE ESTADOS DE UML 2.0
773056E3	Piezoelectric Pulse and Code Generators
782E36AF	Adjoining Strategies for Multi-layered Programs
7A1EF6CB	Polymorphic Malware Detection Using Hierarchical Hidden Markov Model
815F2B93	ASSEMBLY LANGUAGE PROGRAMMING FOR THE 1860
5B1E0D82	Limit States Design (LSD) for Shallow and Deep Foundations
7797AB96	A compiler framework for mapping applications to a coarse-grained reconfigurable computer architecture
79411E1C	Simulated axial transmission propagation on cortical bone
7CFD3580	MEOW: Model-based design of an energy-optimized protocol stack for wireless sensor networks
812D5D17	Using Integrative Models in an Advanced Heterogeneous System Simulation
07A87573	An Expert System For The Development Of New Telecommunications Services
7EAC2EB2	Dynamic linking of software components
58D06E84	A study on automatic code generation tool from design patterns based on the XMI
780170D0	Sea trial results of a chaotic direct-sequence spread spectrum underwater communication system
756EB3AB	Advanced rapid prototyping in small research projects with Matlab/Simulink
7544AF45	Typeless programming in Java 5.0
7E458ACA	Explicit Platform Descriptions for Heterogeneous Many-Core Architectures
7D0BA39D	Automatic synthesis of a dual-PLA controller with a counter
74A6B900	Accelerated sensitizable path algorithms for timing verification based on code generation
7BED43ED	Towards the definition of spatial data warehouses integrity constraints with spatial OCL
7FAFBDAC	The study and implementation of architecture-dependent optimization in GCC
093A8934	Semantical Analysis and Mathematical Programming Application to Parallelization and Vectorization
0E66D7E3	Aspect-Oriented, Model-Driven Software Product Lines: Model-driven engineering support for product line engineering
7732FFA5	Caps of order 3 q 2 in affine 4-space in characteristic 2
7CCF1173	TimeBench: a CAD tool for real-time system design
7A4495EF	The metamodeling approach to system level synthesis
591089AE	Strategies for quadtree predictive image coding
81262D3F	A Petri net based single chip programmable controller for distributed local controls
7E4798F1	Exception handling in PL/I
5BF7E3B0	Registers On Demand: Integrated register allocation and instruction scheduling
79354637	Novices' knowledge construction of difficult concepts in CS1
7CA0F72E	A new neural network: Hybrid location-content addressable memory
01AF22C9	Using Automated Code Generation to Support High Performance Extended MHD Integration in OpenGGCM
6929B4D3	C-code from polychronous data-flow equations
7B5DCFEA	Parametric design and NC code generation of countersink cutting tools
7726420B	Molecular frequency filters at central synapses
7B3CA8EC	Automated Process for Unmanned Aerial Systems Controller Implementation Using MATLAB
76AAFBC4	MMDiff: a modeling tool for metamodel comparison
7A9437D4	Code Generation from Architectural Multiviews Description
5F59C0C9	On a relation between verifiable secret sharing schemes and a class of error-correcting codes
7B72CE65	Towards device emulation code generation
7F28C0DA	Broadband Josephson voltage standards
7E6E98FC	Code properties: influences on the performance of a quaternary CDMA system
77121F6C	Provably Correct Code Generation: A Case Study
30D116CA	A code generation framework for the ALMA common software
7FEE8AEB	Domain Specific Modeling of Business Processes and Entity Mapping Using Generic Modeling Environment (GME)
7FA74166	Non-unimodular code generation for parallel machines
79621E58	FCI: an R-based algorithm for evaluating uncertainty of absolute real-time PCR quantification
79028A53	FPGA design for image processing using a GUI of a web-based VHDL Code Generator
776BB4BD	Middleware Support for Transparent Client-Side Caching
773DC3DD	Supporting Rapid Application Development on Symbian Platform
0784ACC0	HelpDraw Graphical Environment: A Step Beyond Data Parallel Programming Languages
0A1AABD9	Road map : transforming and extending repast with groovy.
0ABE61E2	Using software classifications to drive code generation
7D257DCF	Automated application software generator
812DCCF6	Game solving for industrial automation and control
5C8A3256	XFormsGen:XForms-Based Automatic UI Code Generator
7E325B8C	Compiler support for parallel code generation through kernel recognition
7EE525BE	A prototype implementation of a model management system for discrete-event simulation models
0B73FECE	Modular Program Transformations for Aspect-Oriented Constructs
7DC30B31	Design and Use of CSP Meta-Model for Embedded Control Software Development
7AAC9C3C	Flexible neuronal network simulation framework using code generation for NVidia® CUDA™
7A84A440	A Monte Carlo C-code for calculating transmission efficiency of recoil separators and viewing residue trajectories
5C921CDA	20-Sim ANSI-C code on a 8051 target
7CEB3386	CSP Design Model and Tool Support
0287FD41	Inclusion of Scatter in HADES: Final Report
7F34EA70	Large-Scale Data Reengineering: Return from Experience
81129C68	Automatic code generation: A practical approach
7D55E0D4	Digital compensation of nonlinear distortion in loudspeakers
75AACEAF	Automatic high-level code generation for expert systems (abstract and references only)
8066A6FF	Evidence for growth of microbial genomes by short segmental duplications
7E19D576	Bowyer: A Planning Tool for Bridging the Gap between Declarative and Procedural Domains
77D1843D	An Ada code generator for VAX 11/780 with Unix
786E6657	Visual software development using an object-relationship model
7BBC27DD	There are at least two sides to every heterogeneous system
7A1FCA00	Rigorous Component-Based System Design Using the BIP Framework
02529B4E	ECOSIMPRO CODE GENERATION FROM THE PHYSICAL ANALYSIS OF OBJECT-ORIENTED MODELS
7DE0EA66	The Tanagra project - a simple MDBS API
586D4ACD	Object role modeling enabled metadata repository
0CFC873A	Automatic synthesis of concurrent control for multiprocessor systems of general topology through fine-grain mapping
7C0FA636	Programmable Signal Processing by Analog Chirp-Transformation Using SAW Devices
5833CBAB	An object-oriented diagram editor and code generator
810C8FCB	JReq: Database Queries in Imperative Languages
7B8B0C33	In-Flight Radiometric Calibration Of The Airborne Visible/Infrared Imaging Spectrometer (AVIRIS)
799EA419	Ensuring consistency of information systems rules models
80CA37FD	FPGA based Control of a Production Cell System
19D305AA	A Model-Based Development of Information and Control Systems
5941892A	Virtual radix array processors (V-RaAP)
7A2B0BE7	Model-guided empirical tuning of loop fusion
7A19B1B1	Numerically generated axisymmetric black hole spacetimes: Numerical methods and code tests
61A9EFF5	GPSTk: An Open Source Toolkit for Working With GPS Data
74BB5CB5	IoT Link: An Internet of Things Prototyping Toolkit
5FB38F71	Code generation for receding horizon control
7B0F0E8C	Pattern matching in reconfigurable logic for packet classification
815B9DF1	Toward hardware building blocks for software-only real-time video processing: the MOVIE approach
7EA759D7	Exploring number bases as tools
039990EA	ARNOLD: Applying an AI Workstation to Production Test Code Generation
021CFCDC	Optimal Code Generation for Machines with Different Types of Instructions
029B31E6	Code generation nirvana
5F4E2579	One-Step Compilation of Image Processing Applications to FPGAs
78434FBB	Restructuring OODesigner: a CASE tool for OMT
85D77D17	From a B specification to UML statechart diagrams
8182B82B	Object Oriented Formal Specifications: Application in the Development of an Automatic Exercise ECG Processing System
030B752A	POSH: A Profiler-Enhanced TLS Compiler that Leverages Progr am Structure
77DA4C98	Statemate: a working environment for the development of complex reactive systems
0A6BBE86	Data and behavior decomposition for the model-driven development of an executable simulation model
7992EA01	DisCComp -- A Formal Model for Distributed C oncurrent Components
0B714542	Automatic Code Generation: Model-Code Semantic Consistency
7FAED2E4	A scalable low-power digital communication network architecture and an automated design path for controlling the analog/RF part of SDR transceivers
5DC62537	Scaling-Up Model-Based-Development for Large Heterogeneous Systems with Compositional Modeling
7FFF9E37	The ACK Target Optimizer
620C2FB4	On-the-fly Query-Based Debugging with Examples
04892C29	Code Generation for Distributed Systems
7801000A	Gallium-Arsenide FET Logic Pseudorandom Code Generator
7E3DFC34	On the feasibility of synthesizing CAD software from specifications: generating maze router tools in ELF
80ED16A9	Deploying multicast communication over MPLS networks using tree numbering
7EAF419B	An Integrative Approach for Embedded Software Design with UML and Simulink
07609DE3	LMFBR spent fuel transport: parametric studies
7CB16B4D	Improving the Java memory model using CRF
7E174C46	PLCTOOLS: design, formal validation, and code generation for programmable controllers
76666D53	Hybrid system for multi-language and multi-environment generation of numerical codes
7DB3E385	Mobidev: a tool for creating apps on mobile phones
5B238557	A tool for tailored code generation from Petri net models
7683E3C0	Finite deformation plasticity and viscoplasticity laws exhibiting nonlinear hardening rules
07FB1800	Specifying and verifying a transformer station in Signal and SignalGTi
096128D2	Dealing with Usability in Model Transformation Technologies
78C5E26A	Implement of The Authoring Tool for WIPI Business Program using UIDL(User Interface Description Language)
78840AAC	A short introduction to Concurrent Euclid
791F4441	Code generation for a systolic computer
6EB82590	Creating and Running Mobile Agents with XJ DOME
5D77569E	Domain flow and streaming architectures
7E82690C	Declarative model description and code generation for hybrid individual- and population-based simulations of the early visual system
85D96467	STATEMATE to SCADE model translation
7E936220	Systematic numerical experiments in nonlinear filtering with automatic fortran code generation
0413DF01	Abundances of ultraheavy cosmic rays
7809B183	Radiation Losses in MM-Wave Open Microstrip Filters
7FE8BDB1	Passive detection suppression of cyclostationary phase coded waveforms
811A929A	Accelerating a 3D Finite-Difference Earthquake Simulation with a C-to-CUDA Translator
7539354C	Run-time code generation for materials
02EB962A	Numerical simulation of BWR suppression pool dynamics. Final report
7DB04E3E	Extreme programming and its development practices
7739136D	UDP: an integral management system of embedded scripts implemented into the IMaX instrument of the Sunrise mission
5F606CAB	Evaluation of modeling notations for basic software engineering in process control
789127B5	EXPERIENCE USING FORMAL METHODS IN HIGH ENERGY PHYSICS
7E3BA2B0	Single correlator receiver for wideband multipath channel
76112AE4	Laser Powder Deposition of a Near Net Shape Injection Mold Core — A Case Study
02E556DB	Using Web Service Transformations to Implement Cooperative Fault Tolerance
78D52DBD	Effect of encoder–decoder mismatch due to wavelength and time misalignments on the performance of two-dimensional wavelength–time optical code-division multiple access systems
759262DE	Integration of complex archeology digital libraries: An ETANA-DL experience
697A04A2	Digital system design process automation using place/transition petri nets
5951D8DD	Model-based performance instrumentation of distributed applications
76C9D6FB	Pascal language extensions for parallel processing
11D18BED	A versatile Filter Structure to Generate and Compress Binary and Polyphase Complementary Spreading Codes
85DF37B4	A microprogramming design laboratory
7F551559	Compact device modeling for established and emerging technologies with the Qucs GPL circuit simulator
7EB6302E	Proposal for a generic prototyping approach
7F4DC05B	Multiplatform Executive Dedicated for Handheld Computers Programming
5E086E2A	Self-Applicable C Program Specialization
7C7A98BB	Embedding Simulink algorithms into iFIX and GE Fanuc Series 90 PLCs
5FA7A1FE	Register allocation and phase interactions in retargetable optimizing compilers
05467412	An Integer Set Framework for HPF Analysis and Code Generation
75EF578E	Modelling and Verifying of a `Cash-Point Service' Using MOBY/PLC
5C32EB53	From MDA Platform-Specific Model to Code Generation: Coupling of RM-ODP and UML Action Semantics Standards
782DFB0D	Role-based generic model refactoring
01169AD3	Declarative Language Denitions and Code Generation as Linearization
7594353D	MizarMode—an integrated proof assistance tool for the Mizar way of formalizing mathematics
7ADA9913	Issues in applying a model driven approach to reconfigurations of satellite software
7B737DB7	Code generation techniques for functional languages
7D7F5926	Cyclic Self-Dual Z 4 -Codes
63FB9D46	On the Peak-to-Mean Envelope Power Ratio of Phase-Shifted Binary Codes
7EE13F04	Incremental design of distributed control systems using GAIA-UML
7C771B9D	Set of tools for native code generation for the Java virtual machines
7F275356	The Research of Web Application Framework Based on SSH
7C573F05	Design and organization of a translator for a partial differential equation language
63AFEBBE	Nonlinear evolution of the Resistive Kink Mode and its Nonlinear Stabilization
5900E1F9	Covert electronic battlefield identification system
7CC9B4D5	MBD & code generation: A cost-effective way to speed up HMI certification
77AB16A1	Embedded typesafe domain specific languages for Java
8196EBD6	Scheduling Expression DAGs for Minimal Register Need
7F7E418B	XWRAPComposer: A Multi-Page Data Extraction Service
819EAEE4	An integrated magnetic circuit model and finite element model approach to magnetic bearing design
5A9D5D63	Optical pulse code generation using optical fibre gratings
812BDB1D	Visualization and interactive simulation of Modelica models for control education
07FE1BBE	Code Generation for a Pascal Compiler
7BC1467B	Automatic Generation Method of Proxy Client Code to Autonomic Quality Information
7C0D76E1	Enhanced structural analysis for C code reconstruction from IR code
7649466F	Latency-tolerant software pipelining in a production compiler
5B27194B	Code generation for a data parallel SIMD language
02653C46	Ted on a Round-Trip
7D2E19C9	To Generate the Ontology from Java Source Code
7D4E71D2	A Code Generation Algorithm for Affine Partitioning Framework
790E1746	XML-based modeling and simulation: meta-models are models too
6348E5FA	Symbolic-driven calculations in helio- and asteroseismology.
7BA709F5	Machine planning: its role in the generation of manufacturing code from solid model descriptions
85B6E401	Ambiente de modelagem e implementação de sistemas tempo real usando o paradigma de orientação a objetos
5F73CDF8	Software for Automotive Systems: Model-Integrated Computing
7D9F11BE	An integrated aspect-oriented model-driven software product line tool suite
78FCDD5E	Dryverl: a flexible Erlang/C binding compiler
7A339840	Aerodynamic Optimization through Automatic Differentiation and CFD
72CFB853	A practitioner report on the evaluation of the performance of the C, C++ and Java compilers on the OS/390 platform
7C805C5F	A development environment using behavior patterns to facilitate building 3D/VR applications
77352761	Algorithm Building and Learning Programming Languages Using a New Educational Paradigm
7732C4C6	A Delay-Lock Loop for Tracking Pulsed-Envelope Signals
5A6C954A	Kaira: Modelling and Generation Tool Based on Petri Nets for Parallel Applications
6AD6C121	Design methodologies for the synthesis of high speed multiprocessor digital signal processing systems
6A3C43B7	An End-to-End Code Generation from UML Diagrams to MVC2 Web Applications
7EF11EA6	The Error Propagation of Bit-Stuff Coding Systems
77B9171D	Multiple level orthogonal codes and their application in MC-CDMA systems
60CFB048	Theoretical Calculations of Opacity for Non-Local-Thermodynamic-Equilibrium Plasmas
5DD8A277	A generalized framework for automatic code partitioning and generation in distributed systems
765C3DA3	Runtime organization for the Ada language system programs
04B4DFAD	Incremental Code Generation in a Dis-tributed Integrated Programming Environment
77392F1E	Interfacing user processes an kernel in high level language
7F2BC9F4	Automatic generation of C++ code from an ESCRO2 specification
