7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
7ACD9D7F	International Conference on Autonomic Computing<--Enhanced FIR filter based module for clock synchronization in MPEG2 transport stream
80713BC5	Information not present<--Distributed Kalman filter for precise and robust clock synchronization in wireless networks
7E09323F	Engineering of Computer-Based Systems<--Pattern-Driven Support for Designing Component-Based Architectural Models
7B9421C1	Physical Review A<--Conveyor belt clock synchronization
7D07E83C	Nonlinear Analysis: Hybrid Systems<--Finite-time consensus for switching network topologies with disturbances
76D7CBD7	Information not present<--Research and design of industrial Ethernet switch based on IEEE1588 standard
7F9FC7D7	Wireless Communications and Networking Conference<--One-way delay measurement in wired and wireless mobile full-mesh networks
7E148E22	International Conference on Computer Communications<--Clock synchronization algorithms for network measurements
7672B448	Information not present<--A 2-locking-cycle skew-compensation circuit with the capability of tracking runtime-variations
7A6BB990	European Transactions on Telecommunications<--Synchronization sensitivity of multicarrier systems
633C26EA	Information not present<--The Navex experiment on Spacelab mission D1
0334A7C9	Principles of Distributed Computing<--Self-Stabilizing Clock Synchronization in the Presence of Byzantine Faults (Abstract)
7EC3ECFA	International Conference on Communications<--A communications system with instantaneous multiple access
7913EB96	Static Analysis Symposium<--The Recursive Time Synchronization Protocol for Wireless Sensor Networks
82C685B3	Information not present<--Opportunistic clock synchronization for ad hoc networks
7849ABA5	Ad Hoc Networks<--Clock synchronization for wireless sensor networks: a survey
76684966	Celestial Mechanics and Dynamical Astronomy<--Is the International Atomic Time TAI a coordinate time or a proper time?
7EA9175C	Information not present<--Security aspects for IEEE 1588 based clock synchronization protocols
16FD4C52	Information not present<--Um Servi�o de Tempo Global para Sistemas Distribu�dos de Larga Escala
7F5F336A	Global Communications Conference<--Symbol timing recovery for wavelet-based linear modulations
5A5824BA	Information not present<--VLBI (Very Long Baseline Interferometry) instrumental effects, part 1
785B17A8	Information not present<--Use of a fiber Fabry-Perot tunable filter for high-speed optical packet switching: towards an experimental prototype
5E5D74A0	Information not present<--Introduction to Distributed Algorithms: Fault Tolerance in Asynchronous Systems
760E25F1	Chaos Solitons & Fractals<--Chaotic map based key agreement with/out clock synchronization
771C65AE	Information not present<--Research and implementation of the burst-mode optical signal bit-error test
80FECF00	Information not present<--Master failures in the Precision Time Protocol
7C0EB63B	Acta Automatica Sinica<--A Fast Averaging Synchronization Algorithm for Clock Oscillators in Nonlinear Dynamical Network with Arbitrary Time-delays
7EDE701C	Embedded and Ubiquitous Computing<--An Environment for Design Software and Hardware Aspects of Clock Synchronization and Communication in DRTES
80D8F069	IEEE Journal of Solid-state Circuits<--A Duty-Cycle-Distortion-Tolerant Half-Delay-Line Low-Power Fast-Lock-in All-Digital Delay-Locked Loop
79D8C771	International Journal of Electronics<--On a reliable data communication broadcast system
7EE51EBA	ACM/IEEE International Conference on Mobile Computing and Networking<--MU-Sync: a time synchronization protocol for underwater mobile networks
7F6AEDBB	Information not present<--IEEE1588 Clock servo algorithm
78C17739	International Solid-State Circuits Conference<--A source-synchronous 90Gb/s capacitively driven serial on-chip link over 6mm in 65nm CMOS
7642263A	Foundations of Physics Letters<--Noninvariant one-way velocity of light and particle collisions
76213A3C	Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks<--An experimental investigation of VoIP and video streaming over fixed WiMAX
759BD9C8	International Journal of Network Management<--Clock synchronization using a linear process model
03416AC4	Information not present<--The effect of parameters of real receivers on noise immunity
009D38B1	Information not present<--Time keeping office and NTP servers.
80464B18	Theoretical Computer Science<--Secure and self-stabilizing clock synchronization in sensor networks
7FD5D71D	Network and Parallel Computing<--Inference of One-Way Queuing Delay Distribution Using Packet-Pair Probes without Clock Synchronization
7FDE2729	Information not present<--A dynamic high speed multi-media local area network (MLAN) protocol architecture
63D98948	Information not present<--Multipath characteristics of GPS signals as determined from the Antenna and Multipath Calibration System
740205CA	International Journal of Circuit Theory and Applications<--Power packet dispatching with second‐order clock synchronization
5F100458	Personal, Indoor and Mobile Radio Communications<--Clock drift reduction for relative time slot TDMA-based sensor networks
756CE695	Proceedings of the IEEE<--VLBI clock synchronization
5A111D76	Emerging Technologies and Factory Automation<--Embedded SynUTC and IEEE 1588 clock synchronization for industrial Ethernet
816664C7	IEEE Transactions on Vehicular Technology<--On Clock Synchronization Algorithms for Wireless Sensor Networks Under Unknown Delay
810A7290	IEEE Transactions on Instrumentation and Measurement<--Ten Microseconds Over LAN, for Free (Extended)
7FD230DD	Network and Parallel Computing<--A Stable Clock Synchronization Based on Clock Drift Rate
7E0F3581	ACM Transactions on Computer Systems<--Sequential consistency versus linearizability
5F4A4ACC	International Symposium on Algorithms and Computation<--Basic computations in wireless networks
62CD41E9	Information not present<--Length standards and the twin paradox in the special theory of relativity
80BEB94C	International Conference on Distributed Computing Systems<--FLASH: Fine-Grained Localization in Wireless Sensor Networks Using Acoustic Sound Transmissions and High Precision Clock Synchronization
8160402F	IEEE Transactions on Communications<--Frequency domain interpretation of the Cramer-Rao bound for carrier and clock synchronization
63EA673F	Information not present<--A high performance CCD Linear Imaging Array
7ECD62CD	Information not present<--Slave to Master Clock synchronization via TCP/IP for time distribution and remote calibration applications
77F62BC6	IEEE Transactions on Nuclear Science<--A Medium Fast Time-of-Flight Front End
7CC2DC48	IEEE Software<--A distributed real-time operating system
5CBF11AD	Current Opinion in Structural Biology<--Clocked and asynchronous instruction pipelines
7CEE724B	Information not present<--Software Verification for System on a Chip using a C/C++ Simulator and FPGA Emulator
062BE562	Information not present<--Interferometric Processing of the Data from the VEGA Balloon Probe and Flyby Station
8053A4F7	Information not present<--Performance evaluation of PTPd, a IEEE 1588 implementation, on the x86 Linux platform for typical application scenarios
7D28ADE6	IEEE Journal of Solid-state Circuits<--PLL-based BiCMOS on-chip clock generator for very high-speed microprocessor
7FF5FA7E	International Journal of Geometric Methods in Modern Physics<--Charged Particles and the Electro-Magnetic Field in Non-Inertial Frames of Minkowski Spacetime: I. Admissible 3+1 Splittings of Minkowski Spacetime and the Non-Inertial Rest Frames
7EC2D47F	Global Communications Conference<--An extended phase-locked loop for clock synchronization applications
7F87B596	Real-time Systems<--Implementing a Probabilistic Clock Synchronization Algorithm
5DCA8C6A	Information not present<--Providing Runtime Clock Synchronization With Minimal Node-to-Node Time Deviation on XT4s and XT5s
7EC7638C	International Symposium on Circuits and Systems<--A DLL based 10-320 MHz clock synchronizer
7FA2FA93	Document Analysis Systems<--A provably correct design of a fault-tolerant clock synchronization circuit
79D55C41	IEEE Wireless Communications<--Security in wireless mobile ad hoc and sensor networks [Guest Editorial]
0BED772E	Information not present<--The Chrono-Geometrical Structure of General Relativity and Clock Synchronization
7CD851F5	Information not present<--Clock synchronization through second order coherence of thermal light
771BF423	Control Engineering Practice<--The design and analysis of low-cost real-time fieldbus systems
7F793842	Information not present<--Signal processing techniques for synchronization of wireless sensor networks
73856B33	International Conference on Principles of Distributed Systems<--Clock Synchronization in the Byzantine-Recovery Failure Model
7DCFB82C	ACM Transactions on Database Systems<--A Majority consensus approach to concurrency control for multiple copy databases
7F3D3781	ACM Transactions on Modeling and Computer Simulation<--Massively parallel and distributed simulation of a class of discrete event systems: a different perspective
80C1720B	IEEE Transactions on Circuits and Systems I-regular Papers<--A Novel DCXO Module for Clock Synchronization in MPEG2 Transport System
5A196453	European Dependable Computing Conference<--A Fault Tolerant Clock Synchronization Algorithm for Systems with Low-Precision Oscillators
7F910544	Information not present<--Practical application of 1588 security
7FB14081	International Conference on Computer Aided Design<--Zero skew clock routing in multiple-clock synchronous systems
5A8D9731	International Conference on Principles of Distributed Systems<--Clock synchronization for wireless networks
0548F601	Information not present<--SYNCHRONIZATION OF CLOCKS IN THE GENERAL RELATIVITY THEORY.
7CC55C19	Information not present<--Design of adaptive line protection under smart grid
7FEB07B2	Electronic Notes in Theoretical Computer Science<--Automatic Formal Synthesis of Hardware from Higher Order Logic
7E27A978	International Conference on Distributed Computing Systems<--Self-stabilization with global rooted synchronizers
80A0EC9D	Information not present<--An optimal internal clock synchronization algorithm
59CF1454	International Conference on Computational Science and Its Applications<--Inner potential of generating pulses as a consequence of recurrent principles and specific computing architecture
7E319127	IEEE Transactions on Communications<--Data Transmission for Military Communication; Parameters and Capabilities
7F499FE4	Proceedings of the IEEE<--Uses of precise time and frequency in power systems
7EEEB94D	Journal of Fermentation and Bioengineering<--A practical approach to synchronous hardware verification
7F976586	International Conference on Communications<--A new algorithm for fast synchronization in a burst mode PSK demodulator
7AF1E164	Information not present<--Traps and pitfalls in secure clock synchronization
58D70CD5	Next Generation Internet<--Resilience to dropping nodes in mobile ad hoc networks with link-state routing
78AB224D	IEEE Transactions on Computers<--Clock Synchronization in Distributed Real-Time Systems
7C18D0FE	Distributed Computing in Sensor Systems<--Bin-MAC: A Hybrid MAC for Ultra-compact Wireless Sensor Nodes
7B43BD15	IEEE Transactions on Instrumentation and Measurement<--Worldwide Clock Synchronization Using a Synchronous Satellite
7D58E42C	Distributed Computing<--Probabilistic clock synchronization
5906039B	Real-time Systems<--Interval-based Clock Synchronization
7BAD6BED	Physical Review Letters<--Entangled Two-Photon Wave Packet in a Dispersive Medium
75D5A653	Principles of Distributed Computing<--Inexact agreement: accuracy, precision, and graceful degradation
5CCABC57	International Conference on Algorithms and Architectures for Parallel Processing<--Clock synchronization state graphs based on clock precision difference
7E9D803D	Mobile and Wireless Communication Networks<--A reliable multi-channel MAC protocol with efficient multicast support for ad hoc networks
5BD8A852	International Conference on Computer Aided Design<--SILENT: serialized low energy transmission coding for on-chip interconnection networks
7E8CD976	Information not present<--An Adaptive Coupling-Based Algorithm for Internal Clock Synchronization of Large Scale Dynamic Systems, MidLab
76FE182A	Information not present<--A distributed clock synchronization method based on 2-hop neighbors' time information for ad hoc networks
76529112	Information not present<--Research on Time Synchronization in Cluster Robots Based on Wireless Network
80B178D0	International Journal of Chemical Reactor Engineering<--Time synchronization for an Ethernet-based real-time token network
81227405	IEEE Transactions on Broadcasting<--A Novel Clock Recovery Scheme for ATSC Receivers
7929CB48	International Journal of High Performance Computing Applications<--An Asynchronous Wakeup Power-Saving Protocol for Multi-Hop Ad Hoc Networks
5FFD24FD	Information not present<--Nature of Relativistic Effects and Delayed Clock Synchronization
763A1004	Advanced Materials Research<--A Study of High-Precision Internal Clock Maintenance Method
7E632E07	IEEE Transactions on Computers<--A versatile architecture for the distributed sensor integration problem
7EF696FD	Euromicro Conference on Real-Time Systems<--An ASIC supporting external clock synchronization for distributed real-time systems
7C8CE7C5	IEEE Photonics Technology Letters<--Subharmonic Optoelectronic Oscillator
753762C5	Ieice Transactions<--Realization of Autonomous Clock Synchronization for Power Packet Dispatching
7641A8AA	Information Processing Letters<--Closed form bounds for clock synchronization under simple uncertainty assumptions
7ED0DE76	Information not present<--Interferometric experiments analyzed in the non-inertial reference frames
80C2FDA8	IEEE Transactions on Communications<--Clock Synchronization Through Discrete Control Correction
812CF37C	Information not present<--The Einstein-Maxwell-Particle System in the York Canonical Basis of ADM Tetrad Gravity: II) The Weak Field Approximation in the 3-Orthogonal Gauges and Hamiltonian Post-Minkowskian Gravity: the N-Body Problem and Gravitational Waves with Asymptotic Background.
59D7F829	International Solid-State Circuits Conference<--A codec LSI for HDTV signals
5870B685	Information not present<--Probabilistic internal clock synchronization
79A651D7	IEEE Transactions on Nuclear Science<--Low Jitter, High Speed Clock Synchronizer for Nuclear Instrumentation
7C489DC9	Information not present<--Operational transformation algorithm with conflict detection and awareness methods for real-time collaborative editing in P2P environments
5B0E344F	Information not present<--Time Synchronization in Wireless Sensor Networks
7DF3135A	Information not present<--The proposed on-chip bus system with GALDS topology
76A1C8BE	IEEE Journal of Solid-state Circuits<--A 28 nm Dual-Port SRAM Macro With Screening Circuitry Against Write-Read Disturb Failure Issues
7571DCC3	Information not present<--Reproducible IEEE 1588-performance tests with emulated environmental influences
7DC456B7	IEEE Transactions on Parallel and Distributed Systems<--Probabilistic clock synchronization in distributed systems
7D05053C	IEEE Transactions on Instrumentation and Measurement<--Wireless LXI Bus Clock Synchronization and Triggering Design
75C14F7A	International Conference on Acoustics, Speech, and Signal Processing<--A Gossiping Approach to Sampling Clock Synchronization in Wireless Acoustic Sensor Networks
5D0A4995	Embedded Systems for Real-Time Multimedia<--Trace-based evaluation of clock synchronization algorithms for wireless loudspeakers
806DD724	Rapid System Prototyping<--Asynchronous Assertion Monitors for multi-Clock Domain System Verification
7CEBAD79	International Symposium on Circuits and Systems<--A distributed FIFO scheme for on chip communication
7FC26239	Embedded Software<--Semantics-preserving implementation of synchronous specifications over dynamic TDMA distributed architectures
81F94FC0	International Parallel and Distributed Processing Symposium<--Switched real-time ethernet with earliest deadline first scheduling protocols and traffic handling
7F01004F	Information not present<--Evaluation of clock synchronization protocols for Wireless Sensor Networks
7D357786	Great Lakes Symposium on VLSI<--A globally asynchronous locally dynamic system for ASICs and SoCs
75335F30	IEEE Transactions on Parallel and Distributed Systems<--Building Ring-Like Overlays on Wireless Ad Hoc and Sensor Networks
798251FA	Symposium on Operating Systems Principles<--Searchlight: helping mobile devices find their neighbors
812B6AA2	Information not present<--Low frequency clock synchronization technique for low signal to noise ratio (SNR) signal recoery from noise environment
6302CC67	Information not present<--Formal development of a clock synchronization circuit
2D23DB35	Information not present<--以彈性quorum機制解決IEEE 802.11無線隨意網路的時間不同步問題
7B30CAFA	Information not present<--A sensor network architecture for military and crisis management
78E845FF	International Conference on Signal and Image Processing Applications<--FPGA-based image combiner for parallel rendering
79D87D07	IEEE Transactions on Very Large Scale Integration Systems<--Designing a SAR-Based All-Digital Delay-Locked Loop With Constant Acquisition Cycles Using a Resettable Delay Line
7B318B93	Information not present<--Analysis and design of networked control loops with synchronization at the actuation instants
5CDA863E	Information not present<--Synchronization in DMT based VDSL modems
7AB6717C	Conference on Computational Complexity<--A Time Synchronization Algorithm in CSCW
80328E41	Information not present<--DLOTOS: a LOTOS extension for clock synchronization in distributed systems
102217DC	International Conference on Informatics in Control, Automation and Robotics<--Clock Synchronization in Industrial Automation Networks - Comparison of Different Syntonization Methods
7F779A73	Information not present<--Temporal imaging system with simple external clock synchronization
7B237606	Distributed Computing<--Gradient clock synchronization
7E6A70F2	IEEE Transactions on Parallel and Distributed Systems<--Multistep interactive convergence: an efficient approach to the fault-tolerant clock synchronization of large multicomputers
75606B93	Optics Communications<--A Kalman filter based synchronization scheme for telescope array receivers in deep-space optical communication links
7FD01FF9	Principles of Distributed Computing<--The load and availability of Byzantine quorum systems
5CEB8838	Information not present<--Understanding Protocols for Byzantine Clock Synchronization
808EE98C	Dependable Systems and Networks<--Node failure detection and membership in CANELy
7B04C16E	Principles of Distributed Computing<--Observable clock synchronization extended abstract
76C53834	IEEE Transactions on Computers<--Exploiting omissive faults in synchronous approximate agreement
7A92DF05	IEEE Transactions on Signal Processing<--Joint Ranging and Synchronization for an Anchorless Network of Mobile Nodes
0BA1680E	Information not present<--A Design of Network Digital Audio Public Address System
03EBF5EB	Forum on specification and Design Languages<--A Functional Programming Framework of Heterogeneous Model of Computation for System Design
7B71C008	Journal of Biological Rhythms<--Rhodopsin 5– and Rhodopsin 6–Mediated Clock Synchronization in Drosophila melanogaster Is Independent of Retinal Phospholipase C-β Signaling
755B2CB9	IEEE Communications Letters<--An Accuracy Enhanced IEEE 1588 Synchronization Protocol for Dynamically Changing and Asymmetric Wireless Links
7DD32E1D	Parallel, Distributed and Network-Based Processing<--A Self-Aware Clock for Pervasive Computing Systems
6123FA4D	Information not present<--The STARE Project: A Search for Transient Astronomical Radio Emission
7A316A5E	Information not present<--Next generation wireless systems using Markov decision process model
5E8F11D4	Information not present<--A simulation-based comparison of IEEE 802.11's timing advertisement and SyncTSF for clock synchronization
7FC01629	Microprocessors and Microsystems<--Testing distributed real-time systems
7ACA1150	Foundations of Physics<--The relativity principle and the nature of time
079F3968	European Conference on Parallel Processing<--On Transmission Scheduling in a Server-Less Video-on-Demand System
75B20EC1	Computer Communications<--Achieve high accuracy of network time with proper parameters
78396180	Operating Systems Review<--Byzantine clock synchronization
616DC3BD	Information not present<--Lorentz transformations: Einstein's derivation simplified
6AABF3FD	IP Operations and Management<--An Enhanced SNTP (ESNTP) Clock Synchronization for High-Precision Network QoS Measurements
75E8AAA7	Journal of Parallel and Distributed Computing<--An algorithm for clock synchronization with the gradient property in sensor networks
7E653DF3	IEEE Transactions on Components, Packaging, and Manufacturing Technology: Part B<--A dynamic clock synchronization technique for large systems
7B7A8A54	Modern Physics Letters A<--HAWKING RADIATION VIA TUNNELING FROM KERR BLACK HOLES
5B8BEFC4	Distributed Multimedia Systems<--Improving Clock Synchronization for MPEG-2 Services over ATMM Networks
78815536	Electronic Notes in Theoretical Computer Science<--Performance Evaluation of Elastic GALS Interfaces and Network Fabric
7D12D10D	Computer Systems: Science & Engineering<--A Multi Way Tree for Token Based Authentication
80A9ABC9	ACM/IEEE International Conference on Mobile Computing and Networking<--UW-FLASHR: achieving high channel utilization in a time-based acoustic mac protocol
7F1F639A	Clinical Orthopaedics and Related Research<--Optimal Gradient Clock Synchronization in Dynamic Networks
7E61957E	Local Computer Networks<--A fine-grain clock synchronization mechanism for Myrinet clusters
80450E03	Information not present<--Chaining Clock Synchronization: An Energy-Efficient Clock Synchronization Scheme for Wireless Sensor Networks
0A281EB7	Information not present<--A New Form of Clock Synchronizer
7693C8C7	Information not present<--Integration aspects of wireless industrial automation
7CFE742C	IEEE Transactions on Instrumentation and Measurement<--RTSP: An Accurate and Energy-Efficient Protocol for Clock Synchronization in WSNs
600E1775	Information not present<--A relativistic analysis of clock synchronization
7A948120	Information not present<--Leap Second support in computers
763F7FC1	Information not present<--Technique for frequency transfer over packet networks
7544D927	ACM/IEEE International Conference on Mobile Computing and Networking<--ACES: adaptive clock estimation and synchronization using Kalman filtering
7FC275BB	Principles of Distributed Computing<--Gradient clock synchronization
7EAB3E5B	International Conference on Computer Communications<--Fundamental Limits on Secure Clock Synchronization and Man-In-The-Middle Detection in Fixed Wireless Networks
7E20FA52	Information not present<--A test of precision GPS clock synchronization
80B63F6C	Conference on Decision and Control<--Secure network-wide clock synchronization in wireless sensor networks
782A7730	Information not present<--ReversePTP: a software defined networking approach to clock synchronization
769302EC	Information not present<--Clock Frequency Offset Correction through Computationally Simple Algorithms
61CD58CD	Information not present<--Precise Time and Time Interval Applications to Electric Power Systems
77143411	Gps Solutions<--Single epoch estimation of the Galileo integrity chain sensor station clock offsets
7EBFDCF4	Information not present<--Measurement of characteristics of voice over IP in a wireless LAN environment
811F7E16	Workshop on Intelligent Solutions in Embedded Systems<--A Composable Algorithm for Clock Synchronization in Multi-Cluster Real-Time Systems
5A82A5F3	Information not present<--Joint Sequential Target Estimation and Clock Synchronization in Wireless Sensor Networks
5973774F	Information not present<--Stability analysis of distributed clock synchronization in the time-triggered architecture
7B34D8AC	Journal of Computer and System Sciences<--On the possibility and impossibility of achieving clock synchronization
33C49936	Information not present<--Design and Implementation of PTP Gateway to Extend IEEE 1588 to Zigbee networks
805658EA	International Conference on Distributed Computing Systems<--Fault-tolerant external clock synchronization
7D68E60D	Information not present<--Current differential relaying coping with communications channel asymmetry
8120569A	Euromicro Conference on Real-Time Systems<--Clock synchronization in virtual rings
77BFDB4E	Information not present<--Resilient distributed parameter estimation in heterogeneous time-varying networks
7CA80F1C	Emerging Technologies and Factory Automation<--The Distributed Deadline Synchronization Protocol for real-time systems scheduled by EDF
7609A5E3	Information not present<--IEEE 1588 clock synchronization over IEEE 802.3/10 GBit ethernet
7FDA03D9	IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control<--Time synchronization using the Internet
7DC91F93	Information not present<--Research on Distributed Time Synchronization in Expressway Toll System
7D58ED2C	Applied Mechanics and Materials<--A Design for Clock Synchronization Using CPPLL
02C728FF	Chinese Physics<--A scheme for implementing quantum clock synchronization algorithm in cavity QED
59D231B1	Information not present<--Nonlinear quantum metrology
5A1E5315	Information not present<--From time-triggered to time-deterministic real-time systems
7D9A806B	International Conference on Information and Communication Security<--Precise clock distribution in beacon enabled, meshed IEEE 802.15.4/ZigBee networks
58D62BE9	Information not present<--Gauge-invariant registration in networks
7461DADE	Emerging Technologies and Factory Automation<--Priority inversion in dynamic priority driven scheduling algorithms due to imperfect clock synchronization
08A2816C	Information not present<--Verification of Fault Tolerance by Means of Fault Injection into VHDL Simulation Models
76A41C53	Optics Express<--Ultra fast quantum key distribution over a 97 km installed telecom fiber with wavelength division multiplexing clock synchronization
7819E481	Information not present<--An overview of clock synchronization
0A8EFF33	Information not present<--The tone generator and phase calibration in VLBI measurements
80776CFA	ACS/IEEE International Conference on Computer Systems and Applications<--Estimation of clock parameters and performance benchmarks for synchronization in Wireless Sensor Networks
7BF48E41	Information not present<--Energy harvesting from electromagnetic energy radiating from AC power lines
7248FC3F	International Performance, Computing, and Communications Conference<--Universal self-stabilizing phase clock protocol with bounded memory
5B5CFA77	International Conference on Distributed Computing Systems<--Fault-tolerant clock synchronization of large multicomputers via multistep interactive convergence
75A3847A	Information not present<--Cooperative Analog and Digital (CANDI) Time Synchronization for large two-dimension multihop networks
78B00549	Physics Essays<--Inertial systems and the transformations of space and time.
7F8B87BB	International Conference on Computer Communications and Networks<--A low complexity impulse radio based UWB transceiver model for automated arrhythmia analysis
7884DF7E	Seminars in Cell & Developmental Biology<--Chromatin, photoperiod and the Arabidopsis circadian clock: A question of time
7D7B4314	IEEE Transactions on Communications<--Linear Phase-Locked Loop Theory for Cyclostationary Input Disturbances
7CFC8E1F	Computer Software and Applications Conference<--Prevention of Sequential Message Loss in CAN Systems
817AA58A	Journal of Guidance Control and Dynamics<--Fault-tolerant clock synchronization validation methodology
85660CE9	Information not present<--Security Weaknesses of Li’s Remote User Password Authentication Scheme Using Smart Card
7CD9375E	Journal of Systems Architecture<--Reducing message-length variations in resource-constrained embedded systems implemented using the Controller Area Network (CAN) protocol
79636BDE	Operating Systems Review<--Searchlight: helping mobile devices find their neighbors
79D1BB9D	Procedia Engineering<--Implementing for Networked Motion Control System with Large-Capacity Data Acquisition
60B9ECB1	Information not present<--A brief and transparent derivation of the Lorentz-Einstein transformations via thought experiments
7FD2FE79	Sigmetrics Performance Evaluation Review<--Self-synchronizing properties of CSMA wireless multi-hop networks
7E9FA222	IEEE Journal of Solid-state Circuits<--A semidigital dual delay-locked loop
776C2DB2	Physics Letters B<--New coordinates for Kerr–Newman black hole radiation
5FFA598A	Information not present<--Noninertial coordinate time: A new concept affecting time standards, time transfers, and clock synchronization
8077C016	Information not present<--A new design for precision clock synchronization based on FPGA
62FC271F	Information not present<--Precise time dissemination and applications development on the Bonneville Power Administration system
7F025C0B	Information not present<--Joint Timing, Carrier Frequency and Sampling Clock Offset Estimation for MIMO OFDM WLAN Systems
75F1DFAA	Computer Systems and Technologies<--Fault tolerance of clock synchronization algorithms
7F8AC186	Information not present<--Joint ranging and clock synchronization for a wireless network
75AE58F7	Physical Review Letters<--RELATIVISTIC CORRECTIONS FOR TERRESTRIAL CLOCK SYNCHRONIZATION
7FE9D0D8	IEEE Communications Letters<--Fingerprinting Smartphones Remotely via ICMP Timestamps
7EC4C8B3	Canadian Conference on Electrical and Computer Engineering<--A voltage-variable time delay element for clock waveforms
7B3A333B	Physical Review D<--Clock synchronization in a rotating frame
8078296E	Information not present<--Fault-tolerant clock synchronization for distributed systems with high message delay variation
7DC6377C	Journal of the ACM<--Fault-tolerant algorithms for tick-generation in asynchronous logic: Robust pulse generation
7D257E34	International Conference on Robotics and Automation<--TICSync: Knowing when things happened
77BD6BB1	International Conference on Embedded Networked Sensor Systems<--Low-power clock synchronization using electromagnetic energy radiating from AC power lines
810DB0D4	International Conference on Embedded Networked Sensor Systems<--BeepBeep: a high accuracy acoustic ranging system using COTS mobile devices
7BA76439	Information not present<--A New Synchronization Method Based on SDI with Variable-Length Frame
05033935	Information not present<--Demonstration of intercontinental DSN clock synchronization by VLBI
5CC46F94	International Conference on Distributed Computing Systems<--On replay detection in distributed systems
7649BD26	Radio Science<--Worldwide monitoring of VLF‐LF propagation and atmospheric noise
81C84395	IEEE Transactions on Instrumentation and Measurement<--One-Way Delay Measurement: State of the Art
8033C22D	Information not present<--Checkpoint processing in distributed systems software using synchronized clocks
7A9DBFDF	Adaptive Agents and Multi-Agents Systems<--Distributed sensor network for real time tracking
7DD1F597	Symposium on Reliable Distributed Systems<--A fault-tolerant protocol for atomic broadcast
7734906B	Journal of Communications Technology and Electronics<--Phase and clock synchronization of the Viterbi demodulator of continuous-phase modulation signals
07CF56C6	Information not present<--DSN Station Clock Synchronization by Maximum Likelihood VLBI
5FB659DB	Information not present<--6.852J / 18.437J Distributed Algorithms, Fall 2001
7F677670	Computer and Information Technology<--Clock Synchronization Integrated with Traffic Smoothing Technique for Distributed Hard Real-Time Systems
0160EE04	Information not present<--An Annotated Bibliography on Clock Synchronization in Distributed Systems
7F5A576B	Information not present<--Sub-nanosecond digital phase shifter for clock synchronization applications
796CEBE5	IEEE Design & Test of Computers<--A Survey and Taxonomy of GALS Design Styles
7D1A5FCD	IEEE Transactions on Instrumentation and Measurement<--Comparison of a ground and a satellite clock by three-way microwave time transfer
7928887C	Field Programmable Gate Arrays<--A cycle-accurate, cycle-reproducible multi-FPGA system for accelerating multi-core processor simulation
80ECD0B2	IEEE Transactions on Mobile Computing<--Lightning: A Hard Real-Time, Fast, and Lightweight Low-End Wireless Sensor Election Protocol for Acoustic Event Localization
7CFD2BA2	IEEE Journal on Selected Areas in Communications<--Secure and resilient clock synchronization in wireless sensor networks
78E7492C	IEEE Spectrum<--Time synchronization from Loran-C
77280CEB	Foundations of Physics Letters<--Note on clock synchronization and Edwards transformations
77684476	IEEE Signal Processing Magazine<--Clock Synchronization of Wireless Sensor Networks
80734297	IEEE Photonics Technology Letters<--Harmonic synchronization of Fourier-synthesized optical pulses to an external optical clock
809D3186	Conference on Decision and Control<--On the security of linear consensus networks
5A5918FF	Vehicular Technology Conference<--Mutual clock synchronization in global digital communication networks
086B37AA	Information not present<--Star-based interconnection networks and fault-tolerant clock synchronization for large multicomputer
09AE20D1	Information not present<--Improvement of Time Synchronization over Space Wire Link
5E0DB4A0	International Solid-State Circuits Conference<--A 2.6 GB/s multi-purpose chip-to-chip interface
7D178B4E	Information and Communication Technologies and Development<--Research on Clock Synchronization of Wireless Distributed Measurement System
7196D06D	Real Time Technology and Applications Symposium<--Timing constraint remapping to avoid time discontinuities in distributed real-time systems
7EE61857	Information not present<--A New Sampling Clock Synchronization Method in OFDM System
7F8BDDEF	Real-Time Systems Symposium<--Measuring distributed durations with stable errors
81A69B40	IEEE Transactions on Nuclear Science<--Multifunction-Timing Card lTTEV2 for CoDaC Systems of Wendelstein 7-X
780CB5E8	Distributed Computing<--Booting clock synchronization in partially synchronous systems with hybrid process and link failures
7F95EB0E	Conference on Communication Networks and Services Research<--Performance of a Frequency-Hopped Real-Time Remote Control System in a Multiple Access Scenario
5C266DFB	Information not present<--Self-stabilization of byzantine protocols
593F77B6	Parallel and Distributed Computing: Applications and Technologies<--Measuring one-way delay with multiple clock dynamics
7E3F652F	IEEE Journal of Quantum Electronics<--Optical tank circuits used for all-optical timing recovery
7D4D19E7	Information not present<--Clock synchronization using maximal margin estimation
74F747D8	Information not present<--Local power flow based decentralized TCSC controller
5DAD5940	Real-time Systems<--GPS-based Clock Synchronization in a Mobile, Distributed Real-Time System
62850E24	Information not present<--Is Detection of Fitzgerald-Lorentz Contraction Possible?
7E129386	Symposium on Reliable Distributed Systems<--A synchronization strategy for a time-triggered multicluster real-time system
7798E5CF	IEEE Transactions on Information Theory<--A Factor Graph Approach to Clock Offset Estimation in Wireless Sensor Networks
77D1437D	Mobile Ad Hoc Networking and Computing<--On the scalability of IEEE 802.11 ad hoc networks
5F14F2CA	Real Time Technology and Applications Symposium<--Ultrasonic time synchronization and ranging on smartphones
