7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
7E53B329	IEEE Transactions on Signal Processing<---A posteriori quantization of progressive matching pursuit streams
7AF95575	International Conference on Multimedia and Expo<---An Effective Global RD Formulation Based Mode Selection Algorithm for Wireless H.264 Communications
7E88CEF7	International Conference on Image Processing<---Rate-distortion optimal contour prediction for a region-based coder
7EEF47EB	International Conference on Multimedia and Expo<---A fast H.264-based picture-in-picture (PIP) transcoder
766D304B	Information not present<---Fast inter-frames pattern chosen algorithm based on H.264
83FFE8A0	Scientific Programming<---H.264/AVC 고속 매크로블록 모드 결정 알고리즘
812557F9	IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing<---MMSE design of modulated and tree-structured filter banks for efficient tradeoffs between rate, distortion, and decoder complexity
7F724870	Information not present<---Entropy coding of composite sources modeled by infinite Gaussian mixture distributions
7517C1BC	International Conference on Image Processing<---Multi-Streaming of Visual Scenes with Scalable Partial Reliability
606E84DA	International Symposium on Circuits and Systems<---JPEG-compliant image coding with adaptive pre-/post-filtering
7F2E09CB	Designs, Codes and Cryptography<---Deadzone Based Rate Allocation for JPEG XR
811C1AD7	International Symposium on Circuits and Systems<---A simplified algorithm of JPEG2000 rate control for VLSI implementation
7F8D4A0C	Networked Computing and Advanced Information Management<---Rate-Distortion Curve Evaluation for Cross-Layer Optimization in Multimedia Transmission
766A14C0	Signal Processing-image Communication<---Fast sum of absolute transformed difference based 4×4 intra-mode decision of H.264/AVC video coding standard
776C571A	Journal of Visual Communication and Image Representation<---Rate-distortion optimized rate-allocation for motion-compensated predictive video codecs using PixelRank
7CC3B2C0	EURASIP Journal on Advances in Signal Processing<---Rate-distortion optimization for stereoscopic video streaming with unequal error protection
77E25A18	Journal of Network and Computer Applications<---H.264/AVC standard: A proposal for selective intra- and optimized inter-prediction
77F34C6C	Journal of Visual Communication and Image Representation<---MPEG-2 stereoscopic video coding technique using adaptive bandwidth control
7FF05A76	Conference on Multimedia Modeling<---Efficient mode selection with BMA based pre-processing algorithms for H.264/AVC fast intra mode decision
5A66D403	Information not present<---P2P video broadcast with latency and utility optimization
8077BECC	International Symposium on Circuits and Systems<---Efficient MPEG-2 to H.264/AVC intra transcoding in transform-domain
7B3A9ED6	Visual Communications and Image Processing<---A fast intra optimization algorithm for HEVC
81245FCA	International Symposium on Circuits and Systems<---A model-based rate allocation mechanism for wavelet-based embedded image and video coding
81647FF6	Multimedia Signal Processing<---A significant motion vector protection-based error-resilient scheme in H.264
7EDC9157	IEEE Transactions on Multimedia<---Efficient and Rate-Distortion Optimal Wavelet Packet Basis Selection in JPEG2000
7A071EED	Proceedings of SPIE<---Compressive sensing in block based image/video coding
7C39BBFA	Designs, Codes and Cryptography<---Interference Multispectral Image Compression with Adaptive Distortion Control in Fourier Domain
593CF03E	Visual Communications and Image Processing<---Fast H.264 mode selection using depth information for distributed game viewing
7E18A032	Multimedia Signal Processing<---Sender-based rate-distortion optimized streaming of 3-D wavelet video with low latency
7FEC0F94	International Conference on Image Processing<---Video coding for wireless varying bit-rate communications based on area of interest and region representation
75CFCE28	Visual Communications and Image Processing<---A motion compensation technique using sliced blocks and its application to hybrid video coding
7D14FB94	International Conference on Acoustics, Speech, and Signal Processing<---Constructing Dependency Trees for Rate-Distortion Optimized Media Streaming
7FC42BEF	Designs, Codes and Cryptography<---Rate-distortion optimized slicing, packetization and coding for error resilient video transmission
80F6AB0D	Designs, Codes and Cryptography<---Can Lower Resolution Be Better?
76E31B39	IEEE Transactions on Image Processing<---Robust Rate-Control for Wavelet-Based Image Coding via Conditional Probability Models
7BF4135E	Information not present<---JPEG2000: Quality Scalability and Windows of Interest Transmission
7975585E	Signal Processing-image Communication<---Optimal intra coding of blocks for robust video communication over the Internet
7C500EB4	International Symposium on Circuits and Systems<---Rate-Distortion Optimization for depth map coding with distortion estimation of synthesized view
7F7CB52C	IEEE Transactions on Circuits and Systems for Video Technology<---Soft Decision Quantization for H.264 With Main Profile Compatibility
7681C6D9	International Conference on Multimedia and Expo<---Motion Based Perceptual Distortion and Rate Optimization for Video Coding
0B673533	Information not present<---Rate-Distortion Optimization for JVT/H.26L Video Coding in Packet Loss Environment
7E20717F	Advanced Information Networking and Applications<---Fast mode decision for H.264/AVC based on macroblock correlation
80BEF599	Multimedia Signal Processing<---Rate-distortion optimized video streaming using conditional packet delay distributions
753E7C9F	Information not present<---Rate-distortion optimal mesh simplification for communications
7B098CC1	Journal of Visual Communication and Image Representation<---A rate-distortion analysis on motion prediction efficiency and mode decision for scalable wavelet video coding
75AE7E67	Advanced Materials Research<---AVS Quick Mode Selection Algorithm Based on Adaptive Threshold
774CEFC1	International Conference on Acoustics, Speech, and Signal Processing<---Adaptive Interpolation Filter with Flexible Symmetry for Coding High Resolution High Quality Video
7B048731	Data Compression Conference<---A Method for Fast Rough Mode Decision in HEVC
7EDEC2C2	IEEE Transactions on Circuits and Systems for Video Technology<---Energy Minimization of Portable Video Communication Devices Based on Power-Rate-Distortion Optimization
7B83749E	International Conference on Multimedia and Expo<---Shaping for video with frame dependency
5A1D5D1E	International Symposium on Circuits and Systems<---Rate control for advance video coding (AVC) standard
5A73A336	International Symposium on Circuits and Systems<---3-D subband video coding technique using adaptive wavelet packet bases
7E1C4966	IEEE Transactions on Circuits and Systems for Video Technology<---Geometric-structure-based error concealment with novel applications in block-based low-bit-rate coding
810CC7B4	International Conference on Multimedia and Expo<---Fast mode decision for H.264
78552F04	Information not present<---A hardware-friendly method for rate-distortion optimization of HEVC intra coding
8095AF37	International Symposium on Multimedia<---Rate-Distortion Optimized SVC Bitstream Extraction for Heterogeneous Devices: A Preliminary Investigation
81144284	International Conference on Communications<---Rate distortion optimized joint ARQ-FEC scheme for real-time wireless multimedia
7F35BBF6	IEEE Transactions on Circuits and Systems for Video Technology<---Perceptual Rate-Distortion Optimization Using Structural Similarity Index as Quality Metric
79876BB9	Journal of Visual Communication and Image Representation<---Encoding DCT Coefficients Based on Rate–Distortion Measurement
7CECFF59	International Conference on Image Processing<---Depth map distortion analysis for view rendering and depth coding
5E444A27	International Workshop on Quality of Service<---Calculation of Speech Quality by Aggregating the Impacts of Individual Frame Losses
7D653137	Workshop on Applications of Signal Processing to Audio and Acoustics<---Low complexity rate-distortion optimized time-segmentation for audio coding
7E109276	International Conference on Multimedia and Expo<---Adaptive multiple description video streaming over multiple channels with active probing
78B71541	Science in China Series F: Information Sciences<---A wavelet packet based block-partitioning image coding algorithm with rate-distortion optimization
80407F44	International Conference on Image Processing<---Perceptually-friendly H.264/AVC video coding
7645D54A	IEEE Transactions on Circuits and Systems for Video Technology<---On Rate Distortion Optimization Using SSIM
7E908624	International Conference on Computer Communications and Networks<---Channel-Adaptive Multiple Description Coding for Wireless Video Streaming
7F7A2FBB	Information not present<---Detection from hyperspectral images compressed using rate distortion and optimization techniques under JPEG2000 part 2
7C294BA6	Information not present<---Rate distortion optimized slicing over bit error channels
7FC9257F	IEEE Transactions on Circuits and Systems for Video Technology<---A Two-Level Classification-Based Approach to Inter Mode Decision in H.264/AVC
7687FE2D	Visual Communications and Image Processing<---High-definition video coding with super-macroblocks
5E45DF8F	Advances in Multimedia<---Efficient intra prediction mode decision for h.264 video
7A2685FC	Picture Coding Symposium<---Fast inter-mode decision in multi-view video plus depth coding
7C77DC9D	Information not present<---Lossy coding improvement of EBCOT design for onboard JPEG2000 image compression
6D9430DC	Pacific Rim Conference on Multimedia<---A New Error Resilient Coding Scheme for H.263 Video Transmission
7D160287	IEEE Transactions on Broadcasting<---Rate-distortion optimized unequal loss protection for FGS compressed video
7FDC719D	International Symposium on Circuits and Systems<---Complexity-constrained rate-distortion optimization for h.264/avc video coding
7E85DE5B	Information not present<---Improved H.264/AVC Requantization Transcoding using Low-Complexity Interpolation Filters for 1/4-Pixel Motion Compensation
5AB7E9EF	International Conference on Image Processing<---Efficient coding mode decision in MPEG-4 part-10 AVC/H.264 main profile
76743B11	Information not present<---A fast luminance intra 4×4 prediction mode decision method by statistical analysis of residual data in H.264/AVC
835F10E8	International Conference on Image Analysis and Recognition<---Fast and efficient basis selection methods for embedded wavelet packet image coding
780E9EBB	Journal of Visual Communication and Image Representation<---SNR and temporal scalable coding of 3-D mesh sequences using singular value decomposition
80B73289	IEEE Transactions on Image Processing<---A Stochastic Framework for Rate-Distortion Optimized Video Coding Over Error-Prone Networks
7C0A12EA	Picture Coding Symposium<---Compression of 2D and 3D navigation video sequences using skip mode masking of static areas
797EB81E	Information not present<---Dependent Quantization for Scalable Video Coding
5894E269	Information not present<---Rate-distortion optimized bit allocation for wireless video coding
7999991B	Journal of Visual Communication and Image Representation<---Inpainting with image patches for compression
71D796CB	International Conference on Image Processing<---Rate-distorsion efficiency of zerotree coders
58AFA38A	Information not present<---Cost-based region growing for fractal image compression
7E36E167	Information not present<---Homogeneity and distortion-based intra mode decision architecture for H.264/AVC
764FE2B2	Information not present<---Structural similarity optimal MB layer rate control for H.264
773F1213	Visual Communications and Image Processing<---Rate-distortion optimized video streaming with rich acknowledgments
79ADCA91	International Conference on Mobile Multimedia Communications<---UWB interference mitigation technique on UMTS terminal in non-cooperative scenario
77BB76F5	Computer Standards & Interfaces<---Rate-distortion optimal motion estimation algorithms for motion-compensated transform video coding
787A4A9E	Journal of Electronic Imaging<---Robust digital video watermarking scheme for H.264 advanced video coding standard
7D655378	Designs, Codes and Cryptography<---Drift Characterization of Intra Prediction and Quantization in H.264
7DCC2CA9	Information not present<---Complexity reduction for SOPC-based H.264/AVC coder via sum of absolute difference
80F04A48	International Conference on Image Processing<---Low-latency video transmission over lossy packet networks using rate-distortion optimized reference picture selection
7FF6452B	International Conference on Acoustics, Speech, and Signal Processing<---Embedded image compression using a classified multistage VQ in wavelet domain
808A4297	IEEE Journal on Selected Areas in Communications<---Optimal mode selection and synchronization for robust video communications over error-prone networks
80B62AC5	Picture Coding Symposium<---Low complexity algorithm for Spatially Varying Transforms
7D92E052	International Conference on Image Processing<---Rate-distortion optimized multipass video encoding with application to MPEG-4
652814BE	International Conference on Acoustics, Speech, and Signal Processing<---Sliding-window packetization for forward error correction based multiple description transcoding
5ADBF9DA	International Conference on Image Processing<---Rate-distortion optimal joint macroblock mode selection and motion estimation for MPEG-like video coders
806C173D	International Conference on Multimedia and Expo<---SHBS: A heuristic for fast inter mode decision of H.264/AVC standard targeting VLSI design
7535E2D4	Visual Communications and Image Processing<---A new convex optimization-based two-pass rate control method for object coding in AVS
7BD5936D	Computer Vision and Image Understanding<---JPEG2000 ROI coding through component priority for digital mammography
80F01DE4	IEEE Transactions on Circuits and Systems for Video Technology<---Quadtree structured region-wise motion compensation for video compression
76049B82	Information not present<---Fast intra-mode decision using inter-frame correlation for H.264/AVC
7E41E511	IEEE Transactions on Circuits and Systems for Video Technology<---Modified Steepest-Descent for Bit Allocation in Strongly Dependent Video Coding
7939E575	Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology<---Network-Adaptive Video Communication Using Packet Path Diversity and Rate-Distortion Optimized Reference Picture Selection
7C794C4D	Picture Coding Symposium<---A flexible and high-performance hardware video encoder architecture
5AA247AA	Information not present<---Layered scalable and low complexity video encoding: New approaches and theoretic analysis
121759BA	Ieice Transactions<---Rate Distortion Optimized Coding Mode Selection for H.264/AVC in Wireless Environments(Multimedia Systems)
5F90D98A	Information not present<---Rate-Distortion Optimal Time-Frequency Decompositions for MDCT-based Audio Coding
7E205819	IEEE Transactions on Consumer Electronics<---Cascaded mode decision for MPEG-2 to H.264/AVC intra frame transcoding
78971355	Information not present<---A novel fast inter-prediction mode decision for H.264/AVC
7997D7FC	Information not present<---Wavelet-based contourlet packet coding using an EBCOT-like algorithm
7D2BD419	International Conference on Image Processing<---A motion compensation technique using sliced blocks in hybrid video coding
7E4D2D75	Workshop on Image Analysis for Multimedia Interactive Services<---Improved B-slices DIRECT mode coding using motion side information
81493848	International Symposium on Circuits and Systems<---Viewpoint switching in multiview video streaming
7D8084CF	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-distortion optimized mode selection for very low bit rate video coding and the emerging H.263 standard
7B654F50	Information not present<---Rate-Distortion Optimized Vector Spiht Forwavelet Image Coding
75419CC0	International Conference on Image Processing<---Robust H.263 video communication over mobile channels
59713068	International Conference on Image Processing<---Efficient intra refreshment and synchronization algorithms for robust transmission of video over wireless networks
801106E7	IEEE Transactions on Image Processing<---JBEAM: multiscale curve coding via beamlets
808AD5F4	IEEE Transactions on Circuits and Systems for Video Technology<---Error Resilient Coding and Error Concealment in Scalable Video Coding
765ABAC7	Visual Communications and Image Processing<---A study on rate distortion optimization scheme for JVT coder
80E4175E	International Conference on Multimedia and Expo<---A Simple and Robust Direction Detection Algorithm for Fast H.264 Intra Prediction
769D4085	International Conference on Multimedia and Expo<---Fast skip mode decision with rate-distortion optimization for High Efficiency Video Coding
7B312819	International Conference on Image Processing<---Rate-Distortion Optimal Video Transport Over IP with Bit Errors
59C66E25	International Conference on Computational Science and Its Applications<---Reduction of Mode Decision Complexity in H.264/AVC Using Adaptive Selection of Reference Frame and Intra Prediction Mode
72A84C29	International Symposium on Circuits and Systems<---Rate-distortion optimization of macroblock-based progressive fine granularity scalable video codec
7A5E89C4	Designs, Codes and Cryptography<---Macroblock-Level Rate-Distortion Optimization with Perceptual Adjustment for Video Coding
7E12D07F	IEEE\/ACM Transactions on Networking<---RaDiO edge: rate-distortion optimized proxy-driven streaming from the network edge
79602437	Information not present<---Rainbow Network Flow with Network Coding
800E6FE1	Signal Processing-image Communication<---Algorithm analysis and architecture design for rate distortion optimized mode decision in high definition AVS video encoder
76F83BC3	Journal of Zhejiang University Science<---Rate-distortion optimized frame dropping and scheduling for multi-user conversational and streaming video
78DD6FC5	Information not present<---Algorithm-level Optimization for Real-time H.264/AVC Encoder
7796C175	IEEE Signal Processing Letters<---Fast Distortion Measurement Using Chord-Length Parameterization Within the Vertex-Based Rate-Distortion Optimal Shape Coding Framework
76FA6E0B	Information not present<---A fuzzy logic based fast inter mode selection algorithm in H.264/AVC
768ADD52	IEEE Transactions on Image Processing<---Compress Compound Images in H.264/MPGE-4 AVC by Exploiting Spatial Correlation
7D9C22BB	Information not present<---Fast mode decision for H.264 based on correlation between macroblocks
7DC9F8F0	Information not present<---A Novel Fast Inter-mode Decision Algorithm for H.264/AVC Based on Motion Estimation Residual
7E9DD29A	Information not present<---Proxy-based transmission strategies for wireless video streaming
7DAB4134	Designs, Codes and Cryptography<---MSE optimal bit rate allocation in the application of JPEG2000 part 2 to meteorological data
7F177822	IEEE Transactions on Circuits and Systems for Video Technology<---Layered video transmission over wireless multirate DS-CDMA links
7BFE518A	Multimedia Signal Processing<---Rate-Distortion Optimization for Internet Video Summarization and Transmission
803C950B	Computer and Information Technology<---Efficient Fast Intra Mode Decision and Classified Block Type Algorithms for H.264/AVC Encoder
7762E558	International Conference on Communications<---Fast Mode Decision for H.264/AVG using Mode and RD Cost Prediction
7D112DEF	Visual Communications and Image Processing<---Rate control for scalable video model
7BA44C5F	Information not present<---Rate control scheme for H.264/AVC video encoding
76EC9F91	Information not present<---Compression of concentric mosaic scenery with alignment and 3D wavelet transform
78F07A6F	International Conference on Image Processing<---Complexity modeling of spatial and temporal compensations in H.264/AVC decoding
79387A35	The Journal of Supercomputing<---Enabling adaptive live streaming in P2P multipath networks
7BEEB865	Information not present<---A fast mode selection scheme in inter-layer prediction of H.264 Scalable Extension coding
790AD103	Signal, Image and Video Processing<---Fast mode decision algorithm for intra prediction in H.264/AVC with integer transform and adaptive threshold
7B87A7EE	Journal of Signal Processing Systems<---Server-Aided Adaptive Live Video Streaming Over P2P Networks
7E8F06C1	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-Distortion Optimized Joint Source/Channel Coding of WWAN Multicast Video for a Cooperative Peer-to-Peer Collective
0A95DB13	International Conference on Signal Processing and Multimedia Applications<---Efficient Motion Compensation Architecture with Rate-Distortion Optimization for H.264/AVC
6222B296	Information not present<---An architecture for rate-distortion optimized motion estimation
7DDF5EAE	IEEE Transactions on Circuits and Systems for Video Technology<---On Lagrange multiplier and quantizer adjustment for H.264 frame-layer video rate control
7D09F187	International Symposium on Circuits and Systems<---An adaptive down-sampling based video coding with hybrid super-resolution method
7E4B68E6	International Conference on Multimedia and Expo<---Receiver-based rate-distortion optimized interactive streaming for scalable bitstreams of light fields
7FDADB2D	IEEE Transactions on Circuits and Systems for Video Technology<---Rate control in DCT video coding for low-delay communications
7FD91636	Multimedia Signal Processing<---Channel-adaptive video streaming using packet path diversity and rate-distortion optimized reference picture selection
7E5D5C0B	IEEE Transactions on Audio, Speech, and Language Processing<---Rate-distortion optimal time-segmentation and redundancy selection for VoIP
7A789D2D	International Conference on Model Transformation<---An improved video coding scheme for depth map sequences based on compressed sensing
7E5C1640	IEEE Transactions on Signal Processing<---Adaptive Mode- and Diversity-Control for Video Transmission on MIMO Wireless Channels
7ADFE8CD	Information Theory and Applications<---Quantization using compressive sensing
7ED577BB	Asia Pacific Conference on Circuits and Systems<---A block type decision algorithm for H.264/AVC intra prediction based on entropy feature
7F3D9A4E	Designs, Codes and Cryptography<---Rate-distortion based temporal filtering for video compression
7DEA3F33	Signal Processing Systems<---SAR Image Compression Using Wavelet Packets
7FA170FD	IEEE Transactions on Multimedia<---Error control for receiver-driven layered multicast of audio and video
7DD68F7D	Information not present<---Spatial-temporal correlation based mode decision algorithm for H.264/AVC
7E6B6DF1	Journal of Visual Communication and Image Representation<---A joint source and channel coding algorithm for error-resilient SPIHT-coded video bitstreams
7FB3E652	Information not present<---A fast Intra prediction mode decision algorithm for H.264/AVC
7E87E7E0	International Conference on Communications<---Packet scheduling for multiple description video streaming in multipoint-to-point networks
7C479A2D	International Conference on Image Processing<---SSIM-inspired divisive normalization for perceptual video coding
78CD2B25	The Journal of China Universities of Posts and Telecommunications<---Key-frame reference selection for non-feedback video communication
7BE6FC3E	Multimedia Tools and Applications<---A fast and low complexity approach for H.264/AVC intra mode decision
7D212D35	International Conference on Image Processing<---Analysis of the Decoding-Complexity of Compressed Image-Based Scene Representations
7E05C71A	IEEE Transactions on Circuits and Systems for Video Technology<---Fast H.264/MPEG-4 AVC Transcoding Using Power-Spectrum Based Rate-Distortion Optimization
798E0704	IEEE Transactions on Multimedia<---Efficient Algorithms for Optimal Uneven Protection of Single and Multiple Scalable Code Streams Against Packet Erasures
810716BF	Information not present<---Bandwidth-constrained motion estimation for real-time mobile video application
79CD0167	Information not present<---A novel rate-control scheme for H.264 video coding using adaptive quantization parameter
76783007	Information not present<---Multiple description video coding based on Lagrangian rate allocation and JPEG2000
7F01106D	IEEE Transactions on Circuits and Systems for Video Technology<---Performance Analysis of SVC
762FC860	IEEE Transactions on Image Processing<---Informative State-Based Video Communication
81538A7C	IEEE Transactions on Circuits and Systems for Video Technology<---Scalable rate control for MPEG-4 video
7C62A31E	Picture Coding Symposium<---Adaptive loop filter with temporal prediction
7D9FF899	IEEE Transactions on Circuits and Systems for Video Technology<---Feedback and error protection strategies for wireless progressive video transmission
80AF946C	Information not present<---A scalable encryption scheme for CCSDS image data compression standard
7E05A530	International Conference on Image Processing<---Joint server/peer receiver-driven rate-distortion optimized video streaming using asynchronous clocks
8123EE44	IEEE Transactions on Multimedia<---Rate-distortion optimized streaming of packetized media
778DEACE	Signal Processing-image Communication<---Motion and texture rate-allocation for prediction-based scalable motion-vector coding
80BB87B8	Information Systems Management<---DCT-Based Image Codec Embedded Cubic Spline Interpolation with Optimal Quantization
7FD3BF6B	International Conference on Image Processing<---Low complexity algorithm for inter-layer residual prediction of H.264/SVC
7EDCB5DA	Designs, Codes and Cryptography<---A Novel Partial Prediction Algorithm for Fast 4x4 Intra Prediction Mode Decision in H.264/AVC
7BD9CC25	ACM Transactions on Multimedia Computing, Communications, and Applications<---Rate-distortion optimized streaming of fine-grained scalable video sequences
24B10BCC	Displays<---Simplified algorithms for rate-distortion optimization in high efficiency video coding
7E8EE428	Multimedia Signal Processing<---Rate-distortion optimized client side rate control for adaptive media streaming
7C1C47BC	Picture Coding Symposium<---An improved R-D optimized motion estimation method for video coding
7B1DA31A	Wuhan University Journal of Natural Sciences<---An Improved Rate Control Method Based on Modification at Scene Change for H.264
8086102D	International Conference on Image Processing<---Enhanced Quality Scalability for JPEG2000 Code-Streams by the Characterization of the Rate-Distortion Slope
7675DF57	Information Systems Management<---Quality Improvement of Video Codec by Rate-Distortion Optimized Quantization
7B116452	Signal Processing-image Communication<---View synthesis prediction for multiview video coding
79D296E2	The Journal of China Universities of Posts and Telecommunications<---PRE-Processing for Video Coduing with Rate-Distortion Optimization Decision
7EA31C0A	International Conference on Multimedia and Expo<---R-D optimized media streaming enhanced with adaptive media playout
7C41BA36	Visual Communications and Image Processing<---Fractal image coding using rate-distortion optimized matching pursuit
811736F4	IEEE Transactions on Circuits and Systems for Video Technology<---Adaptive Single-Multiple Prediction for H.264/AVC Intra Coding
5ADB6F30	Information Processing and Trusted Computing<---Improvement and Implementation on UMHexagonS Algorithm in H.264 Reference Software
79859101	Chinese Optics Letters<---An improved partial SPIHT with classified weighted rate-distortion optimization for interferential multispectral image compression
7E18343D	Information not present<---An Efficient Region Based Intra Prediction Algorithm for H.264/Advanced Video Coding
7DCE01E1	International Conference on Image Processing<---Rate-constrained motion estimation algorithm for video coding
7CE0F083	Journal of Visual Communication and Image Representation<---H.264/AVC entropy decoder complexity analysis and its applications
7E4FD715	Information not present<---Compression of atomic decompositions using R-D optimum dictionary selection
7534CC54	Visual Communications and Image Processing<---Scalable complexity-distortion model for fast motion estimation
3D6081C1	Information not present<---On the techniques for 3-D geometry representaion and compression
78F36093	IEEE Transactions on Image Processing<---Combined Error Concealment and Error Correction in Rate-Distortion Analysis for Multiple Substream Transmissions
71C29C2E	International Conference on Acoustics, Speech, and Signal Processing<---Universal successive refinement of CELP speech coders
7FDED804	International Conference on Multimedia and Expo<---Error resilient video coding via weighted distortion
7FB94C2E	Designs, Codes and Cryptography<---Rate-Distortion Optimized Adaptive Scanning Order for Bitplane Image Coding Engines
7ADC6B40	Information not present<---Speeding up the optimization of the rate distortion performance in MPEG-2 video coding through quantizer loop parameterization
7CCDFB2E	Information not present<---Performance and complexity analysis of rate-constrained motion estimation in MPEG-4
7D0F00F6	IEEE Transactions on Image Processing<---A Fully Scalable Motion Model for Scalable Video Coding
8152AA42	International Conference on Multimedia and Expo<---Minmax optimal shape coding using skeleton decomposition
810D716A	Pacific Rim Conference on Multimedia<---A Hierarchical Framework for Fast Macroblock Prediction Mode Decision in H.264
76E8BC03	Information not present<---A Fast Motion Estimation Algorithm Based on the Adaptive Reference Frame and the Spatial and Temporal Correlations for H.264
7DF9DF36	International Conference on Image Processing<---Managing privacy data in pervasive camera networks
5EE7F56F	International Conference on Image Processing<---Rate-distortion optimized interactive browsing of JPEG2000 images
7DCEA472	IEEE Transactions on Consumer Electronics<---An adaptive algorithm for fast inter mode decision in the H.264/AVC video coding standard
7F9A56E5	IEEE Transactions on Consumer Electronics<---Enhancement of H.264/AVC for higher coding efficiency using motion estimation between reference frames
09C7AABC	Information not present<---Unbalanced multipled description video coding based on a rate-distortion optimization
80389417	International Symposium on Circuits and Systems<---Dynamic rate control in multipoint video transcoding
80D8FBD0	International Conference on Image Processing<---Rate-distortion optimal joint source/channel coding for robust and efficient low bit rate packet video communications
75B99CD0	Signal Processing-image Communication<---Rate control using linear rate-rho model for H.264
089225F3	Information not present<---A Wavelet Codec Using 3-D ESCOT
7BA6FA78	Information not present<---An improved intra mode decision method for x264 video encoding based on hybrid distortion discriminated criteria
595D067C	Information not present<---LA-RDO based error resilient coding using multi-layer Lagrange multiplier selection in SVC
811183D8	International Conference on Multimedia and Expo<---Improved min-cost flow scheduler for mesh-based P2P streaming system
7CF4C604	International Conference on Image Processing<---Viterbi-like joint optimization of stereo extraction for on-line rate adaptation in scalable multiview video coding
144F1A8E	International Conference on Image Processing<---FAST INTRA MODE DECISION ALGORITHM FOR H.264lAVC VIDEO CODING F. Pon. X. Lin. S Ko/iordja. K. P. Liin. Z. G. Li. D. Wzi. S. Wti Institute for Itifoconim Rcsearch
7FC42A78	International Conference on Image Processing<---Rate-distortion optimized image compression using wedgelets
7E74C8DA	IEEE Transactions on Circuits and Systems for Video Technology<---RD Optimized Bandwidth Efficient Motion Estimation and Its Hardware Design With On-Demand Data Access
7DFA2B1E	Information not present<---Perceptual Video Coding with H.264
6E2EB324	International Symposium on Circuits and Systems<---Region of interest determined by perceptual-quality and rate-distortion optimization in JPEG 2000
80202B55	IEEE Transactions on Circuits and Systems for Video Technology<---Bit-rate control using piecewise approximated rate-distortion characteristics
7B9B13DA	International Conference on Image Processing<---Joint quantizer optimization for scalable coding
8104918E	International Conference on Image Processing<---Complexity-based rate distortion optimization with perceptual tuning for scalable video coding
78CC1755	Signal Processing-image Communication<---An efficient intra-mode selection algorithm for H.264 based on edge classification and rate-distortion estimation
7E71F061	International Conference on Image Processing<---Joint space-frequency segmentation, entropy coding and the compression of ultrasound images
314EC8B7	Information not present<---位元率-失真度最佳化網路影像串流技術─可調變式編碼多點傳播
7968D54A	International Conference on Conceptual Structures<---Fast Intra-Prediction Mode Decision in H.264 Advanced Video Coding
7B011E40	International Conference on Model Transformation<---Algorithm for JPEG2000 rate control based on number of coding passes
21D70499	Information not present<---H.264 High Profileを拡張した量子化/逆量子化方式に関する一検討
7C12EA1E	IEEE Transactions on Circuits and Systems for Video Technology<---Rate Control for H.264 Video With Enhanced Rate and Distortion Models
7637848B	Information not present<---A perceptually reweighted mixed-norm method for sparse approximation of audio signals
80B10C2D	International Conference on Image Processing<---Error resilience video coding in H.264 encoder with potential distortion tracking
7E588277	International Solid-State Circuits Conference<---81MS/s JPEG2000 single-chip encoder with rate-distortion optimization
80EE9E53	IEEE Transactions on Circuits and Systems for Video Technology<---Effective Subblock-Based and Pixel-Based Fast Direction Detections for H.264 Intra Prediction
763805E7	International Conference on Acoustics, Speech, and Signal Processing<---SSIM-based rate-distortion optimization in H.264
7EF01429	IEEE Journal on Selected Areas in Communications<---On rate-constrained distributed estimation in unreliable sensor networks
79D2E431	Information not present<---Scalable video coding using Symmetric Residue Pyramid and rate-distortion optimization
7A98F071	Signal Processing-image Communication<---Unconstrained motion compensated temporal filtering (UMCTF) for efficient and flexible interframe wavelet video coding.
781198F6	Journal of Visual Communication and Image Representation<---FGS enhancement layer truncation with reduced intra-frame quality variation
8044B2DE	Information not present<---Fast macroblock mode decision in H.264
7899D61F	International Symposium on Circuits and Systems<---Efficient macroblock pipeline structure in high definition AVS video encoder VLSI architecture
5EE398B7	International Symposium on Visual Computing<---A Novel Macroblock-Level Rate-Distortion Optimization Scheme for H.264/AVC
7ACDD5E1	Computers & Electrical Engineering<---Adaptive receiver-driven approach in P2P live streaming networks
72ADD475	Information not present<---Multivariable feedforward plus feedback control for adapting MPEG video streams to variable channel bandwidth
7912A5E3	Optical Engineering<---Probable mode prediction for H.264 advanced video coding P slices using removable SKIP mode distortion estimation
7623FFEC	Information not present<---Layer Selection Algorithms of H.264/SVC Streams for Network Congestion Control
7DB2A0F4	IEEE Transactions on Consumer Electronics<---Rate-distortion optimization of H.264/AVC rate control with novel distortion prediction equation
101289A9	Ieice Transactions<---Summarization of 3D Video by Rate-Distortion Trade-off(Image Processing and Video Processing)
7D0962C6	Information not present<---An inter block mode decision method based on gradient and RDO
7F71FB18	Information not present<---Rate-distortion optimized multi-stage rate control algorithm for H.264/AVC video coding
7F9FDE26	IEEE Transactions on Circuits and Systems for Video Technology<---Adaptive Lagrange Multiplier Selection Using Classification-Maximization and Its Application to Chroma QP Offset Decision
7513E9ED	Information not present<---Model-based hierarchical motion compensation technique
