7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
7761D162	IEEE Journal on Emerging and Selected Topics in Circuits and Systems<--Multi-Channel Sparse Data Conversion With a Single Analog-to-Digital Converter
59BCD7CD	International Solid-State Circuits Conference<--A one-chip 2 GHz single superhet receiver for 2 Mb/s FSK radio communication
7584993B	Information not present<--Parallel and pipelined decision-directed phase recovery for 64-QAM in the presence of sinusoidal tones
5D3603EF	Information not present<--EXPERIMENTAL FM MULTIPLEXING TRANSPONDER SYSTEM FOR REMOTE RADIO CONTROL AND TELEMETERING.
755DD567	Proceedings of the IEEE<--Modulation-transfer noise effects among FM and digital signals in memoryless nonlinear devices
7BEBD727	Proceedings of the IEEE<--Spectrum broadening due to frequency instability in a two-way coherent Doppler system
78D69328	Information not present<--QPSK modulation using multi-port device
7602B9EA	Information not present<--Terahertz chirp generation using frequency stitched VCSELs for increased LIDAR resolution
78965136	Information not present<--ICI cancellation using Raised Cosine windowing in OFDM system
7E0B98C8	Information not present<--Research on Single-Stage Flyback Inverter
7E3F79B8	Information Sciences, Signal Processing and their Applications<--A cross-terms geometry based method for components instantaneous frequency estimation using the Cross Wigner-Ville distribution
76039122	International Symposium on Circuits and Systems<--STF behaviour in optimised for ELD cascaded CT Delta-Sigma Modulators
76279EAB	Information not present<--Implementation of collaborative RF localization using a software-defined Radio network
113DEF83	Information not present<--Short Pulse Laser Modulation Techniques.
75CA7BD9	Transactions of The American Institute of Electrical Engineers<--A Medium-Haul Carrier Telephone System
7977A433	IEEE Transactions on Consumer Electronics<--TV Multichannel Sound--Encoding and Transmission
7C9D3295	Information not present<--Cesium Beam Servo System Using Square Wave Frequency Modulation
779CEE34	Information not present<--An innovative design of a tri-segmented parabolic trough solar thermoelectric receiver tube for multi-component energy conversion
80ED7715	IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing<--Automatic calibration of modulated frequency synthesizers
7D6F15E4	Information not present<--A novel FBG laser sensor based on beat frequency modulation technology
7910D363	Information not present<--Improvement of the Performance of FM-CW Radar Systems by using Direct Digital Synthesizers: Comparison with Voltage Controlled Oscillators
5CB7E18F	International Conference on Acoustics, Speech, and Signal Processing<--Instantaneous frequency estimation using level-crossing information
7E79D810	Information not present<--Exploiting polarimetric diversity to mitigate the effect of interferences in FM-based passive radar
7C479417	Information not present<--A reconfigurable multirate single-bit sigma delta modulator for multi-standard wireless radio receivers
754D9005	Information not present<--New Fixed-Off-Time PWM modulator provides constant frequency operation in boost PFC pre-regulators
7B8CD0B7	Cyber-Enabled Distributed Computing and Knowledge Discovery<--Performance Analysis of Beamforming Algorithm for Noise Cancellation with Respect to the Arrival Angles of Interference Signal
7AD55600	Information not present<--Low power area optimized novel architecture for Software Defined Radio in FPGA
80714382	IEEE Transactions on Signal Processing<--Improved polarity coincidence spectral-centroid estimator
73FDB776	Information not present<--Coherence Reduction In Semiconductor Lasers By High Frequency Modulation
7D2DF224	IEEE Transactions on Aerospace and Electronic Systems<--Rapid Evaluation of Airborne Intercept Radar Detection for Swerling I Targets
7CAE7C22	Information not present<--Optimal error for Orthogonal Matching Pursuit for μ-coherent dictionaries
808DDA18	Information not present<--Band-pass ΔΣ D/A converter to up-convert frequency using images for wireless repeater
76F60DDD	IEEE Transactions on Instrumentation and Measurement<--Correlation Estimation in Noise-Modulation Systems by Finite Time Averages
5ABFBFEE	Information not present<--Signal reconstruction as an effective means of detecting targets in a DAB-based PBR
7CE0D625	Information not present<--Software-defined calibration for FMCW phased-array radar
81C4A80E	Model Driven Engineering Languages and Systems<--A framework for relating syntactic and semantic model differences
7FD01556	Information not present<--New waveform with both high range resolution and long coherent integration time in a HF radar
8109F83B	IEEE Transactions on Electromagnetic Compatibility<--Analysis of Modulated Monofractal Noise for Noise Modeling in Wireless Networks
0E8146EC	Information not present<--High Speed Data Acquisition Systems
7842C4C0	Information not present<--Drive-amplitude-modulation atomic force microscopy: From vacuum to liquids
7B64E43F	International Conference of the IEEE Engineering in Medicine and Biology Society<--Frequency interactions in human epileptic brain
727ABE17	Information not present<--MEDICINA TIENE TODOS LOS MEDIOS PARA SEGUIR FORMANDO A LOS MEJORES MÉDICOS DEL PAÍS
7B25E7AB	Soviet Journal of Quantum Electronics<--Carbon dioxide waveguide laser with modulated parameters
7DFF412D	Information not present<--High frequency sensing interrogation system using Fiber Bragg grating based microwave photonic filtering
759F611C	Proceedings of the IEEE<--Legendre coefficients for piecewise linear functions
80570365	IEEE Transactions on Circuits and Systems Ii-express Briefs<--Direct frequency modulation of an ADPLL for bluetooth/GSM with injection pulling elimination
7DEFDB44	Information not present<--A low spurious 400M–6GHz SiGe-MMIC Direct Conversion Transceiver using 2ƒ LO LO switching configuration for cognitive radio
7C4F2FFE	Information not present<--Stages in Teaching Formal Methods
7D54C34A	IEEE Geoscience and Remote Sensing Letters<--ISAR Imaging of Targets With Complex Motions Based on the Keystone Time-Chirp Rate Distribution
8400D925	Information not present<--Development of an FM multiplex broadcasting system having a large transmission capacity
7E6AB6F7	International Conference on Networking, Sensing and Control<--Doppler estimation and timing synchronization of underwater acoustic communication based on hyperbolic frequency modulation signal
7F592D98	Information not present<--Dual modulation using the half bridge with complementary control
7D4F2D2E	IEEE Photonics Technology Letters<--Wavelength selection for gigabits-per-second data transmission using out-of-band RF modulation
1047078D	Information not present<--Semiconductor Laser Low Frequency Noise Characterization
59660A74	Information not present<--Portable VHF receiver/tape recorder calibrator
6DE69C51	Intelligence and Security Informatics<--Change detection in evolving computer networks: Changes in densification and diameter over time
7F881B36	IEEE Journal of Oceanic Engineering<--Functional inputs to passive correlation detectors for oscillatory transient signals
77D2092E	Information not present<--Producing known complex modulation signals for calibration of optical modulation analyzers
7D05B6C6	International Conference on Acoustics, Speech, and Signal Processing<--Dimension reduction in regression using Gaussian Mixture Models
79A8D13C	Ire Transactions on Instrumentation<--Measurement of the Temperature Coefficient of Capacitance and Inductance over the Range of 5 to 50 MC
8038BAF1	IEEE Transactions on Biomedical Engineering<--A 1.48-mW low-phase-noise analog frequency modulator for wireless biotelemetry
78D11B56	Information not present<--Switched mode transmitter architecture using low pass delta sigma modulator
7ED6051F	Vehicular Technology Conference<--Efficient maximum likelihood decoding of peak power limiting codes for OFDM
5ACE1DB0	Information not present<--Reliability of high power MQW-DFB-DC-PBH-LDs for Coherent Optical Communication System Application
810359A5	International Conference on Information Technology: New Generations<--Alternative Representation of Aspects
7E5F00B4	International Conference on Communications<--Synchronization of Single-Frequency Simulcast Networks Using Network Time Protocol
7C718292	Information not present<--High frequency modulation spectroscopy: a sensitive detection technique for atmospheric pollutants
7E15C036	International Symposium on Biomedical Imaging<--Modulation model for the analysis of the stationary grid artifacts in digital radiography imaging
8165D9BB	Information not present<--Solid-State Linear FM/CW RADAR Systems - Their Promise and Their Problems
77CFD75B	IEEE Signal Processing Letters<--Coherently Distributed Wideband LFM Source Localization
5AE608F9	Information not present<--Neural networks with hybrid morphological/rank/linear nodes and their application to handwritten character recognition
79B4B460	Personal, Indoor and Mobile Radio Communications<--Dynamic cooperative power management algorithm for virtual cell-based femto networks
78538D27	IEEE Transactions on Microwave Theory and Techniques<--Design of a Direct Conversion Transmitter to Resist Combined Effects of Power Amplifier Distortion and Local Oscillator Pulling
793F7F75	IEEE Transactions on Consumer Electronics<--Intercarrier Buss Phenomena Analysis and Cures
5D753E44	Information not present<--Badania mikrobiologiczne wód podziemnych Zbiornika Omulewskiego na Pojezierzu Mazurskim
79BDF302	IEEE Sensors Journal<--Chopper-Modulated Locked in Amplified Gas Chromatography—Electroantennography Part II: Signal Processing and Performance Comparisons
7B1D5737	Information not present<--Novel evaluation method of jamming effect on ISAR based on target detection
14C11623	Information not present<--A MULTI-LEVEL PHASE CONTINUOUS FSK MODULATOR
7A6FC197	Information not present<--Wideband, fast, and wide-dynamic-range spectrum sensing using dual-stage spectrum detection
763392B3	Information not present<--Transmit diversity in the DFM system
7FDB1426	Information not present<--A new chopper modulator circuit
816937CD	Information not present<--Coherent Transmitter Considerations Utilizing Injection Locked Magnetrons
5AD0C30D	Information not present<--Sound processing using complex dynamic representation
78BD1180	Information not present<--Oceanographic radar timing stability required for new ITU spectral allocations
7EE25985	Information not present<--Optimal sparse waveform design for HFSWR system
79A03CB7	Information not present<--Improvement in fluorescence confocal microscopy for obtaining better depth perception
832A7562	Information not present<--An ultra wide-band adaptive frequency divider for mm-wave PLL applications
761D299D	Information not present<--Kotelnikov double series of modulating signals with limited spectrum
85675697	Information not present<--PREVENIR, LA MEJOR ESTRATEGIA CONTRA MALES CARDIOVASCULARES
7E56BA66	Information not present<--Processing Gain of Dynamic Spectrum Anti-Jamming Systems
804A003E	International Symposium on Circuits and Systems<--A neural signal detection amplifier with low-frequency noise suppression
7FD8F254	IEEE Transactions on Instrumentation and Measurement<--Frequency stabilization of frequency-doubled Nd:YAG lasers at 532 nm by frequency modulation spectroscopy technique
7D1ADD05	Real-Time Systems Symposium<--Combining Abstract Interpretation with Model Checking for Timing Analysis of Multicore Software
7C4E80D1	Ire Transactions on Electron Devices<--The spike in the transmit-receiver (TR) tubes
7C20F3DA	Information not present<--Operation Of An Intermediate Temperature Detector In A 10.6 µm Heterodyne Rangefinder
7895D40A	Transactions of The American Institute of Electrical Engineers<--Carrier Current Supervisory System for Distribution Circuits
7D34CEE0	Information not present<--Security threats to signal classifiers using self-organizing maps
7BCEAA27	Information not present<--A high-performance 1 GHz surface transverse wave based receiver for hand-held personal communications
7694313E	Information not present<--Modulation classification based on cyclic spectral features and neural network
7739DF43	Information not present<--Measuring system for analysis of motor supplying current for diagnostic purposes
6E3DE321	Information not present<--A real time FMCW short range radar system
7F5C86D2	IEEE Photonics Technology Letters<--High power and narrow spectral linewidth 1.5 mu m MQW-DFB-LDs with low FM dip frequency
8334C2F9	Information not present<--Capabilities of the dielectric barrier discharge actuator for dual-frequency excitations
2D75F280	Information not present<--Optimization of the frequency locked loop
80D7F7A4	Clinical Orthopaedics and Related Research<--A novel piezoelectric microtransformer for autonomous sensors applications
806CD0D4	Information not present<--Transverse beam tail shaping in HERA-B by means of tune modulation
58B5BC76	Focus on Catalysts<--A spatial-spectral holographic correlator at 1536 nm using 30-symbol BPSK and QPSK codes optimized for secure communications
80D09F10	Information not present<--An advanced modulation technique for telemetry system used for smart capsules
78447E34	Information not present<--Modulation and control of a two-stage single-phase high frequency link inverter
5FFF1406	Information not present<--VALIDAR FARMACOLOGÍA CLÍNICA MEDICAMENTOS GENÉRICOS
8143D73C	IEEE Transactions on Communications<--Comparison of square-law and majority-count diversity combiners
7F44D4D3	International Symposium on Quality Electronic Design<--RF BIST for ADPLL-based polar transmitters with wide-band DCO gain calibration
8028D916	IEEE Transactions on Microwave Theory and Techniques<--Power Amplification of Microwave FM Communication Signals Using a Phase-Locked Voltage-Tuned Oscillator
81192531	Information not present<--Absence of relaxation oscillation in quantum cascade lasers verified by high-frequency modulation
832F7927	Information not present<--Kelvin probe force microscopy for local characterisation of active nanoelectronic devices
7D3F169A	Information not present<--Reduced switching-frequency modulation and circulating current suppression for modular multilevel converters
805C5D81	Information not present<--EL CEREBRO, LA ORGANIZACIÓN MÁS COMPLEJA DEL UNIVERSO
7EE87CCD	Information not present<--Control of single phase inverters for wind energy conversion using PWM techniques
5BD27BB7	Information not present<--A digital single sideband modulator for a digital radio frequency memory
7F8DC007	IEEE Transactions on Communications<--The Viterbi Receiver for Correlative Encoded MSK Signals
8285E00E	Optics Communications<--4×100Gb/s WDM DD-OFDM using EAM for next generation Ethernet transceivers over SMF
79C9A791	Information not present<--Wavelength modulation-based method for interference phase detection with reduced optical complexity
80BF385B	IEEE Transactions on Communications<--Robust channel estimation for OFDM systems with rapid dispersive fading channels
7980B9FD	Custom Integrated Circuits Conference<--5-MHz 11-bit delay-based self-oscillating ΣΔ modulator in 0.025mm 2
7B7795B0	Information not present<--Impact of gyrotron power modulation on the collector of the 2 MW, 170 GHZ gyrotron for ITER
7908B34A	Information not present<--Relation between heart rate variability and pulse transit time according to anesthetic concentration
77533F72	Clinical Nutrition<--Validation of skinfold measurements and bioelectrical impedance analysis in children with severe cerebral palsy: A review
70F91C9F	Information not present<--A low-frequency high resolution digital synthesizer
70AC695E	Information not present<--Using a microwave acoustic technique to measure the moisture content of water bearing samples
7D96FB3B	Information not present<--CO 2 measurement using an AlN/SI SAW sensor
13811945	Information not present<--THEORETICAL STUDIES OF METHODS OF GENERATING RANDOM WAVES FROM HARMONIC SOURCES
808BDB78	Canadian Conference on Electrical and Computer Engineering<--Discrete Time Modeling of Variable Frequency Pulse Width Modulation Controlled Single Stage Three-Level Resonant AC/DC Converters
7D481549	IEEE Journal of Oceanic Engineering<--A synthetic aperture sonar system capable of operating at high speed and in turbulent media
7E9CE1AE	Journal of Mechanical Science and Technology<--Bearing fault detection and diagnosis based on order tracking and Teager-Huang transform
7FFBBEA1	International Conference on Image Processing<--Segmenting modulated line textures with S-Gabor filters
622154C2	Information not present<--Synchronisation Technique of Data Recorded on a Multichannel Tape Recorder,
79261D90	Quantum Electronics<--Intracavity quasi-phase matched frequency summing in a laser based on a periodically poled active nonlinear Nd:Mg:LiNbO3 crystal
7B3387A5	Information not present<--SynchroPhasor measurements: System architecture and performance evaluation in supporting wide-area applications
7FC67AE1	International Symposium on Circuits and Systems<--Optoelectronic feedback in audio signal transmission
7AA38F8A	IEEE Translation Journal on Magnetics in Japan<--Readout Characteristics and Coercive Force on Magneto-Optical Medium
67BC8E48	Information not present<--Machinery Manufacturing Enterprises Informatization Level Measurement Based on Factor Analysis
77E1F2EA	IEEE Transactions on Circuits and Systems I-regular Papers<--Subthreshold Parallel FM-to-Digital $\Delta$ – $\Sigma$ Converter With Output-Bit-Stream Addition by Interleaving
7FCA7B61	IEEE Antennas and Wireless Propagation Letters<--A Compact Triband Bow-Tie Slot Antenna Fed by a Coplanar Waveguide
79616493	Information not present<--Spatial resolution enhancement by external phase modulation in long-length FBG sensing system based on synthesis of optical coherence function
76F0F2D8	Computational Sciences and Optimization<--Supply Chain Shortage Tolerance of Short Life Cycle Products Based on Reliability Theory
7A3048FD	Information not present<--Modeling of the power spectrum density of an entirely randomized modulation in power converters
7FDC3080	International Conference on Control and Automation<--The Improvement of Fiber Parametric Amplifier Pulse Source via Phase Modulation of Pump Light
79517F62	Information not present<--Design of high-intensity ultrasonic sound intensity measurement based on narrow pulse method
80E56CAF	Information not present<--Realization of three stereo sound tracks in TV band by using fast ADM
7B5231D9	Information not present<--Modal distribution analysis of vibrato in musical signals
81749C5B	International Conference on Systems Engineering<--Reduction of Knowledge Representation Using Logic Minimization Techniques
85B75A17	Journal of Chemical Physics<--Frequency-modulation transient absorption spectrum of the HCCl {ital {tilde A}} {sup 1}{ital A}{double_prime}(0,0,0){l_arrow}{ital {tilde X}} {sup 1}{ital A}{prime}(0,0,0) transition
77998FF0	Information not present<--Simultaneous measurement of temperature, hydrostatic pressure and acoustic signal using a single distributed Bragg reflector fiber laser
7707E744	Conference on Computer as a Tool<--On a new compressed sensing paradigm in the modulated wideband converter
5A1CC571	Information not present<--Novel photonic radio-frequency arbitrary waveform generation based on photonic digital-to-analog conversion with pulse carving
6C7F84C8	Information not present<--Homodyne FMCW radar range resolution effects with sinusoidal nonlinearities in the frequency sweep
7849CD81	IEEE Journal of Quantum Electronics<--Nonlinear dynamics of a laser diode with optical feedback systems subject to modulation
833FCEA2	Information not present<--Self-chirped FEL pulses for quantum control of chemical reaction
58634202	Information not present<--Four-channel source of synchronously modulated subgigawatt voltage pulses
7BBD994C	IEEE Transactions on Instrumentation and Measurement<--A Pseudo-Superheterodyne Receiver for Measuring Phase and Amplitude
7CF94698	Vehicular Technology Conference<--Performance of an OFDM/FM scheme for data transmission over fading mobile radio channels
7D917BEE	IEEE Transactions on Image Processing<--Green Noise Digital Halftoning With Multiscale Error Diffusion
7CCA61A2	Information not present<--Noise Properties of Cavity and Injection Stabilized Microwave Diode Oscillators
76D9DA21	Modelling Autonomic Communications Environments<--Study on modal flexibility and sensitivity to parameters in the main drive system of rolling mill
7B8A17DF	IEEE Transactions on Aerospace and Electronic Systems<--FM Telemetry for Multiple Force Measurements on Free-Flying Models
7FE96B4F	IEEE Photonics Technology Letters<--Directly Modulated Laser Driven by Low-Bandwidth Duobinary Signals
78A223A6	Proceedings of The Institution of Electrical Engineers<--Intermodulation distortion owing to multipath propagation over f.m./f.d.m. microwave links
5D8ADF2C	Information not present<--ENTRE 1990 Y 1993 SE REGISTRARON EN MÉXICO CERCA DE 300 MIL CASOS DE PICADURA POR ALACR N
79032862	IEEE Transactions on Aerospace and Electronic Systems<--New chirp sequence radar waveform
5FCD8462	Focus on Catalysts<--10-GHz repetition-rate pulse trains by asynchronous frequency-modulation of an Er-Yb laser
77655033	Transactions of The American Institute of Electrical Engineers. Part Iii: Power Apparatus and Systems<--A Variable-Speed Reversible Drive Using an Induction Motor
7B1078D3	Ire Transactions on Instrumentation<--A Precision Calibrator for Microwave Demodulators
78BCC4FC	Proceedings of the IEEE<--Circuit theory of periodically driven nonlinear systems
7D125250	IEEE Transactions on Signal Processing<--Signal enhancement by time-frequency peak filtering
5E0A1A4B	Information not present<--The projection code with trellis coded FM for meteor burst channels
79021EC5	IEEE Transactions on Microwave Theory and Techniques<--Relative to Microwave Power Engineering (Correspondence)
7AAD0CC3	Information not present<--Interference Effects of Direct-Sequence Spread Spectrum Signal on Voice AM and FM Communication Systems
7DDC40C4	Information not present<--FPGA Implementation of Sigma-Delta Modulators in Fractional-N Frequency Synthesis
788986A9	Information not present<--Full-duplex 60 GHz vector-signal radio-over-fiber system using heterodyne optical-carrier suppression
7DBAC924	IEEE Transactions on Instrumentation and Measurement<--All-optical microwave frequency standard: a proposal
7DC49CF8	IEEE Journal on Selected Areas in Communications<--Multicast Queueing Delay: Performance Limits and Order-Optimality of Random Linear Coding
7D885E57	Information not present<--Antenna miniaturization beyond the fundamental limits using impedance modulation
7B338694	Iee Review<--Stereophonic broadcasting in Britain
7FF9BD61	Information not present<--The diffusion of mobile agricultural information services in Ghana: A case study
79E3FCE0	Information not present<--A new frequency changeable separate excitation inverting control method
62288DAF	Information not present<--Radio Set AN/PRC-70( ).
80877656	Information not present<--Practical EMC considerations in designing PCB for RF and microwave communications systems
7C765586	Information not present<--Synthesis of pulsed frequency modulated ultra wideband radar signals based on stepped phase shifting
7F308E89	IEEE Transactions on Magnetics<--Enhanced B2 Ordering of FeRh Thin Films Using B2 NiAl Underlayers
80E4059F	Information not present<--Microprocessor based PWM inverter with third harmonic injection
811801E5	Information not present<--On the Implementation of Digital Intermediate Frequency Transceiver for DMR System
7EEB0078	International Conference on Machine Learning and Applications<--Comparison of Four Performance Metrics for Evaluating Sampling Techniques for Low Quality Class-Imbalanced Data
7C07A38D	Mayo Clinic Proceedings<--The Science of Fibromyalgia
81FBF3D0	Information not present<--2A2-D12 楕円運動の観察による超音波モータのトルクモデルの構築(アクチュエータの機構と制御(2))
80F3D093	Information not present<--Generation of 113 coherent and frequency-lock multi-carriers using cascaded phase modulators and EDFA loop for Tb/s optical communication
76AFAB35	Journal of Dairy Science<--A Blend of Animal and Cereal Protein or Fish Meal as Partial Replacement for Soybean Meal in the Diets of Lactating Holstein Cows1
7F8540C3	Information not present<--WIDEBAND MAGNETIC TAPE RECORDING TECHNIQUES,
7BC6F260	International Conference on Acoustics, Speech, and Signal Processing<--Digital algorithms for suppression of adjacent channel interference in FM receivers
2F676493	Information not present<--Digital FM - Tutorial.
81369B7E	IEEE Transactions on Communications<--Efficient compensation for frequency-dependent errors in analog reconstruction filters used in IQ modulators
78BD2378	Electrical Engineering<--Production and utilization of micro-rays
7BD1BA98	IEEE Transactions on Consumer Electronics<--HDTV adaptability to multiple media
76F2CF4F	Optics Letters<--Simple signal-to-signal beat interference cancellation receiver based on balanced detection for a single-sideband optical OFDM signal with a reduced guard band
7C0A961B	Information not present<--Cavity-enhanced frequency modulation spectroscopy: advancing optical detection sensitivity and laser frequency stabilization
751940DA	Information not present<--A /sup 13/C/sub 2/H/sub 2/ frequency-stabilized, polarization-maintained 1.54 /spl mu/m erbium fiber ring laser with a new feedback system
7AE9FB91	Information not present<--A positive reference PWM strategy based on multi-switching DC voltage sources converter for insulation testing
71AC71C4	Information not present<--Speed-sensitive radio controller for smart vehicles
7BA01035	Transactions of The American Institute of Electrical Engineers<--Frequency Modulation for Power-Line Carrier Current
7AF0C753	IEEE Transactions on Power Electronics<--Overmodulation and loss considerations in high-frequency modulated transistorized induction motor drives
616723CF	The Astrophysical Journal<--Discovery of a 450 Hz Quasi-Periodic Oscillation from the Microquasar GRO J1655-40 with the Rossi X-ray Timing Explorer
7E70C731	Information not present<--Empirical study of stepped-FM UWB microwave sensor
59057811	Information not present<--Design of an embedded data acquisition system for remote application
803D3C9A	IEEE Transactions on Instrumentation and Measurement<--Modeling DAC Output Waveforms
5D3052EE	Information not present<--Vibro-Acoustic Modulation Based Damage Identification in a Composite Skin-Stiffener Structure
7F979E96	Information not present<--Wide and fast wavelength-tunable mode-locked fiber lasers based on dispersion tuning at 1.5 µm and 1.3 µm bands
76D61688	Information not present<--UWB LFM echo signal detection and time-delay estimation based on compressive sensing
7A93F409	Foundations of Computer Science<--Output sufficient modules for uniform decomposition of synchronous sequential circuits
7FB24740	Information not present<--INICIA JORNADA MÉDICA PARA ALUMNOS DE NUEVO INGRESO
789AEE1C	IEEE Transactions on Consumer Electronics<--A Proposed AM-PM Compatibel AM Stereo System
7E04B4EC	Proceedings of the IEEE<--Optical heterodyne receiver design by nonlinear recursive estimation techniques
80F661DF	International Symposium on Circuits and Systems<--A low THD analog Class D Amplifier based on self-oscillating modulation with complete feedback network
7ADE39C8	Information not present<--A Distinct Pseudo-random Carrier Modulation Approach for a Boost Converter
7C3E59F4	International Conference on Networks<--An Improved Method Dealing with the End Effect of Hilbert-Huang Transform
7F0C06F3	Information not present<--Low Noise X-Band Exciter Performance with UHF SAW Oscillator Reference
7DB070C3	Information not present<--Key Analysis of Normalization Process Using Formal Techniques in DBRE
7D9D43F5	Information not present<--Simple telemetry system for medical and industry data transmission
7D70C3F3	Journal of Lightwave Technology<--Temporal coherence properties of picosecond pulses generated by GaAlAs semiconductor lasers for directly modulated and frequency stabilized optical communication systems
8035A697	Personal, Indoor and Mobile Radio Communications<--Near-far problem on hybrid direct-sequence/slow-frequency-hopping spread-spectrum multiple-access
76E79760	Information not present<--A theoretical combination of frequency modulation and Doppler Effect
8110898C	IEEE Photonics Technology Letters<--40-GHz transform-limited pulse generation from FM oscillation fiber laser with external cavity chirp compensation
7DA926E1	International Conference on Acoustics, Speech, and Signal Processing<--The extended H ∞ filter-a robust EKF
7A0964A2	Information not present<--Coherent optical frequency modulated continuous-wave for interrogation of long-period-grating-type sensors
771904EE	Internet Measurement Conference<--Software Behavior Trustworthiness Detection Based on PrefixSpan Method
7CBAA376	Proceedings of the IEEE<--The short-backfire antenna
7F0DB670	Information not present<--A Doubly Tracking Discriminator
7F250025	Information not present<--Research progress on S-band Broadband Multi-Beam Klystron
7B8FF692	IEEE Transactions on Communications<--A Technique of PCM Transmission over 2 GHz Microwave Radio
7E3D1677	Information not present<--High power factor, low voltage stress, LED driver without electrolytic capacitor
71199EB5	Focus on Catalysts<--Performance of smoothing by spectral dispersion (SSO) for the National Ignition Facility
768ADDF8	IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing<--Musical signals from Chua's circuit
5C59782A	International Conference on Acoustics, Speech, and Signal Processing<--Novel audio features for capturing tempo salience in music recordings
782EAA14	Electrical Engineering<--Transfer function of contact-modulated amplifiers
774B23C4	Proceedings of The Institute of Radio Engineers<--A Method for Calibrating Microwave Wavemeter
77B8F4F5	IEEE Transactions on Aerospace and Electronic Systems<--Spectral Nulling on Transmit via Nonlinear FM Radar Waveforms
59A7AC2B	Information not present<--HOS-based multi-component frequency estimation
7BDAF84E	Information not present<--Objective measures in cochlear implanted patients: A computational framework to evaluate artifact rejection methodologies
78670A92	Information not present<--Optimal path-control for dual-frequency overlay GNSS receivers
80244F92	International Conference on Multimedia and Expo<--Video Copy Detection Using a Soft Cascade of Multimodal Features
79C1BE63	IEEE Transactions on Industrial Electronics<--Analog Filtering Method for Sensorless AC Machine Control With Carrier-Frequency Signal Injection
7E2B7CD5	Information not present<--Thin-film poly-SI solar cells on AIT-textured glass - importance of the rear reflector
8000CF73	Information not present<--Processing of multi-carrier phase-modulated signals of a heterodyne interference detecting system
5FB7B1B6	Information not present<--A Robust Instantaneous Frequency Rate Estimator Based on Cubic Phase Function
71C0CDC9	Information not present<--Digital video signal processing system in home VCRs
7CFC10DB	Information not present<--Automatic calibration of modulated /spl Sigma/-/spl Delta/ frequency synthesizers
789FDE37	Vehicular Technology Conference<--The potential of SSB for land mobile radio
755C0664	Information not present<--High frequency-granularity and format independent optical channel defragmentation for flexible optical networks
63268F37	Information not present<--Device for frequency modulation of a laser output spectrum
7FEA3B4C	IEEE Transactions on Aerospace and Electronic Systems<--Reduction of Radar Tracking Errors with Frequency Agility
756A9D88	Information not present<--Neural networks prediction of electrical signals at xylem in Osmanthus fragrans
5D959458	Information not present<--Finding Optimum Settings for a 433MHz Radio for Long Range Communication
77076F0B	IEEE Transactions on Consumer Electronics<--Development of high-performance FM front end IC with improved interference characteristic
7B4ED338	Information not present<--Compact pulsed power design considerations for oil well applications
0F7C0F7B	Information not present<--Simulated Assessment of Interference Effects in Direct Sequence Spread Spectrum (DSSS) QPSK Receiver
7DA0CC68	IEEE Transactions on Instrumentation and Measurement<--Estimation of the end-to-end phase shift without beam reversal in Cs beam frequency standards
766B9546	IEEE Transactions on Magnetics<--High definition video signal storing with the 60 MHz magnetic recording equipment
815E7D42	Journal of Equine Veterinary Science<--The Bit Error Rate Performance Of Load Management Receivers Using AFSK Signaling
7B749219	Information not present<--High frequency modulation doped field effect transistors in InAlAs/InGaAs/InP material system
85C63482	IEEE Transactions on Communications<--Design and Performance Analysis of a Multiuser OFDM Based Differential Chaos Shift Keying Communication System
811F44DC	Journal of Communications and Networks<--Ultra wide band wireless communications: A tutorial
7EC3D53F	Electronics Letters<--Performance of DS/SSMA system using turbo TCM/FPM over multipath Rician fading channel
7875DCA5	Information not present<--Metamaterial based lenses with distinctive imaging properties in forward and backward directions
7D066F7D	IEEE Transactions on Magnetics<--The dependence of overwrite on proximity effects
7BA77EC6	Information not present<--Real-Time Display of VCO FM Linearity
7780A3FB	IEEE Transactions on Signal Processing<--Comments on "On amplitude and frequency demodulation using energy operators"
7C300685	Electronics Letters<--Multi-octave photonic RF synthesiser based on two DFB lasers
816E7D61	IEEE Journal of Quantum Electronics<--Comb Injection and Sidebands Suppression
79FACBD3	Clinical Therapeutics<--Geographic Variation of Chronic Opioid Use in Fibromyalgia
76C652F0	Information not present<--Efficient broadband third-harmonic frequency conversion via angular dispersion
7FE94BEA	IEEE Transactions on Communications<--Performance of Multilevel Narrow-Band FM Digital Communication Systems
778055F0	Proceedings of The Institute of Radio Engineers<--Digests of United States Patents relating to radio telegraphy and telephony
76301805	International Conference on Acoustics, Speech, and Signal Processing<--A fast algorithm for generating sinusoids with polynomial phase
7D781860	Journal of Lightwave Technology<--Phase noise considerations in coherent optical FMCW reflectometry
7F1ECCFC	Information not present<--Realization of high-speed distributed sensing based on Brillouin optical correlation domain analysis
7FDFBB12	IEEE Transactions on Communications<--Storage and Delay Estimates for Asynchronous Multiplexing of Data in Speech
76867936	Information not present<--Modulation classifier for signals used in satellite communications
7D31F743	Electronics Letters<--Realisation of a decoder for two MFM codes
811E4DEF	Information not present<--Experimental evaluation of the core losses in the magnetic components used in PFC converters. Application to optimize the flyback structure losses
0FFC930C	Information not present<--Investigation of Semiconductor Lasers for Wideband Recording
